atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01-98,159.45,12624,5711,99,790.853,6.0,87.626591386691,115.654662407824,7808.353,1569.06425,963.3590000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-98,159.5,12624,5711,103,792.2289999999999,5.7,87.988288297289,115.957190325901,8323.605789473682,1711.878947368421,1023.742105263158
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-98,160.15,12624,5711,102,793.605,5.8,88.563377400041,116.683116580996,8709.474545454546,1780.6020454545455,1076.8254545454547
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-98,160.8,12624,5711,106,794.981,5.1,89.166763902035,116.601465240337,9037.43904761905,1852.5669047619047,1112.1961904761906
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-98,161.4,12624,5711,142,796.357,5.4,89.747880801931,116.85559750575399,9080.072,1839.1125,1108.417
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-98,162.0,12624,5711,161,797.733,6.2,90.16364849095,116.821561681865,8872.960454545453,1793.8052272727275,1108.3895454545454
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07-98,161.95,12624,5711,140,799.1089999999999,6.1,90.445840366239,117.036786066316,9097.137272727276,1943.5863636363638,1156.5772727272727
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08-98,161.9,12624,5711,147,800.485,5.7,90.764427955579,117.321485656232,8478.518095238094,1793.359523809524,1074.6204761904762
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-98,161.95,12624,5711,101,801.861,5.5,91.08941421624,117.723572831653,7909.793333333333,1659.1961904761906,1020.6395238095237
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-98,162.0,12624,5711,129,803.237,5.4,91.86431011724599,118.028712918974,8164.47181818182,1615.0295454545458,1032.47
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11-98,161.8,12624,5711,107,804.613,5.1,92.503951925322,118.445063771775,9005.751499999998,1886.5170000000003,1144.4334999999996
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-98,161.6,12624,5711,107,805.989,5.0,93.079487657241,118.69385288319401,9018.68,2068.3797727272727,1190.050909090909
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01-99,161.75,11226,5093,122,807.365,5.6,93.59057085722701,119.296715379286,9345.857368421051,2354.478157894737,1248.774736842105
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-99,161.9,11226,5093,88,808.1628333333333,5.7,94.074089884759,119.574277821339,9322.944210526315,2365.619210526316,1246.582105263158
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-99,162.95,11226,5093,124,808.9606666666666,5.1,94.76826523550899,120.15148929987801,9753.633913043477,2392.5117391304348,1281.6639130434785
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-99,164.0,11226,5093,117,809.7585,4.9,95.136280609865,120.865726011445,10443.499523809525,2548.777380952381,1334.7576190476188
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-99,164.4,11226,5093,102,810.5563333333333,4.7,95.788241800345,120.94063596053302,10853.866,2518.0630000000006,1332.074
