DATE,CUURA103SA0
1990-01-01,136.000
1990-02-01,.
1990-03-01,136.300
1990-04-01,.
1990-05-01,136.600
1990-06-01,.
1990-07-01,137.600
1990-08-01,.
1990-09-01,141.300
1990-10-01,.
1990-11-01,143.700
1990-12-01,.
1991-01-01,143.800
1991-02-01,.
1991-03-01,143.900
1991-04-01,.
1991-05-01,143.500
1991-06-01,.
1991-07-01,145.100
1991-08-01,.
1991-09-01,146.300
1991-10-01,.
1991-11-01,146.600
1991-12-01,.
1992-01-01,146.300
1992-02-01,.
1992-03-01,147.900
1992-04-01,.
1992-05-01,147.500
1992-06-01,.
1992-07-01,148.900
1992-08-01,.
1992-09-01,149.400
1992-10-01,.
1992-11-01,150.400
1992-12-01,.
1993-01-01,151.900
1993-02-01,.
1993-03-01,154.100
1993-04-01,.
1993-05-01,151.900
1993-06-01,.
1993-07-01,152.500
1993-08-01,.
1993-09-01,152.000
1993-10-01,.
1993-11-01,154.500
1993-12-01,.
1994-01-01,153.600
1994-02-01,.
1994-03-01,155.000
1994-04-01,.
1994-05-01,153.600
1994-06-01,.
1994-07-01,153.900
1994-08-01,.
1994-09-01,155.700
1994-10-01,.
1994-11-01,156.700
1994-12-01,.
1995-01-01,158.000
1995-02-01,.
1995-03-01,158.400
1995-04-01,.
1995-05-01,157.700
1995-06-01,.
1995-07-01,157.800
1995-08-01,.
1995-09-01,158.600
1995-10-01,.
1995-11-01,160.300
1995-12-01,.
1996-01-01,162.200
1996-02-01,.
1996-03-01,162.800
1996-04-01,.
1996-05-01,161.800
1996-06-01,.
1996-07-01,162.000
1996-08-01,.
1996-09-01,163.500
1996-10-01,.
1996-11-01,166.300
1996-12-01,.
1997-01-01,167.700
1997-02-01,.
1997-03-01,168.100
1997-04-01,.
1997-05-01,166.700
1997-06-01,.
1997-07-01,167.100
1997-08-01,.
1997-09-01,167.800
1997-10-01,.
1997-11-01,169.400
1997-12-01,.
1998-01-01,171.200
1998-02-01,.
1998-03-01,171.300
1998-04-01,.
1998-05-01,170.900
1998-06-01,.
1998-07-01,170.700
1998-08-01,.
1998-09-01,172.100
1998-10-01,.
1998-11-01,173.300
1998-12-01,.
1999-01-01,174.100
1999-02-01,.
1999-03-01,174.800
1999-04-01,.
