DATE,CUURA207SA0
1990-01-01,128.100
1990-02-01,129.200
1990-03-01,129.500
1990-04-01,130.400
1990-05-01,130.400
1990-06-01,131.700
1990-07-01,132.000
1990-08-01,133.200
1990-09-01,133.800
1990-10-01,133.300
1990-11-01,134.200
1990-12-01,134.600
1991-01-01,135.100
1991-02-01,135.500
1991-03-01,136.200
1991-04-01,136.100
1991-05-01,136.800
1991-06-01,137.300
1991-07-01,137.300
1991-08-01,137.600
1991-09-01,138.300
1991-10-01,138.000
1991-11-01,138.000
1991-12-01,138.300
1992-01-01,138.900
1992-02-01,139.200
1992-03-01,139.700
1992-04-01,139.800
1992-05-01,140.500
1992-06-01,141.200
1992-07-01,141.400
1992-08-01,141.900
1992-09-01,142.700
1992-10-01,142.100
1992-11-01,142.400
1992-12-01,142.900
1993-01-01,143.200
1993-02-01,143.600
1993-03-01,144.100
1993-04-01,144.700
1993-05-01,145.700
1993-06-01,145.600
1993-07-01,145.500
1993-08-01,146.100
1993-09-01,146.700
1993-10-01,147.200
1993-11-01,146.400
1993-12-01,146.100
1994-01-01,146.500
1994-02-01,146.800
1994-03-01,147.600
1994-04-01,147.900
1994-05-01,147.600
1994-06-01,148.100
1994-07-01,148.300
1994-08-01,149.800
1994-09-01,150.200
1994-10-01,149.400
1994-11-01,150.400
1994-12-01,150.500
1995-01-01,151.800
1995-02-01,152.300
1995-03-01,152.600
1995-04-01,153.100
1995-05-01,153.000
1995-06-01,153.500
1995-07-01,153.600
1995-08-01,153.800
1995-09-01,154.000
1995-10-01,154.300
1995-11-01,154.000
1995-12-01,153.800
1996-01-01,154.600
1996-02-01,155.200
1996-03-01,156.300
1996-04-01,156.400
1996-05-01,156.900
1996-06-01,157.600
1996-07-01,157.700
1996-08-01,158.100
1996-09-01,158.300
1996-10-01,158.800
1996-11-01,159.400
1996-12-01,159.700
1997-01-01,160.400
1997-02-01,161.100
1997-03-01,161.000
1997-04-01,160.900
1997-05-01,161.100
1997-06-01,161.700
1997-07-01,161.700
1997-08-01,162.500
1997-09-01,162.100
1997-10-01,162.500
1997-11-01,162.900
1997-12-01,162.800
1998-01-01,162.800
1998-02-01,163.100
1998-03-01,164.100
1998-04-01,164.800
1998-05-01,165.600
1998-06-01,166.000
1998-07-01,166.500
1998-08-01,165.400
1998-09-01,165.300
1998-10-01,165.700
1998-11-01,165.400
1998-12-01,165.100
1999-01-01,166.100
1999-02-01,166.400
1999-03-01,167.000
1999-04-01,167.600
1999-05-01,168.200
1999-06-01,168.900
1999-07-01,169.400
1999-08-01,169.300
1999-09-01,169.700
1999-10-01,169.700
1999-11-01,169.300
1999-12-01,169.200
2000-01-01,170.200
2000-02-01,171.400
2000-03-01,172.200
2000-04-01,171.900
2000-05-01,173.700
2000-06-01,176.000
2000-07-01,174.600
2000-08-01,173.700
2000-09-01,174.800
2000-10-01,175.400
2000-11-01,176.000
2000-12-01,175.800
2001-01-01,178.100
2001-02-01,178.500
2001-03-01,177.100
2001-04-01,178.400
2001-05-01,179.800
2001-06-01,179.200
2001-07-01,177.700
2001-08-01,178.100
2001-09-01,179.700
2001-10-01,178.100
2001-11-01,177.400
2001-12-01,177.900
2002-01-01,177.900
2002-02-01,178.700
2002-03-01,179.800
2002-04-01,180.900
2002-05-01,181.400
2002-06-01,182.100
2002-07-01,181.200
2002-08-01,181.600
2002-09-01,182.100
2002-10-01,182.800
2002-11-01,183.200
2002-12-01,182.400
2003-01-01,182.700
2003-02-01,184.100
2003-03-01,184.800
2003-04-01,183.400
2003-05-01,183.400
2003-06-01,184.100
2003-07-01,184.100
2003-08-01,184.500
2003-09-01,186.100
2003-10-01,185.800
2003-11-01,185.600
2003-12-01,185.500
2004-01-01,185.400
2004-02-01,186.400
2004-03-01,186.300
2004-04-01,187.200
2004-05-01,188.700
2004-06-01,189.100
2004-07-01,189.200
2004-08-01,190.200
2004-09-01,190.000
2004-10-01,190.800
2004-11-01,190.700
2004-12-01,189.600
2005-01-01,189.900
2005-02-01,190.500
2005-03-01,191.300
2005-04-01,193.200
2005-05-01,193.300
2005-06-01,194.000
2005-07-01,194.200
2005-08-01,195.800
2005-09-01,198.300
2005-10-01,197.900
2005-11-01,197.300
2005-12-01,196.400
2006-01-01,197.500
2006-02-01,197.200
2006-03-01,197.600
2006-04-01,197.700
2006-05-01,198.400
2006-06-01,199.000
2006-07-01,199.300
2006-08-01,200.400
2006-09-01,199.600
2006-10-01,197.500
2006-11-01,197.900
2006-12-01,197.800
2007-01-01,199.401
2007-02-01,200.630
2007-03-01,202.483
2007-04-01,204.019
2007-05-01,205.686
2007-06-01,206.092
2007-07-01,205.561
2007-08-01,205.813
2007-09-01,206.454
2007-10-01,206.696
2007-11-01,207.821
2007-12-01,207.155
2008-01-01,208.757
2008-02-01,209.526
2008-03-01,211.542
2008-04-01,212.662
2008-05-01,214.932
2008-06-01,215.738
2008-07-01,217.459
2008-08-01,215.971
2008-09-01,215.465
2008-10-01,213.363
2008-11-01,209.053
2008-12-01,205.959
2009-01-01,207.616
2009-02-01,207.367
2009-03-01,207.462
2009-04-01,207.886
2009-05-01,209.809
2009-06-01,211.010
2009-07-01,210.906
2009-08-01,211.441
2009-09-01,211.345
2009-10-01,211.708
2009-11-01,212.206
2009-12-01,211.185
2010-01-01,212.104
2010-02-01,212.456
2010-03-01,212.952
2010-04-01,212.929
2010-05-01,212.984
2010-06-01,212.186
2010-07-01,212.535
2010-08-01,212.784
2010-09-01,213.339
2010-10-01,213.332
2010-11-01,213.066
2010-12-01,213.778
2011-01-01,215.155
2011-02-01,216.192
2011-03-01,217.880
2011-04-01,218.762
2011-05-01,220.094
2011-06-01,220.182
2011-07-01,219.277
2011-08-01,219.688
2011-09-01,220.027
2011-10-01,219.592
2011-11-01,219.181
2011-12-01,218.180
2012-01-01,219.585
2012-02-01,219.626
2012-03-01,222.351
2012-04-01,222.416
2012-05-01,222.262
2012-06-01,222.138
2012-07-01,221.611
2012-08-01,222.967
2012-09-01,223.611
2012-10-01,223.227
2012-11-01,222.425
2012-12-01,221.838
2013-01-01,222.251
2013-02-01,224.681
2013-03-01,224.433
2013-04-01,224.522
2013-05-01,225.645
2013-06-01,225.864
2013-07-01,225.375
2013-08-01,225.525
2013-09-01,225.161
2013-10-01,224.422
2013-11-01,223.703
2013-12-01,222.960
2014-01-01,225.027
2014-02-01,226.217
2014-03-01,228.784
2014-04-01,229.848
2014-05-01,229.612
2014-06-01,230.477
2014-07-01,229.633
2014-08-01,229.753
2014-09-01,229.829
2014-10-01,228.987
2014-11-01,227.184
2014-12-01,226.262
2015-01-01,225.852
2015-02-01,225.763
2015-03-01,227.405
2015-04-01,227.704
2015-05-01,228.494
2015-06-01,228.837
2015-07-01,228.588
2015-08-01,229.527
2015-09-01,228.826
2015-10-01,228.600
2015-11-01,227.641
2015-12-01,226.271
2016-01-01,227.977
2016-02-01,227.438
2016-03-01,227.778
2016-04-01,229.197
2016-05-01,229.247
2016-06-01,230.341
2016-07-01,228.454
2016-08-01,228.956
2016-09-01,230.282
2016-10-01,230.506
2016-11-01,230.969
2016-12-01,230.476
2017-01-01,232.155
2017-02-01,232.491
2017-03-01,232.225
2017-04-01,233.066
2017-05-01,233.443
2017-06-01,233.407
2017-07-01,233.514
2017-08-01,234.200
2017-09-01,235.177
2017-10-01,234.159
2017-11-01,235.206
2017-12-01,234.293
2018-01-01,236.267
2018-02-01,236.306
2018-03-01,236.388
2018-04-01,237.940
2018-05-01,238.910
2018-06-01,238.540
2018-07-01,237.870
2018-08-01,238.098
2018-09-01,238.957
2018-10-01,238.892
2018-11-01,237.511
2018-12-01,236.796
2019-01-01,238.218
2019-02-01,239.669
2019-03-01,240.019
2019-04-01,239.726
2019-05-01,241.758
2019-06-01,240.835
2019-07-01,241.589
2019-08-01,241.985
2019-09-01,242.393
2019-10-01,243.236
2019-11-01,242.661
2019-12-01,242.079
2020-01-01,244.361
2020-02-01,244.407
2020-03-01,242.655
2020-04-01,240.364
2020-05-01,242.650
2020-06-01,243.475
2020-07-01,244.046
2020-08-01,244.341
2020-09-01,245.745
2020-10-01,245.584
2020-11-01,244.610
2020-12-01,244.235
2021-01-01,246.008
2021-02-01,247.387
2021-03-01,248.984
2021-04-01,251.491
2021-05-01,253.934
2021-06-01,254.974
2021-07-01,255.929
2021-08-01,256.078
2021-09-01,256.881
2021-10-01,258.621
2021-11-01,259.254
2021-12-01,260.368
2022-01-01,262.730
2022-02-01,264.828
2022-03-01,268.417
