DATE,CUURA210SA0
1990-01-01,125.000
1990-02-01,.
1990-03-01,127.400
1990-04-01,.
1990-05-01,128.100
1990-06-01,.
1990-07-01,128.800
1990-08-01,.
1990-09-01,131.100
1990-10-01,.
1990-11-01,131.700
1990-12-01,.
1991-01-01,131.900
1991-02-01,.
1991-03-01,133.200
1991-04-01,.
1991-05-01,134.300
1991-06-01,.
1991-07-01,133.900
1991-08-01,.
1991-09-01,135.400
1991-10-01,.
1991-11-01,135.700
1991-12-01,.
1992-01-01,136.200
1992-02-01,.
1992-03-01,136.300
1992-04-01,.
1992-05-01,136.100
1992-06-01,.
1992-07-01,137.100
1992-08-01,.
1992-09-01,137.900
1992-10-01,.
1992-11-01,137.100
1992-12-01,.
1993-01-01,137.500
1993-02-01,.
1993-03-01,138.800
1993-04-01,.
1993-05-01,139.600
1993-06-01,.
1993-07-01,140.900
1993-08-01,.
1993-09-01,141.700
1993-10-01,.
1993-11-01,142.100
1993-12-01,.
1994-01-01,142.400
1994-02-01,.
1994-03-01,143.300
1994-04-01,.
1994-05-01,143.700
1994-06-01,.
1994-07-01,143.700
1994-08-01,.
1994-09-01,146.300
1994-10-01,.
1994-11-01,146.000
1994-12-01,.
1995-01-01,146.600
1995-02-01,.
1995-03-01,147.300
1995-04-01,.
1995-05-01,147.400
1995-06-01,.
1995-07-01,148.100
1995-08-01,.
1995-09-01,149.000
1995-10-01,.
1995-11-01,148.200
1995-12-01,.
1996-01-01,149.000
1996-02-01,.
1996-03-01,150.900
1996-04-01,.
1996-05-01,151.800
1996-06-01,.
1996-07-01,152.100
1996-08-01,.
1996-09-01,153.500
1996-10-01,.
1996-11-01,153.800
1996-12-01,.
1997-01-01,153.800
1997-02-01,.
1997-03-01,155.400
1997-04-01,.
1997-05-01,155.600
1997-06-01,.
1997-07-01,156.300
1997-08-01,.
1997-09-01,157.300
1997-10-01,.
1997-11-01,157.100
1997-12-01,.
1998-01-01,158.200
1998-02-01,.
1998-03-01,158.600
1998-04-01,.
1998-05-01,159.200
1998-06-01,.
1998-07-01,159.900
1998-08-01,.
1998-09-01,161.500
1998-10-01,.
1998-11-01,160.800
1998-12-01,.
1999-01-01,160.600
1999-02-01,.
1999-03-01,161.200
1999-04-01,.
1999-05-01,161.500
1999-06-01,.
1999-07-01,162.800
1999-08-01,.
1999-09-01,164.200
1999-10-01,.
1999-11-01,163.800
1999-12-01,.
2000-01-01,164.500
2000-02-01,.
2000-03-01,166.900
2000-04-01,.
2000-05-01,166.600
2000-06-01,.
2000-07-01,168.300
2000-08-01,.
2000-09-01,170.500
2000-10-01,.
2000-11-01,169.400
2000-12-01,.
2001-01-01,171.300
2001-02-01,.
2001-03-01,172.300
2001-04-01,.
2001-05-01,173.700
2001-06-01,.
2001-07-01,173.400
2001-08-01,.
2001-09-01,174.600
2001-10-01,.
2001-11-01,172.300
2001-12-01,.
2002-01-01,171.400
2002-02-01,.
2002-03-01,173.700
2002-04-01,.
2002-05-01,173.000
2002-06-01,.
2002-07-01,173.400
2002-08-01,.
2002-09-01,174.600
2002-10-01,.
2002-11-01,173.400
2002-12-01,.
2003-01-01,173.500
2003-02-01,.
2003-03-01,175.400
2003-04-01,.
2003-05-01,175.100
2003-06-01,.
2003-07-01,176.000
2003-08-01,.
2003-09-01,178.500
2003-10-01,.
2003-11-01,177.600
2003-12-01,.
2004-01-01,178.400
2004-02-01,.
2004-03-01,180.000
2004-04-01,.
2004-05-01,181.300
2004-06-01,.
2004-07-01,181.700
2004-08-01,.
2004-09-01,183.800
2004-10-01,.
2004-11-01,183.200
2004-12-01,.
2005-01-01,183.300
2005-02-01,.
2005-03-01,186.300
2005-04-01,.
2005-05-01,186.800
2005-06-01,.
2005-07-01,187.800
2005-08-01,.
2005-09-01,191.600
2005-10-01,.
2005-11-01,189.900
2005-12-01,.
2006-01-01,190.300
2006-02-01,.
2006-03-01,190.700
2006-04-01,.
2006-05-01,192.400
2006-06-01,.
2006-07-01,193.100
2006-08-01,.
2006-09-01,190.700
2006-10-01,.
2006-11-01,189.400
2006-12-01,.
2007-01-01,191.610
2007-02-01,.
2007-03-01,194.244
2007-04-01,.
2007-05-01,196.216
2007-06-01,.
2007-07-01,197.010
2007-08-01,.
2007-09-01,197.000
2007-10-01,.
2007-11-01,197.726
2007-12-01,.
2008-01-01,199.686
2008-02-01,.
2008-03-01,202.500
2008-04-01,.
2008-05-01,204.882
2008-06-01,.
2008-07-01,206.941
2008-08-01,.
2008-09-01,206.219
2008-10-01,.
2008-11-01,198.187
2008-12-01,.
2009-01-01,198.232
2009-02-01,.
2009-03-01,199.457
2009-04-01,.
2009-05-01,200.196
2009-06-01,.
2009-07-01,200.558
2009-08-01,.
2009-09-01,201.836
2009-10-01,.
2009-11-01,201.471
2009-12-01,.
2010-01-01,203.037
2010-02-01,.
2010-03-01,203.577
2010-04-01,.
2010-05-01,204.024
2010-06-01,.
2010-07-01,203.989
2010-08-01,.
2010-09-01,205.492
2010-10-01,.
2010-11-01,206.168
2010-12-01,.
2011-01-01,207.587
2011-02-01,.
2011-03-01,209.372
2011-04-01,.
2011-05-01,212.175
2011-06-01,.
2011-07-01,211.686
2011-08-01,.
2011-09-01,213.004
2011-10-01,.
2011-11-01,211.225
2011-12-01,.
2012-01-01,211.985
2012-02-01,.
2012-03-01,214.743
2012-04-01,.
2012-05-01,214.607
2012-06-01,.
2012-07-01,214.612
2012-08-01,.
2012-09-01,216.851
2012-10-01,.
2012-11-01,214.661
2012-12-01,.
2013-01-01,215.102
2013-02-01,.
2013-03-01,216.946
2013-04-01,.
2013-05-01,217.738
2013-06-01,.
2013-07-01,219.251
2013-08-01,.
2013-09-01,218.380
2013-10-01,.
2013-11-01,216.772
2013-12-01,.
2014-01-01,217.445
2014-02-01,.
2014-03-01,220.962
2014-04-01,.
2014-05-01,221.413
2014-06-01,.
2014-07-01,222.410
2014-08-01,.
2014-09-01,221.242
2014-10-01,.
2014-11-01,219.992
2014-12-01,.
2015-01-01,218.536
2015-02-01,.
2015-03-01,220.444
2015-04-01,.
2015-05-01,221.277
2015-06-01,.
2015-07-01,223.368
2015-08-01,.
2015-09-01,220.304
2015-10-01,.
2015-11-01,219.126
2015-12-01,.
2016-01-01,218.845
2016-02-01,.
2016-03-01,219.970
2016-04-01,.
2016-05-01,221.926
2016-06-01,.
2016-07-01,222.010
2016-08-01,.
2016-09-01,220.963
2016-10-01,.
2016-11-01,220.777
2016-12-01,.
2017-01-01,222.241
2017-02-01,.
2017-03-01,222.849
2017-04-01,.
2017-05-01,223.089
2017-06-01,.
2017-07-01,223.529
2017-08-01,.
2017-09-01,224.879
2017-10-01,.
2017-11-01,224.390
