DATE,CUURA316SA0
2000-01-01,160.400
2000-02-01,.
2000-03-01,163.100
2000-04-01,.
2000-05-01,163.200
2000-06-01,.
2000-07-01,166.200
2000-08-01,.
2000-09-01,166.900
2000-10-01,.
2000-11-01,166.800
2000-12-01,.
2001-01-01,167.300
2001-02-01,.
2001-03-01,168.900
2001-04-01,.
2001-05-01,169.400
2001-06-01,.
2001-07-01,171.500
2001-08-01,.
2001-09-01,172.800
2001-10-01,.
2001-11-01,171.500
2001-12-01,.
2002-01-01,170.600
2002-02-01,.
2002-03-01,172.100
2002-04-01,.
2002-05-01,172.900
2002-06-01,.
2002-07-01,172.900
2002-08-01,.
2002-09-01,173.200
2002-10-01,.
2002-11-01,173.600
2002-12-01,.
2003-01-01,174.000
2003-02-01,.
2003-03-01,176.800
2003-04-01,.
2003-05-01,176.900
2003-06-01,.
2003-07-01,176.500
2003-08-01,.
2003-09-01,177.000
2003-10-01,.
2003-11-01,175.900
2003-12-01,.
2004-01-01,175.700
2004-02-01,.
2004-03-01,177.700
2004-04-01,.
2004-05-01,179.100
2004-06-01,.
2004-07-01,179.100
2004-08-01,.
2004-09-01,179.700
2004-10-01,.
2004-11-01,179.900
2004-12-01,.
2005-01-01,180.000
2005-02-01,.
2005-03-01,181.300
2005-04-01,.
2005-05-01,183.500
2005-06-01,.
2005-07-01,184.300
2005-08-01,.
2005-09-01,188.900
2005-10-01,.
2005-11-01,187.800
2005-12-01,.
2006-01-01,188.600
2006-02-01,.
2006-03-01,188.400
2006-04-01,.
2006-05-01,191.200
2006-06-01,.
2006-07-01,191.700
2006-08-01,.
2006-09-01,192.000
2006-10-01,.
2006-11-01,188.400
2006-12-01,.
2007-01-01,188.890
2007-02-01,.
2007-03-01,190.156
2007-04-01,.
2007-05-01,192.779
2007-06-01,.
2007-07-01,194.286
2007-08-01,.
2007-09-01,194.847
2007-10-01,.
2007-11-01,196.465
2007-12-01,.
2008-01-01,197.079
2008-02-01,.
2008-03-01,198.596
2008-04-01,.
2008-05-01,202.357
2008-06-01,.
2008-07-01,206.413
2008-08-01,.
2008-09-01,205.883
2008-10-01,.
2008-11-01,200.051
2008-12-01,.
2009-01-01,198.623
2009-02-01,.
2009-03-01,200.039
2009-04-01,.
2009-05-01,199.311
2009-06-01,.
2009-07-01,200.663
2009-08-01,.
2009-09-01,201.802
2009-10-01,.
2009-11-01,201.958
2009-12-01,.
2010-01-01,202.106
2010-02-01,.
2010-03-01,201.982
2010-04-01,.
2010-05-01,202.108
2010-06-01,.
2010-07-01,200.227
2010-08-01,.
2010-09-01,201.882
2010-10-01,.
2010-11-01,201.168
2010-12-01,.
2011-01-01,203.199
2011-02-01,.
2011-03-01,206.967
2011-04-01,.
2011-05-01,208.794
2011-06-01,.
2011-07-01,208.602
2011-08-01,.
2011-09-01,209.255
2011-10-01,.
2011-11-01,209.283
2011-12-01,.
2012-01-01,209.203
2012-02-01,.
2012-03-01,212.618
2012-04-01,.
2012-05-01,212.226
2012-06-01,.
2012-07-01,211.267
2012-08-01,.
2012-09-01,214.033
2012-10-01,.
2012-11-01,212.901
2012-12-01,.
2013-01-01,213.696
2013-02-01,.
2013-03-01,216.465
2013-04-01,.
2013-05-01,215.670
2013-06-01,.
2013-07-01,216.979
2013-08-01,.
2013-09-01,217.068
2013-10-01,.
2013-11-01,215.450
2013-12-01,.
2014-01-01,216.291
2014-02-01,.
2014-03-01,218.715
2014-04-01,.
2014-05-01,219.590
2014-06-01,.
2014-07-01,219.543
2014-08-01,.
2014-09-01,219.380
2014-10-01,.
2014-11-01,217.188
2014-12-01,.
2015-01-01,214.899
2015-02-01,.
2015-03-01,217.487
2015-04-01,.
2015-05-01,218.484
2015-06-01,.
2015-07-01,218.676
2015-08-01,.
2015-09-01,217.507
2015-10-01,.
2015-11-01,217.104
2015-12-01,.
2016-01-01,217.164
2016-02-01,.
2016-03-01,218.877
2016-04-01,.
2016-05-01,220.717
2016-06-01,.
2016-07-01,221.507
2016-08-01,.
2016-09-01,221.923
2016-10-01,.
2016-11-01,222.259
2016-12-01,.
2017-01-01,223.082
2017-02-01,.
2017-03-01,223.782
2017-04-01,.
2017-05-01,225.264
2017-06-01,.
2017-07-01,225.613
2017-08-01,.
2017-09-01,229.056
2017-10-01,.
2017-11-01,229.352
2017-12-01,.
2018-01-01,229.132
2018-02-01,.
2018-03-01,230.272
2018-04-01,.
2018-05-01,234.034
2018-06-01,.
2018-07-01,233.570
2018-08-01,.
2018-09-01,234.563
2018-10-01,.
2018-11-01,234.487
2018-12-01,.
2019-01-01,233.915
2019-02-01,.
2019-03-01,236.495
2019-04-01,.
2019-05-01,237.485
2019-06-01,.
2019-07-01,238.891
2019-08-01,.
2019-09-01,239.815
2019-10-01,.
2019-11-01,238.768
2019-12-01,.
2020-01-01,238.935
2020-02-01,.
2020-03-01,238.865
2020-04-01,.
2020-05-01,236.317
2020-06-01,.
2020-07-01,239.888
2020-08-01,.
2020-09-01,240.658
2020-10-01,.
2020-11-01,239.544
2020-12-01,.
2021-01-01,242.513
2021-02-01,.
2021-03-01,246.995
2021-04-01,.
2021-05-01,251.228
2021-06-01,.
2021-07-01,253.319
2021-08-01,.
2021-09-01,254.950
2021-10-01,.
2021-11-01,257.394
2021-12-01,.
2022-01-01,261.499
2022-02-01,.
2022-03-01,269.347
