DATE,CUUSA433SA0S
1990-01-01,119.400
1990-07-01,122.500
1991-01-01,124.800
1991-07-01,126.400
1992-01-01,129.000
1992-07-01,131.600
1993-01-01,134.600
1993-07-01,137.000
1994-01-01,140.000
1994-07-01,143.600
1995-01-01,146.900
1995-07-01,149.000
1996-01-01,152.000
1996-07-01,154.200
1997-01-01,157.100
1997-07-01,159.100
1998-01-01,160.500
1998-07-01,163.300
1999-01-01,165.100
1999-07-01,168.200
2000-01-01,171.400
2000-07-01,175.100
2001-01-01,180.700
2001-07-01,181.800
2002-01-01,184.600
2002-07-01,185.100
2003-01-01,187.800
2003-07-01,185.700
2004-01-01,186.500
2004-07-01,187.400
2005-01-01,189.200
2005-07-01,192.600
2006-01-01,196.300
2006-07-01,199.100
2007-01-01,201.258
2007-07-01,202.799
2008-01-01,208.741
2008-07-01,211.066
2009-01-01,207.444
2009-07-01,209.652
2010-01-01,210.978
2010-07-01,213.916
2011-01-01,219.055
2011-07-01,221.521
2012-01-01,222.960
2012-07-01,226.177
2013-01-01,229.142
2013-07-01,232.439
2014-01-01,235.736
2014-07-01,238.664
2015-01-01,238.086
2015-07-01,241.895
2016-01-01,245.191
2016-07-01,248.095
2017-01-01,252.760
2017-07-01,257.230
2018-01-01,260.790
2018-07-01,263.127
2019-01-01,264.147
2019-07-01,269.850
2020-01-01,271.264
2020-07-01,273.149
2021-01-01,276.290
2021-07-01,287.400
