DATE,CUURA208SA0
1990-02-01,126.100
1990-03-01,.
1990-04-01,126.900
1990-05-01,.
1990-06-01,127.700
1990-07-01,.
1990-08-01,129.400
1990-09-01,.
1990-10-01,131.800
1990-11-01,.
1990-12-01,131.200
1991-01-01,.
1991-02-01,132.200
1991-03-01,.
1991-04-01,131.700
1991-05-01,.
1991-06-01,133.500
1991-07-01,.
1991-08-01,133.200
1991-09-01,.
1991-10-01,134.600
1991-11-01,.
1991-12-01,134.000
1992-01-01,.
1992-02-01,134.900
1992-03-01,.
1992-04-01,135.300
1992-05-01,.
1992-06-01,135.500
1992-07-01,.
1992-08-01,135.800
1992-09-01,.
1992-10-01,137.500
1992-11-01,.
1992-12-01,137.100
1993-01-01,.
1993-02-01,138.300
1993-03-01,.
1993-04-01,138.700
1993-05-01,.
1993-06-01,139.100
1993-07-01,.
1993-08-01,139.900
1993-09-01,.
1993-10-01,141.900
1993-11-01,.
1993-12-01,140.200
1994-01-01,.
1994-02-01,141.700
1994-03-01,.
1994-04-01,142.600
1994-05-01,.
1994-06-01,144.800
1994-07-01,.
1994-08-01,145.300
1994-09-01,.
1994-10-01,145.700
1994-11-01,.
1994-12-01,145.500
1995-01-01,.
1995-02-01,147.300
1995-03-01,.
1995-04-01,148.100
1995-05-01,.
1995-06-01,148.300
1995-07-01,.
1995-08-01,148.800
1995-09-01,.
1995-10-01,149.800
1995-11-01,.
1995-12-01,150.300
1996-01-01,.
1996-02-01,151.300
1996-03-01,.
1996-04-01,152.300
1996-05-01,.
1996-06-01,151.900
1996-07-01,.
1996-08-01,152.700
1996-09-01,.
1996-10-01,153.800
1996-11-01,.
1996-12-01,154.300
1997-01-01,.
1997-02-01,155.400
1997-03-01,.
1997-04-01,156.000
1997-05-01,.
1997-06-01,155.000
1997-07-01,.
1997-08-01,156.900
1997-09-01,.
1997-10-01,157.900
1997-11-01,.
1997-12-01,157.100
1998-01-01,.
1998-02-01,158.500
1998-03-01,.
1998-04-01,159.100
1998-05-01,.
1998-06-01,159.400
1998-07-01,.
1998-08-01,160.500
1998-09-01,.
1998-10-01,161.000
1998-11-01,.
1998-12-01,161.200
1999-01-01,.
1999-02-01,161.200
1999-03-01,.
1999-04-01,164.100
1999-05-01,.
1999-06-01,163.800
1999-07-01,.
1999-08-01,164.200
1999-09-01,.
1999-10-01,165.900
1999-11-01,.
1999-12-01,165.600
2000-01-01,.
2000-02-01,167.300
2000-03-01,.
2000-04-01,168.300
2000-05-01,.
2000-06-01,170.900
2000-07-01,.
2000-08-01,170.100
2000-09-01,.
2000-10-01,171.900
2000-11-01,.
2000-12-01,171.700
2001-01-01,.
2001-02-01,173.200
2001-03-01,.
2001-04-01,174.500
2001-05-01,.
2001-06-01,175.800
2001-07-01,.
2001-08-01,175.100
2001-09-01,.
2001-10-01,174.800
2001-11-01,.
2001-12-01,173.500
2002-01-01,.
2002-02-01,176.200
2002-03-01,.
2002-04-01,179.000
2002-05-01,.
2002-06-01,179.000
2002-07-01,.
2002-08-01,180.900
2002-09-01,.
2002-10-01,180.400
2002-11-01,.
2002-12-01,179.700
2003-01-01,.
2003-02-01,182.400
2003-03-01,.
2003-04-01,182.200
2003-05-01,.
2003-06-01,182.800
2003-07-01,.
2003-08-01,183.600
2003-09-01,.
2003-10-01,183.300
2003-11-01,.
2003-12-01,181.300
2004-01-01,.
2004-02-01,183.400
2004-03-01,.
2004-04-01,184.700
2004-05-01,.
2004-06-01,185.800
2004-07-01,.
2004-08-01,186.800
2004-09-01,.
2004-10-01,187.600
2004-11-01,.
2004-12-01,185.300
2005-01-01,.
2005-02-01,187.800
2005-03-01,.
2005-04-01,189.800
2005-05-01,.
2005-06-01,189.600
2005-07-01,.
2005-08-01,192.200
2005-09-01,.
2005-10-01,195.100
2005-11-01,.
2005-12-01,192.400
2006-01-01,.
2006-02-01,194.800
2006-03-01,.
2006-04-01,197.200
2006-05-01,.
2006-06-01,196.800
2006-07-01,.
2006-08-01,198.600
2006-09-01,.
2006-10-01,196.600
2006-11-01,.
2006-12-01,196.400
2007-01-01,.
2007-02-01,198.064
2007-03-01,.
2007-04-01,200.418
2007-05-01,.
2007-06-01,201.585
2007-07-01,.
2007-08-01,199.679
2007-09-01,.
2007-10-01,201.786
2007-11-01,.
2007-12-01,200.201
2008-01-01,.
2008-02-01,202.378
2008-03-01,.
2008-04-01,205.281
2008-05-01,.
2008-06-01,207.593
2008-07-01,.
2008-08-01,209.484
2008-09-01,.
2008-10-01,205.238
2008-11-01,.
2008-12-01,197.991
2009-01-01,.
2009-02-01,201.913
2009-03-01,.
2009-04-01,202.373
2009-05-01,.
2009-06-01,204.537
2009-07-01,.
2009-08-01,204.673
2009-09-01,.
2009-10-01,205.079
2009-11-01,.
2009-12-01,203.880
2010-01-01,.
2010-02-01,203.380
2010-03-01,.
2010-04-01,205.248
2010-05-01,.
2010-06-01,204.891
2010-07-01,.
2010-08-01,205.412
2010-09-01,.
2010-10-01,205.824
2010-11-01,.
2010-12-01,206.384
2011-01-01,.
2011-02-01,206.816
2011-03-01,.
2011-04-01,211.673
2011-05-01,.
2011-06-01,213.506
2011-07-01,.
2011-08-01,213.924
2011-09-01,.
2011-10-01,212.927
2011-11-01,.
2011-12-01,213.505
2012-01-01,.
2012-02-01,214.836
2012-03-01,.
2012-04-01,216.194
2012-05-01,.
2012-06-01,214.464
2012-07-01,.
2012-08-01,217.098
2012-09-01,.
2012-10-01,218.104
2012-11-01,.
2012-12-01,216.569
2013-01-01,.
2013-02-01,218.893
2013-03-01,.
2013-04-01,218.904
2013-05-01,.
2013-06-01,221.607
2013-07-01,.
2013-08-01,220.000
2013-09-01,.
2013-10-01,219.685
2013-11-01,.
2013-12-01,218.217
2014-01-01,.
2014-02-01,220.516
2014-03-01,.
2014-04-01,223.326
2014-05-01,.
2014-06-01,224.482
2014-07-01,.
2014-08-01,222.284
2014-09-01,.
2014-10-01,221.988
2014-11-01,.
2014-12-01,218.083
2015-01-01,.
2015-02-01,216.488
2015-03-01,.
2015-04-01,219.005
2015-05-01,.
2015-06-01,219.034
2015-07-01,.
2015-08-01,220.249
2015-09-01,.
2015-10-01,220.506
2015-11-01,.
2015-12-01,217.764
2016-01-01,.
2016-02-01,218.360
2016-03-01,.
2016-04-01,221.412
2016-05-01,.
2016-06-01,224.070
2016-07-01,.
2016-08-01,223.894
2016-09-01,.
2016-10-01,224.271
2016-11-01,.
2016-12-01,222.983
2017-01-01,.
2017-02-01,224.957
2017-03-01,.
2017-04-01,226.484
2017-05-01,.
2017-06-01,226.525
2017-07-01,.
2017-08-01,226.759
2017-09-01,.
2017-10-01,228.779
2017-11-01,.
2017-12-01,228.951
2018-01-01,.
2018-02-01,229.715
2018-03-01,.
2018-04-01,231.784
2018-05-01,.
2018-06-01,234.695
2018-07-01,.
2018-08-01,233.221
2018-09-01,.
2018-10-01,233.134
2018-11-01,.
2018-12-01,231.696
2019-01-01,.
2019-02-01,232.549
2019-03-01,.
2019-04-01,234.022
2019-05-01,.
2019-06-01,234.895
2019-07-01,.
2019-08-01,236.400
2019-09-01,.
2019-10-01,238.838
2019-11-01,.
2019-12-01,237.514
2020-01-01,.
2020-02-01,238.634
2020-03-01,.
2020-04-01,232.107
2020-05-01,.
2020-06-01,236.118
2020-07-01,.
2020-08-01,240.598
2020-09-01,.
2020-10-01,239.922
2020-11-01,.
2020-12-01,239.089
2021-01-01,.
2021-02-01,240.570
2021-03-01,.
2021-04-01,244.708
2021-05-01,.
2021-06-01,248.876
2021-07-01,.
2021-08-01,250.003
2021-09-01,.
2021-10-01,253.051
2021-11-01,.
2021-12-01,255.782
2022-01-01,.
2022-02-01,258.721
