DATE,CUURA421SA0
1990-01-01,132.100
1990-02-01,133.600
1990-03-01,134.500
1990-04-01,134.200
1990-05-01,134.600
1990-06-01,135.000
1990-07-01,135.600
1990-08-01,136.300
1990-09-01,137.700
1990-10-01,138.700
1990-11-01,138.900
1990-12-01,139.200
1991-01-01,140.000
1991-02-01,139.900
1991-03-01,139.700
1991-04-01,140.700
1991-05-01,140.800
1991-06-01,140.800
1991-07-01,141.500
1991-08-01,141.700
1991-09-01,142.600
1991-10-01,142.900
1991-11-01,143.500
1991-12-01,143.100
1992-01-01,144.300
1992-02-01,144.900
1992-03-01,145.500
1992-04-01,145.800
1992-05-01,146.000
1992-06-01,146.200
1992-07-01,146.700
1992-08-01,146.900
1992-09-01,147.400
1992-10-01,148.400
1992-11-01,148.200
1992-12-01,148.200
1993-01-01,149.200
1993-02-01,150.000
1993-03-01,149.800
1993-04-01,149.900
1993-05-01,150.100
1993-06-01,149.700
1993-07-01,149.800
1993-08-01,149.900
1993-09-01,150.200
1993-10-01,150.900
1993-11-01,151.600
1993-12-01,151.900
1994-01-01,152.200
1994-02-01,152.200
1994-03-01,152.500
1994-04-01,152.000
1994-05-01,151.400
1994-06-01,151.300
1994-07-01,151.700
1994-08-01,152.000
1994-09-01,152.700
1994-10-01,153.400
1994-11-01,152.900
1994-12-01,153.400
1995-01-01,154.300
1995-02-01,154.500
1995-03-01,154.600
1995-04-01,154.700
1995-05-01,155.100
1995-06-01,154.800
1995-07-01,154.500
1995-08-01,154.400
1995-09-01,154.600
1995-10-01,155.200
1995-11-01,154.400
1995-12-01,154.600
1996-01-01,155.700
1996-02-01,156.200
1996-03-01,157.300
1996-04-01,157.700
1996-05-01,157.500
1996-06-01,156.700
1996-07-01,157.600
1996-08-01,157.300
1996-09-01,158.200
1996-10-01,158.800
1996-11-01,158.400
1996-12-01,158.300
1997-01-01,159.100
1997-02-01,159.200
1997-03-01,159.800
1997-04-01,159.900
1997-05-01,159.500
1997-06-01,159.400
1997-07-01,159.500
1997-08-01,159.700
1997-09-01,160.500
1997-10-01,161.100
1997-11-01,160.700
1997-12-01,161.200
1998-01-01,161.000
1998-02-01,161.100
1998-03-01,161.400
1998-04-01,161.800
1998-05-01,162.300
1998-06-01,162.200
1998-07-01,162.100
1998-08-01,162.600
1998-09-01,162.600
1998-10-01,163.200
1998-11-01,163.400
1998-12-01,163.500
1999-01-01,164.200
1999-02-01,164.600
1999-03-01,165.000
1999-04-01,166.600
1999-05-01,166.200
1999-06-01,165.400
1999-07-01,165.800
1999-08-01,166.300
1999-09-01,167.200
1999-10-01,167.200
1999-11-01,167.100
1999-12-01,167.300
2000-01-01,167.900
2000-02-01,169.300
2000-03-01,170.700
2000-04-01,170.600
2000-05-01,171.100
2000-06-01,171.000
2000-07-01,171.700
2000-08-01,172.200
2000-09-01,173.300
2000-10-01,173.800
2000-11-01,173.500
2000-12-01,173.500
2001-01-01,174.200
2001-02-01,175.400
2001-03-01,176.200
2001-04-01,176.600
2001-05-01,177.500
2001-06-01,178.900
2001-07-01,178.300
2001-08-01,178.400
2001-09-01,178.800
2001-10-01,178.300
2001-11-01,178.100
2001-12-01,177.100
2002-01-01,178.900
2002-02-01,180.100
2002-03-01,181.100
2002-04-01,182.200
2002-05-01,182.600
2002-06-01,181.900
2002-07-01,182.200
2002-08-01,183.000
2002-09-01,183.400
2002-10-01,183.700
2002-11-01,184.000
2002-12-01,183.700
2003-01-01,185.200
2003-02-01,186.500
2003-03-01,188.200
2003-04-01,187.600
2003-05-01,186.400
2003-06-01,186.300
2003-07-01,186.300
2003-08-01,186.900
2003-09-01,188.200
2003-10-01,187.800
2003-11-01,187.100
2003-12-01,187.000
2004-01-01,188.500
2004-02-01,190.100
2004-03-01,191.500
2004-04-01,191.900
2004-05-01,193.300
2004-06-01,193.700
2004-07-01,193.400
