DATE,CUURA320SA0
1997-12-01,159.300
1998-01-01,.
1998-02-01,160.200
1998-03-01,.
1998-04-01,160.200
1998-05-01,.
1998-06-01,160.200
1998-07-01,.
1998-08-01,160.800
1998-09-01,.
1998-10-01,161.100
1998-11-01,.
1998-12-01,161.100
1999-01-01,.
1999-02-01,161.400
1999-03-01,.
1999-04-01,161.700
1999-05-01,.
1999-06-01,161.300
1999-07-01,.
1999-08-01,162.300
1999-09-01,.
1999-10-01,164.100
1999-11-01,.
1999-12-01,164.800
2000-01-01,.
2000-02-01,165.900
2000-03-01,.
2000-04-01,166.900
2000-05-01,.
2000-06-01,168.000
2000-07-01,.
2000-08-01,168.400
2000-09-01,.
2000-10-01,169.600
2000-11-01,.
2000-12-01,169.500
2001-01-01,.
2001-02-01,171.900
2001-03-01,.
2001-04-01,172.800
2001-05-01,.
2001-06-01,173.500
2001-07-01,.
2001-08-01,173.500
2001-09-01,.
2001-10-01,174.200
2001-11-01,.
2001-12-01,173.100
2002-01-01,.
2002-02-01,175.000
2002-03-01,.
2002-04-01,175.000
2002-05-01,.
2002-06-01,174.400
2002-07-01,.
2002-08-01,175.200
2002-09-01,.
2002-10-01,177.000
2002-11-01,.
2002-12-01,177.900
2003-01-01,.
2003-02-01,180.300
2003-03-01,.
2003-04-01,180.600
2003-05-01,.
2003-06-01,179.400
2003-07-01,.
2003-08-01,180.900
2003-09-01,.
2003-10-01,181.600
2003-11-01,.
2003-12-01,181.600
2004-01-01,.
2004-02-01,183.600
2004-03-01,.
2004-04-01,185.200
2004-05-01,.
2004-06-01,185.600
2004-07-01,.
2004-08-01,185.100
2004-09-01,.
2004-10-01,187.000
2004-11-01,.
2004-12-01,188.600
2005-01-01,.
2005-02-01,190.600
2005-03-01,.
2005-04-01,193.200
2005-05-01,.
2005-06-01,192.600
2005-07-01,.
2005-08-01,195.600
2005-09-01,.
2005-10-01,198.800
2005-11-01,.
2005-12-01,197.400
2006-01-01,.
2006-02-01,202.200
2006-03-01,.
2006-04-01,203.800
2006-05-01,.
2006-06-01,203.800
2006-07-01,.
2006-08-01,205.600
2006-09-01,.
2006-10-01,204.800
2006-11-01,.
2006-12-01,205.400
2007-01-01,.
2007-02-01,207.989
2007-03-01,.
2007-04-01,210.904
2007-05-01,.
2007-06-01,212.820
2007-07-01,.
2007-08-01,213.127
2007-09-01,.
2007-10-01,215.159
2007-11-01,.
2007-12-01,217.319
2008-01-01,.
2008-02-01,219.082
2008-03-01,.
2008-04-01,221.324
2008-05-01,.
2008-06-01,225.079
2008-07-01,.
2008-08-01,225.473
2008-09-01,.
2008-10-01,223.699
2008-11-01,.
2008-12-01,218.324
2009-01-01,.
2009-02-01,220.589
2009-03-01,.
2009-04-01,220.740
2009-05-01,.
2009-06-01,221.485
2009-07-01,.
2009-08-01,221.306
2009-09-01,.
2009-10-01,222.416
2009-11-01,.
2009-12-01,222.943
2010-01-01,.
2010-02-01,222.505
2010-03-01,.
2010-04-01,222.625
2010-05-01,.
2010-06-01,222.390
2010-07-01,.
2010-08-01,222.803
2010-09-01,.
2010-10-01,223.631
2010-11-01,.
2010-12-01,224.907
2011-01-01,.
2011-02-01,227.451
2011-03-01,.
2011-04-01,231.503
2011-05-01,.
2011-06-01,231.197
2011-07-01,.
2011-08-01,232.749
2011-09-01,.
2011-10-01,232.141
2011-11-01,.
2011-12-01,231.794
2012-01-01,.
2012-02-01,234.043
2012-03-01,.
2012-04-01,236.095
2012-05-01,.
2012-06-01,233.991
2012-07-01,.
2012-08-01,236.110
2012-09-01,.
2012-10-01,236.793
2012-11-01,.
2012-12-01,235.023
2013-01-01,.
2013-02-01,238.524
2013-03-01,.
2013-04-01,238.124
2013-05-01,.
2013-06-01,237.815
2013-07-01,.
2013-08-01,237.438
2013-09-01,.
2013-10-01,238.858
2013-11-01,.
2013-12-01,239.417
2014-01-01,.
2014-02-01,242.268
2014-03-01,.
2014-04-01,244.073
2014-05-01,.
2014-06-01,243.428
2014-07-01,.
2014-08-01,243.124
2014-09-01,.
2014-10-01,244.130
2014-11-01,.
2014-12-01,242.676
2015-01-01,.
2015-02-01,243.283
2015-03-01,.
2015-04-01,245.195
2015-05-01,.
2015-06-01,246.245
2015-07-01,.
2015-08-01,246.348
2015-09-01,.
2015-10-01,246.789
2015-11-01,.
2015-12-01,246.597
2016-01-01,.
2016-02-01,247.126
2016-03-01,.
2016-04-01,248.741
2016-05-01,.
2016-06-01,250.208
2016-07-01,.
2016-08-01,250.263
2016-09-01,.
2016-10-01,251.571
2016-11-01,.
2016-12-01,253.629
2017-01-01,.
2017-02-01,256.890
2017-03-01,.
2017-04-01,255.708
2017-05-01,.
2017-06-01,255.134
2017-07-01,.
2017-08-01,255.898
2017-09-01,.
2017-10-01,258.456
2017-11-01,.
2017-12-01,258.238
2018-01-01,.
2018-02-01,264.990
2018-03-01,.
2018-04-01,264.696
2018-05-01,.
2018-06-01,265.973
2018-07-01,.
2018-08-01,265.062
2018-09-01,.
2018-10-01,267.280
2018-11-01,.
2018-12-01,265.731
2019-01-01,.
2019-02-01,268.288
2019-03-01,.
2019-04-01,270.553
2019-05-01,.
2019-06-01,269.119
2019-07-01,.
2019-08-01,270.176
2019-09-01,.
2019-10-01,271.381
2019-11-01,.
2019-12-01,270.918
2020-01-01,.
2020-02-01,272.044
2020-03-01,.
2020-04-01,269.237
2020-05-01,.
2020-06-01,271.072
2020-07-01,.
2020-08-01,273.861
2020-09-01,.
2020-10-01,274.193
2020-11-01,.
2020-12-01,273.774
2021-01-01,.
2021-02-01,275.849
2021-03-01,.
2021-04-01,280.390
2021-05-01,.
2021-06-01,284.797
2021-07-01,.
2021-08-01,285.472
2021-09-01,.
2021-10-01,289.793
2021-11-01,.
2021-12-01,293.284
2022-01-01,.
2022-02-01,302.920
