DATE,CUURA101SA0
1987-01-01,114.700
1987-02-01,115.300
1987-03-01,115.800
1987-04-01,116.600
1987-05-01,117.300
1987-06-01,117.800
1987-07-01,117.900
1987-08-01,118.900
1987-09-01,119.800
1987-10-01,120.200
1987-11-01,120.500
1987-12-01,120.600
1988-01-01,121.300
1988-02-01,121.100
1988-03-01,121.500
1988-04-01,122.600
1988-05-01,122.700
1988-06-01,123.100
1988-07-01,123.600
1988-08-01,124.200
1988-09-01,126.000
1988-10-01,126.200
1988-11-01,125.900
1988-12-01,126.000
1989-01-01,127.000
1989-02-01,127.600
1989-03-01,128.900
1989-04-01,129.500
1989-05-01,130.200
1989-06-01,130.500
1989-07-01,130.600
1989-08-01,130.900
1989-09-01,132.200
1989-10-01,132.800
1989-11-01,133.200
1989-12-01,133.300
1990-01-01,135.100
1990-02-01,135.300
1990-03-01,136.600
1990-04-01,137.300
1990-05-01,137.200
1990-06-01,137.100
1990-07-01,138.400
1990-08-01,140.000
1990-09-01,140.800
1990-10-01,141.600
1990-11-01,141.500
1990-12-01,141.600
1991-01-01,143.000
1991-02-01,143.600
1991-03-01,143.400
1991-04-01,143.700
1991-05-01,144.000
1991-06-01,144.600
1991-07-01,145.200
1991-08-01,145.400
1991-09-01,145.800
1991-10-01,145.700
1991-11-01,146.600
1991-12-01,146.600
1992-01-01,147.300
1992-02-01,148.000
1992-03-01,149.100
1992-04-01,149.200
1992-05-01,148.900
1992-06-01,149.500
1992-07-01,149.900
1992-08-01,150.800
1992-09-01,151.400
1992-10-01,152.100
1992-11-01,152.200
1992-12-01,151.900
1993-01-01,153.000
1993-02-01,153.600
1993-03-01,154.100
1993-04-01,154.000
1993-05-01,153.800
1993-06-01,154.200
1993-07-01,154.300
1993-08-01,155.300
1993-09-01,155.300
1993-10-01,155.500
1993-11-01,155.400
1993-12-01,155.600
1994-01-01,156.000
1994-02-01,157.400
1994-03-01,157.900
1994-04-01,157.700
1994-05-01,157.300
1994-06-01,157.800
1994-07-01,158.200
1994-08-01,159.100
1994-09-01,159.000
1994-10-01,159.500
1994-11-01,159.400
1994-12-01,158.900
1995-01-01,159.900
1995-02-01,160.300
1995-03-01,160.900
1995-04-01,161.400
1995-05-01,161.800
1995-06-01,162.200
1995-07-01,162.300
1995-08-01,162.800
1995-09-01,163.200
1995-10-01,163.600
1995-11-01,163.800
1995-12-01,163.700
1996-01-01,164.800
1996-02-01,165.700
1996-03-01,166.500
1996-04-01,166.000
1996-05-01,166.400
1996-06-01,166.500
1996-07-01,166.700
1996-08-01,167.200
1996-09-01,168.200
1996-10-01,168.200
1996-11-01,168.400
1996-12-01,168.500
1997-01-01,169.100
1997-02-01,170.100
1997-03-01,170.700
1997-04-01,170.200
1997-05-01,169.900
1997-06-01,170.300
