DATE,CUUSA429SA0S
2002-01-01,101.300
2002-07-01,101.100
2003-01-01,103.100
2003-07-01,103.500
2004-01-01,105.200
2004-07-01,105.200
2005-01-01,107.300
2005-07-01,109.200
2006-01-01,110.600
2006-07-01,112.300
2007-01-01,114.531
2007-07-01,116.038
2008-01-01,118.912
2008-07-01,119.616
2009-01-01,117.335
2009-07-01,117.802
2010-01-01,118.176
2010-07-01,118.278
2011-01-01,120.762
2011-07-01,122.203
2012-01-01,124.128
2012-07-01,124.267
2013-01-01,125.642
2013-07-01,125.922
2014-01-01,127.490
2014-07-01,128.157
2015-01-01,127.288
2015-07-01,128.749
2016-01-01,129.103
2016-07-01,131.112
2017-01-01,132.653
2017-07-01,133.995
2018-01-01,137.828
2018-07-01,139.922
2019-01-01,141.214
2019-07-01,144.626
2020-01-01,145.122
2020-07-01,146.326
2021-01-01,149.750
2021-07-01,156.315
