DATE,CUUSA425SA0S
1990-01-01,124.900
1990-07-01,129.800
1991-01-01,132.800
1991-07-01,135.100
1992-01-01,138.800
1992-07-01,140.900
1993-01-01,143.600
1993-07-01,145.800
1994-01-01,147.700
1994-07-01,150.100
1995-01-01,152.500
1995-07-01,153.900
1996-01-01,157.200
1996-07-01,160.000
1997-01-01,162.600
1997-07-01,165.500
1998-01-01,166.100
1998-07-01,168.100
1999-01-01,170.800
1999-07-01,174.400
2000-01-01,176.400
2000-07-01,179.500
2001-01-01,181.200
2001-07-01,183.600
2002-01-01,183.500
2002-07-01,184.000
2003-01-01,186.000
2003-07-01,186.500
2004-01-01,189.800
2004-07-01,192.500
2005-01-01,194.500
2005-07-01,197.500
2006-01-01,199.800
2006-07-01,202.500
2007-01-01,206.653
2007-07-01,210.460
2008-01-01,214.619
2008-07-01,216.159
2009-01-01,214.102
2009-07-01,217.191
2010-01-01,217.508
2010-07-01,219.179
2011-01-01,223.105
2011-07-01,226.077
2012-01-01,228.746
2012-07-01,230.811
2013-01-01,233.735
2013-07-01,237.322
2014-01-01,239.751
2014-07-01,242.679
2015-01-01,242.976
2015-07-01,245.405
2016-01-01,247.143
2016-07-01,251.710
2017-01-01,258.055
2017-07-01,261.621
