DATE,CUURA423SA0
1997-12-01,165.000
1998-01-01,.
1998-02-01,166.500
1998-03-01,.
1998-04-01,166.400
1998-05-01,.
1998-06-01,167.500
1998-07-01,.
1998-08-01,168.500
1998-09-01,.
1998-10-01,169.300
1998-11-01,.
1998-12-01,169.400
1999-01-01,.
1999-02-01,170.600
1999-03-01,.
1999-04-01,172.200
1999-05-01,.
1999-06-01,172.700
1999-07-01,.
1999-08-01,173.400
1999-09-01,.
1999-10-01,174.700
1999-11-01,.
1999-12-01,174.400
2000-01-01,.
2000-02-01,176.100
2000-03-01,.
2000-04-01,177.800
2000-05-01,.
2000-06-01,179.200
2000-07-01,.
2000-08-01,180.300
2000-09-01,.
2000-10-01,182.100
2000-11-01,.
2000-12-01,181.500
2001-01-01,.
2001-02-01,184.000
2001-03-01,.
2001-04-01,184.200
2001-05-01,.
2001-06-01,186.300
2001-07-01,.
2001-08-01,186.800
2001-09-01,.
2001-10-01,187.900
2001-11-01,.
2001-12-01,186.100
2002-01-01,.
2002-02-01,187.600
2002-03-01,.
2002-04-01,188.800
2002-05-01,.
2002-06-01,189.400
2002-07-01,.
2002-08-01,190.300
2002-09-01,.
2002-10-01,190.900
2002-11-01,.
2002-12-01,190.000
2003-01-01,.
2003-02-01,191.300
2003-03-01,.
2003-04-01,192.300
2003-05-01,.
2003-06-01,191.700
2003-07-01,.
2003-08-01,194.400
2003-09-01,.
2003-10-01,193.700
2003-11-01,.
2003-12-01,191.000
2004-01-01,.
2004-02-01,193.500
2004-03-01,.
2004-04-01,194.300
2004-05-01,.
2004-06-01,195.300
2004-07-01,.
2004-08-01,194.600
2004-09-01,.
2004-10-01,196.500
2004-11-01,.
2004-12-01,195.100
2005-01-01,.
2005-02-01,197.600
2005-03-01,.
2005-04-01,201.300
2005-05-01,.
2005-06-01,199.800
2005-07-01,.
2005-08-01,199.900
2005-09-01,.
2005-10-01,203.300
2005-11-01,.
2005-12-01,200.900
2006-01-01,.
2006-02-01,203.600
2006-03-01,.
2006-04-01,207.400
2006-05-01,.
2006-06-01,208.200
2006-07-01,.
2006-08-01,209.600
2006-09-01,.
2006-10-01,209.800
2006-11-01,.
2006-12-01,209.300
2007-01-01,.
2007-02-01,211.704
2007-03-01,.
2007-04-01,215.767
2007-05-01,.
2007-06-01,215.510
2007-07-01,.
2007-08-01,215.978
2007-09-01,.
2007-10-01,218.427
2007-11-01,.
2007-12-01,218.966
2008-01-01,.
2008-02-01,221.728
2008-03-01,.
2008-04-01,223.196
2008-05-01,.
2008-06-01,228.068
2008-07-01,.
2008-08-01,227.745
2008-09-01,.
2008-10-01,225.915
2008-11-01,.
2008-12-01,222.580
2009-01-01,.
