DATE,CUURA422SA0
1997-12-01,162.600
1998-01-01,.
1998-02-01,163.200
1998-03-01,.
1998-04-01,164.600
1998-05-01,.
1998-06-01,165.500
1998-07-01,.
1998-08-01,166.600
1998-09-01,.
1998-10-01,167.200
1998-11-01,.
1998-12-01,167.400
1999-01-01,.
1999-02-01,169.400
1999-03-01,.
1999-04-01,172.200
1999-05-01,.
1999-06-01,171.800
1999-07-01,.
1999-08-01,173.500
1999-09-01,.
1999-10-01,175.200
1999-11-01,.
1999-12-01,174.500
2000-01-01,.
2000-02-01,176.500
2000-03-01,.
2000-04-01,178.700
2000-05-01,.
2000-06-01,179.100
2000-07-01,.
2000-08-01,181.700
2000-09-01,.
2000-10-01,183.400
2000-11-01,.
2000-12-01,184.100
2001-01-01,.
2001-02-01,187.900
2001-03-01,.
2001-04-01,189.100
2001-05-01,.
2001-06-01,190.900
2001-07-01,.
2001-08-01,191.000
2001-09-01,.
2001-10-01,191.700
2001-11-01,.
2001-12-01,190.600
2002-01-01,.
2002-02-01,191.300
2002-03-01,.
2002-04-01,193.000
2002-05-01,.
2002-06-01,193.200
2002-07-01,.
2002-08-01,193.500
2002-09-01,.
2002-10-01,194.300
2002-11-01,.
2002-12-01,193.200
2003-01-01,.
2003-02-01,197.700
2003-03-01,.
2003-04-01,197.300
2003-05-01,.
2003-06-01,196.300
2003-07-01,.
2003-08-01,196.300
2003-09-01,.
2003-10-01,196.300
2003-11-01,.
2003-12-01,195.300
2004-01-01,.
2004-02-01,198.100
2004-03-01,.
2004-04-01,198.300
2004-05-01,.
2004-06-01,199.000
2004-07-01,.
2004-08-01,198.700
2004-09-01,.
2004-10-01,200.300
2004-11-01,.
2004-12-01,199.500
2005-01-01,.
2005-02-01,201.200
2005-03-01,.
2005-04-01,202.500
2005-05-01,.
2005-06-01,201.200
2005-07-01,.
2005-08-01,203.000
2005-09-01,.
2005-10-01,205.900
2005-11-01,.
2005-12-01,203.400
2006-01-01,.
2006-02-01,207.100
2006-03-01,.
2006-04-01,208.900
2006-05-01,.
2006-06-01,209.100
2006-07-01,.
2006-08-01,210.700
2006-09-01,.
2006-10-01,211.000
2006-11-01,.
2006-12-01,210.400
2007-01-01,.
2007-02-01,213.688
2007-03-01,.
2007-04-01,215.842
2007-05-01,.
2007-06-01,216.123
2007-07-01,.
2007-08-01,216.240
2007-09-01,.
2007-10-01,217.949
2007-11-01,.
2007-12-01,218.485
2008-01-01,.
2008-02-01,219.612
2008-03-01,.
2008-04-01,222.074
2008-05-01,.
2008-06-01,225.181
2008-07-01,.
2008-08-01,225.411
