DATE,CUURA422SA0
1990-01-01,128.500
1990-02-01,129.200
1990-03-01,130.000
1990-04-01,130.700
1990-05-01,130.800
1990-06-01,131.600
1990-07-01,132.300
1990-08-01,133.100
1990-09-01,134.000
1990-10-01,134.600
1990-11-01,134.700
1990-12-01,135.100
1991-01-01,136.700
1991-02-01,136.100
1991-03-01,136.300
1991-04-01,135.800
1991-05-01,136.200
1991-06-01,137.600
1991-07-01,138.200
1991-08-01,139.100
1991-09-01,139.700
1991-10-01,139.600
1991-11-01,139.800
1991-12-01,139.800
1992-01-01,140.300
1992-02-01,141.000
1992-03-01,141.900
1992-04-01,141.600
1992-05-01,141.900
1992-06-01,141.900
1992-07-01,142.200
1992-08-01,142.700
1992-09-01,143.700
1992-10-01,144.300
1992-11-01,144.200
1992-12-01,144.300
1993-01-01,145.100
1993-02-01,145.500
1993-03-01,145.700
1993-04-01,146.800
1993-05-01,146.900
1993-06-01,146.100
1993-07-01,146.100
1993-08-01,146.200
1993-09-01,146.500
1993-10-01,147.000
1993-11-01,147.200
1993-12-01,147.000
1994-01-01,147.500
1994-02-01,147.400
1994-03-01,148.200
1994-04-01,148.000
1994-05-01,148.300
1994-06-01,148.100
1994-07-01,148.900
1994-08-01,149.400
1994-09-01,149.400
1994-10-01,149.400
1994-11-01,149.800
1994-12-01,149.400
1995-01-01,150.300
1995-02-01,150.500
1995-03-01,151.100
1995-04-01,151.500
1995-05-01,151.300
1995-06-01,151.700
1995-07-01,151.500
1995-08-01,151.500
1995-09-01,152.300
1995-10-01,152.600
1995-11-01,152.400
1995-12-01,152.100
1996-01-01,152.900
1996-02-01,153.200
1996-03-01,152.900
1996-04-01,153.900
1996-05-01,155.100
1996-06-01,155.200
1996-07-01,155.900
1996-08-01,155.600
1996-09-01,156.300
1996-10-01,156.900
1996-11-01,156.900
1996-12-01,156.000
1997-01-01,157.000
1997-02-01,157.900
1997-03-01,159.200
1997-04-01,159.600
1997-05-01,159.800
1997-06-01,160.000
1997-07-01,160.600
1997-08-01,161.200
1997-09-01,161.600
1997-10-01,162.500
1997-11-01,162.600
