DATE,CUUSA321SA0S
1997-07-01,134.600
1998-01-01,137.100
1998-07-01,137.900
1999-01-01,139.400
1999-07-01,141.800
2000-01-01,145.100
2000-07-01,146.200
2001-01-01,148.000
2001-07-01,149.600
2002-01-01,152.200
2002-07-01,155.600
2003-01-01,157.600
2003-07-01,158.600
2004-01-01,160.900
2004-07-01,163.100
2005-01-01,166.400
2005-07-01,170.600
2006-01-01,173.900
2006-07-01,176.600
2007-01-01,182.886
2007-07-01,185.689
2008-01-01,189.884
2008-07-01,190.388
2009-01-01,188.604
2009-07-01,191.206
2010-01-01,193.292
2010-07-01,193.716
2011-01-01,197.908
2011-07-01,199.968
2012-01-01,202.716
2012-07-01,204.558
2013-01-01,206.436
2013-07-01,207.136
2014-01-01,210.736
2014-07-01,210.895
2015-01-01,211.414
2015-07-01,211.699
2016-01-01,212.502
2016-07-01,215.572
2017-01-01,218.529
2017-07-01,220.394
2018-01-01,223.318
2018-07-01,225.207
2019-01-01,226.791
2019-07-01,229.478
2020-01-01,231.698
2020-07-01,235.989
2021-01-01,243.219
2021-07-01,252.682
