DATE,SMS11000006500000001
1997-12-01,80.3
1998-01-01,80.3
1998-02-01,81.6
1998-03-01,80.6
1998-04-01,79.5
1998-05-01,81.6
1998-06-01,82.8
1998-07-01,83.5
1998-08-01,83.5
1998-09-01,83.1
1998-10-01,82.6
1998-11-01,82.4
1998-12-01,82.5
1999-01-01,83.7
1999-02-01,83.2
1999-03-01,82.4
1999-04-01,84.6
1999-05-01,85.0
1999-06-01,85.0
1999-07-01,82.4
1999-08-01,82.8
1999-09-01,83.5
1999-10-01,84.2
1999-11-01,84.1
1999-12-01,84.1
2000-01-01,85.1
2000-02-01,85.1
2000-03-01,85.2
2000-04-01,85.5
2000-05-01,85.5
2000-06-01,88.7
2000-07-01,88.7
2000-08-01,89.1
2000-09-01,86.5
2000-10-01,88.4
2000-11-01,89.7
2000-12-01,90.1
2001-01-01,85.3
2001-02-01,84.1
2001-03-01,84.3
2001-04-01,84.1
2001-05-01,86.4
2001-06-01,84.9
2001-07-01,85.5
2001-08-01,85.8
2001-09-01,86.1
2001-10-01,86.0
2001-11-01,85.0
2001-12-01,84.7
2002-01-01,87.7
2002-02-01,88.1
2002-03-01,89.8
2002-04-01,89.6
2002-05-01,88.9
2002-06-01,89.3
2002-07-01,89.2
2002-08-01,89.5
2002-09-01,89.6
2002-10-01,90.2
2002-11-01,91.2
2002-12-01,91.1
2003-01-01,89.1
2003-02-01,88.0
2003-03-01,88.0
2003-04-01,86.6
2003-05-01,87.3
2003-06-01,88.0
2003-07-01,89.9
2003-08-01,89.1
2003-09-01,89.4
2003-10-01,89.9
2003-11-01,89.2
2003-12-01,89.7
2004-01-01,90.5
2004-02-01,92.1
2004-03-01,91.9
2004-04-01,92.1
2004-05-01,92.6
2004-06-01,93.1
2004-07-01,93.1
2004-08-01,92.9
2004-09-01,92.6
2004-10-01,92.2
2004-11-01,92.2
2004-12-01,91.8
2005-01-01,92.1
2005-02-01,92.2
2005-03-01,91.6
2005-04-01,91.2
2005-05-01,91.8
2005-06-01,91.7
2005-07-01,90.9
2005-08-01,91.2
2005-09-01,91.9
2005-10-01,92.1
2005-11-01,94.2
2005-12-01,94.4
2006-01-01,92.8
2006-02-01,93.2
2006-03-01,93.6
2006-04-01,94.0
2006-05-01,93.3
2006-06-01,93.3
2006-07-01,92.9
2006-08-01,93.0
2006-09-01,93.3
2006-10-01,94.4
2006-11-01,96.0
2006-12-01,96.4
2007-01-01,97.1
2007-02-01,99.0
2007-03-01,99.8
2007-04-01,98.6
2007-05-01,97.0
2007-06-01,96.7
2007-07-01,96.9
2007-08-01,96.7
2007-09-01,98.5
2007-10-01,100.2
2007-11-01,99.8
2007-12-01,100.8
2008-01-01,98.9
2008-02-01,98.1
2008-03-01,99.2
2008-04-01,99.7
2008-05-01,101.4
2008-06-01,102.7
2008-07-01,104.2
2008-08-01,105.3
2008-09-01,104.4
2008-10-01,103.3
2008-11-01,102.9
2008-12-01,103.7
2009-01-01,104.6
2009-02-01,104.6
2009-03-01,104.7
2009-04-01,104.0
2009-05-01,104.7
2009-06-01,105.0
2009-07-01,105.9
2009-08-01,105.4
2009-09-01,104.2
2009-10-01,106.4
2009-11-01,106.2
2009-12-01,106.4
2010-01-01,107.0
2010-02-01,105.8
2010-03-01,106.7
2010-04-01,108.3
2010-05-01,108.9
2010-06-01,109.2
2010-07-01,108.4
2010-08-01,109.0
2010-09-01,108.8
2010-10-01,108.0
2010-11-01,107.6
2010-12-01,107.7
2011-01-01,111.1
2011-02-01,112.0
2011-03-01,111.9
2011-04-01,111.4
2011-05-01,110.6
2011-06-01,112.7
2011-07-01,114.9
2011-08-01,113.8
2011-09-01,113.3
2011-10-01,113.2
2011-11-01,112.7
2011-12-01,113.3
2012-01-01,112.2
2012-02-01,112.1
2012-03-01,112.0
2012-04-01,112.7
2012-05-01,114.9
2012-06-01,112.3
2012-07-01,111.0
2012-08-01,112.9
2012-09-01,114.8
2012-10-01,115.7
2012-11-01,116.0
2012-12-01,116.2
2013-01-01,116.0
2013-02-01,116.6
2013-03-01,117.0
2013-04-01,121.4
2013-05-01,120.4
2013-06-01,119.1
2013-07-01,120.5
2013-08-01,120.8
2013-09-01,122.4
2013-10-01,122.0
2013-11-01,121.9
2013-12-01,122.0
2014-01-01,122.0
2014-02-01,121.4
2014-03-01,121.4
2014-04-01,122.4
2014-05-01,119.3
2014-06-01,123.8
2014-07-01,122.5
2014-08-01,123.1
2014-09-01,122.5
2014-10-01,121.7
2014-11-01,122.4
2014-12-01,122.4
2015-01-01,123.0
2015-02-01,123.4
2015-03-01,123.6
2015-04-01,123.5
2015-05-01,123.8
2015-06-01,124.3
2015-07-01,125.3
2015-08-01,125.4
2015-09-01,125.9
2015-10-01,128.0
2015-11-01,128.2
2015-12-01,127.8
2016-01-01,127.0
2016-02-01,128.2
2016-03-01,128.0
2016-04-01,128.4
2016-05-01,128.4
2016-06-01,128.1
2016-07-01,129.0
2016-08-01,128.6
2016-09-01,128.2
2016-10-01,128.2
2016-11-01,128.0
2016-12-01,128.4
2017-01-01,127.4
2017-02-01,128.1
2017-03-01,128.4
2017-04-01,127.8
2017-05-01,127.8
2017-06-01,128.7
2017-07-01,128.3
2017-08-01,128.6
2017-09-01,129.2
2017-10-01,130.4
2017-11-01,129.9
2017-12-01,129.6
2018-01-01,129.6
2018-02-01,130.4
