DATE,CUURA319SAF
1997-12-01,161.000
1998-01-01,.
1998-02-01,161.700
1998-03-01,.
1998-04-01,163.700
1998-05-01,.
1998-06-01,164.800
1998-07-01,.
1998-08-01,166.100
1998-09-01,.
1998-10-01,166.800
1998-11-01,.
1998-12-01,166.600
1999-01-01,.
1999-02-01,166.800
1999-03-01,.
1999-04-01,167.100
1999-05-01,.
1999-06-01,166.200
1999-07-01,.
1999-08-01,167.000
1999-09-01,.
1999-10-01,169.100
1999-11-01,.
1999-12-01,170.200
2000-01-01,.
2000-02-01,170.200
2000-03-01,.
2000-04-01,172.800
2000-05-01,.
2000-06-01,171.700
2000-07-01,.
2000-08-01,172.100
2000-09-01,.
2000-10-01,172.200
2000-11-01,.
2000-12-01,172.600
2001-01-01,.
2001-02-01,176.500
2001-03-01,.
2001-04-01,180.900
2001-05-01,.
2001-06-01,180.300
2001-07-01,.
2001-08-01,180.100
2001-09-01,.
2001-10-01,182.600
2001-11-01,.
2001-12-01,182.900
2002-01-01,.
2002-02-01,182.700
2002-03-01,.
2002-04-01,181.300
2002-05-01,.
2002-06-01,181.200
2002-07-01,.
2002-08-01,182.300
2002-09-01,.
2002-10-01,181.900
2002-11-01,.
2002-12-01,181.900
2003-01-01,.
2003-02-01,184.700
2003-03-01,.
2003-04-01,185.300
2003-05-01,.
2003-06-01,185.200
2003-07-01,.
2003-08-01,187.500
2003-09-01,.
2003-10-01,188.800
2003-11-01,.
2003-12-01,191.800
2004-01-01,.
2004-02-01,191.900
2004-03-01,.
2004-04-01,193.400
2004-05-01,.
2004-06-01,194.900
2004-07-01,.
2004-08-01,195.700
2004-09-01,.
2004-10-01,194.600
2004-11-01,.
2004-12-01,196.400
2005-01-01,.
2005-02-01,196.600
2005-03-01,.
2005-04-01,197.400
2005-05-01,.
2005-06-01,197.900
2005-07-01,.
2005-08-01,197.700
2005-09-01,.
2005-10-01,198.600
2005-11-01,.
2005-12-01,198.300
2006-01-01,.
2006-02-01,201.200
2006-03-01,.
2006-04-01,200.200
2006-05-01,.
2006-06-01,201.500
2006-07-01,.
2006-08-01,202.300
2006-09-01,.
2006-10-01,204.000
2006-11-01,.
2006-12-01,203.100
2007-01-01,.
2007-02-01,204.822
2007-03-01,.
2007-04-01,205.702
2007-05-01,.
2007-06-01,206.882
2007-07-01,.
2007-08-01,208.251
2007-09-01,.
2007-10-01,210.583
2007-11-01,.
2007-12-01,210.721
2008-01-01,.
2008-02-01,214.047
2008-03-01,.
2008-04-01,214.091
2008-05-01,.
2008-06-01,216.852
2008-07-01,.
2008-08-01,219.310
2008-09-01,.
2008-10-01,222.271
2008-11-01,.
2008-12-01,221.900
2009-01-01,.
2009-02-01,219.964
2009-03-01,.
2009-04-01,219.705
2009-05-01,.
2009-06-01,218.054
2009-07-01,.
2009-08-01,218.866
2009-09-01,.
2009-10-01,219.390
2009-11-01,.
2009-12-01,218.041
2010-01-01,.
2010-02-01,220.620
2010-03-01,.
2010-04-01,223.589
2010-05-01,.
2010-06-01,220.427
2010-07-01,.
2010-08-01,220.547
2010-09-01,.
2010-10-01,223.842
2010-11-01,.
2010-12-01,222.267
2011-01-01,.
2011-02-01,225.598
2011-03-01,.
2011-04-01,227.060
2011-05-01,.
2011-06-01,227.247
2011-07-01,.
2011-08-01,231.167
2011-09-01,.
2011-10-01,231.881
2011-11-01,.
2011-12-01,234.023
2012-01-01,.
2012-02-01,233.261
2012-03-01,.
2012-04-01,234.531
2012-05-01,.
2012-06-01,235.276
2012-07-01,.
2012-08-01,235.410
2012-09-01,.
2012-10-01,236.850
2012-11-01,.
2012-12-01,236.947
2013-01-01,.
2013-02-01,237.767
2013-03-01,.
2013-04-01,238.401
2013-05-01,.
2013-06-01,237.044
2013-07-01,.
2013-08-01,238.638
2013-09-01,.
2013-10-01,238.778
2013-11-01,.
2013-12-01,240.150
2014-01-01,.
2014-02-01,242.645
2014-03-01,.
2014-04-01,242.324
2014-05-01,.
2014-06-01,243.838
2014-07-01,.
2014-08-01,245.281
2014-09-01,.
2014-10-01,246.927
2014-11-01,.
2014-12-01,247.678
2015-01-01,.
2015-02-01,250.989
