DATE,CUURA103SAF
1990-01-01,137.100
1990-02-01,.
1990-03-01,138.300
1990-04-01,.
1990-05-01,138.000
1990-06-01,.
1990-07-01,138.300
1990-08-01,.
1990-09-01,139.400
1990-10-01,.
1990-11-01,139.500
1990-12-01,.
1991-01-01,142.200
1991-02-01,.
1991-03-01,141.300
1991-04-01,.
1991-05-01,143.200
1991-06-01,.
1991-07-01,143.000
1991-08-01,.
1991-09-01,141.900
1991-10-01,.
1991-11-01,142.900
1991-12-01,.
1992-01-01,143.500
1992-02-01,.
1992-03-01,143.700
1992-04-01,.
1992-05-01,142.400
1992-06-01,.
1992-07-01,143.100
1992-08-01,.
1992-09-01,143.300
1992-10-01,.
1992-11-01,143.500
1992-12-01,.
1993-01-01,145.400
1993-02-01,.
1993-03-01,145.200
1993-04-01,.
1993-05-01,146.300
1993-06-01,.
1993-07-01,146.700
1993-08-01,.
1993-09-01,146.600
1993-10-01,.
1993-11-01,146.900
1993-12-01,.
1994-01-01,148.000
1994-02-01,.
1994-03-01,149.400
1994-04-01,.
1994-05-01,148.600
1994-06-01,.
1994-07-01,149.800
1994-08-01,.
1994-09-01,151.400
1994-10-01,.
1994-11-01,150.800
1994-12-01,.
1995-01-01,155.000
1995-02-01,.
1995-03-01,153.100
1995-04-01,.
1995-05-01,154.000
1995-06-01,.
1995-07-01,152.500
1995-08-01,.
1995-09-01,153.400
1995-10-01,.
1995-11-01,153.700
1995-12-01,.
1996-01-01,156.000
1996-02-01,.
1996-03-01,157.600
1996-04-01,.
1996-05-01,156.900
1996-06-01,.
1996-07-01,157.400
1996-08-01,.
1996-09-01,158.400
1996-10-01,.
1996-11-01,159.100
1996-12-01,.
1997-01-01,159.200
1997-02-01,.
1997-03-01,160.100
1997-04-01,.
1997-05-01,159.600
1997-06-01,.
1997-07-01,160.300
1997-08-01,.
1997-09-01,160.800
1997-10-01,.
1997-11-01,161.200
1997-12-01,.
1998-01-01,164.500
1998-02-01,.
1998-03-01,163.600
1998-04-01,.
1998-05-01,164.800
1998-06-01,.
1998-07-01,165.400
1998-08-01,.
1998-09-01,166.500
1998-10-01,.
1998-11-01,168.900
1998-12-01,.
1999-01-01,169.400
1999-02-01,.
1999-03-01,168.700
1999-04-01,.
1999-05-01,170.200
1999-06-01,.
1999-07-01,171.200
1999-08-01,.
1999-09-01,170.600
1999-10-01,.
1999-11-01,172.500
1999-12-01,.
2000-01-01,173.000
2000-02-01,.
2000-03-01,172.400
2000-04-01,.
2000-05-01,173.600
2000-06-01,.
2000-07-01,175.300
2000-08-01,.
2000-09-01,176.200
2000-10-01,.
2000-11-01,177.300
2000-12-01,.
2001-01-01,178.400
2001-02-01,.
2001-03-01,179.400
2001-04-01,.
2001-05-01,179.500
2001-06-01,.
2001-07-01,183.100
2001-08-01,.
2001-09-01,182.800
2001-10-01,.
2001-11-01,184.400
2001-12-01,.
2002-01-01,186.300
2002-02-01,.
2002-03-01,184.000
2002-04-01,.
2002-05-01,183.400
2002-06-01,.
2002-07-01,183.900
2002-08-01,.
2002-09-01,185.200
2002-10-01,.
2002-11-01,185.900
2002-12-01,.
2003-01-01,187.200
2003-02-01,.
2003-03-01,186.700
2003-04-01,.
2003-05-01,188.900
2003-06-01,.
2003-07-01,188.000
2003-08-01,.
2003-09-01,191.200
2003-10-01,.
2003-11-01,191.300
2003-12-01,.
2004-01-01,193.000
2004-02-01,.
2004-03-01,192.300
2004-04-01,.
2004-05-01,194.900
2004-06-01,.
2004-07-01,195.600
2004-08-01,.
2004-09-01,196.500
2004-10-01,.
2004-11-01,198.400
2004-12-01,.
2005-01-01,199.600
2005-02-01,.
2005-03-01,199.500
2005-04-01,.
2005-05-01,200.700
2005-06-01,.
2005-07-01,199.400
2005-08-01,.
2005-09-01,200.800
2005-10-01,.
2005-11-01,200.300
2005-12-01,.
2006-01-01,203.400
2006-02-01,.
2006-03-01,203.500
2006-04-01,.
2006-05-01,205.200
2006-06-01,.
2006-07-01,207.200
2006-08-01,.
2006-09-01,208.100
2006-10-01,.
2006-11-01,207.400
2006-12-01,.
2007-01-01,209.639
2007-02-01,.
2007-03-01,211.991
2007-04-01,.
2007-05-01,212.480
2007-06-01,.
2007-07-01,213.642
2007-08-01,.
2007-09-01,214.944
2007-10-01,.
2007-11-01,215.940
2007-12-01,.
2008-01-01,217.948
2008-02-01,.
2008-03-01,218.774
2008-04-01,.
2008-05-01,221.487
2008-06-01,.
2008-07-01,224.591
2008-08-01,.
2008-09-01,228.366
2008-10-01,.
2008-11-01,230.556
2008-12-01,.
2009-01-01,230.448
2009-02-01,.
2009-03-01,229.137
2009-04-01,.
2009-05-01,228.812
2009-06-01,.
2009-07-01,227.910
2009-08-01,.
2009-09-01,230.416
2009-10-01,.
2009-11-01,230.249
2009-12-01,.
2010-01-01,232.728
2010-02-01,.
2010-03-01,232.017
2010-04-01,.
2010-05-01,232.591
2010-06-01,.
2010-07-01,231.597
2010-08-01,.
2010-09-01,232.741
2010-10-01,.
2010-11-01,232.338
2010-12-01,.
2011-01-01,235.147
2011-02-01,.
2011-03-01,235.954
2011-04-01,.
2011-05-01,238.492
2011-06-01,.
2011-07-01,240.483
2011-08-01,.
2011-09-01,242.091
2011-10-01,.
2011-11-01,242.241
2011-12-01,.
2012-01-01,244.755
2012-02-01,.
2012-03-01,242.782
2012-04-01,.
2012-05-01,244.649
2012-06-01,.
2012-07-01,245.686
2012-08-01,.
2012-09-01,246.506
2012-10-01,.
2012-11-01,245.046
2012-12-01,.
2013-01-01,247.438
2013-02-01,.
2013-03-01,246.851
2013-04-01,.
2013-05-01,248.997
2013-06-01,.
2013-07-01,249.108
2013-08-01,.
2013-09-01,247.782
2013-10-01,.
2013-11-01,247.637
2013-12-01,.
2014-01-01,250.148
2014-02-01,.
2014-03-01,249.735
2014-04-01,.
2014-05-01,250.453
2014-06-01,.
2014-07-01,250.075
2014-08-01,.
2014-09-01,251.453
2014-10-01,.
2014-11-01,252.097
2014-12-01,.
2015-01-01,254.439
2015-02-01,.
2015-03-01,254.369
2015-04-01,.
2015-05-01,254.437
2015-06-01,.
2015-07-01,255.875
2015-08-01,.
2015-09-01,256.579
2015-10-01,.
2015-11-01,256.296
2015-12-01,.
2016-01-01,259.515
2016-02-01,.
2016-03-01,259.267
2016-04-01,.
2016-05-01,256.680
2016-06-01,.
2016-07-01,257.607
2016-08-01,.
2016-09-01,257.964
2016-10-01,.
2016-11-01,257.413
2016-12-01,.
2017-01-01,259.177
2017-02-01,.
2017-03-01,258.411
2017-04-01,.
2017-05-01,259.428
2017-06-01,.
2017-07-01,261.303
2017-08-01,.
2017-09-01,261.001
2017-10-01,.
2017-11-01,260.463
2017-12-01,.
2018-01-01,263.457
2018-02-01,.
2018-03-01,263.886
2018-04-01,.
2018-05-01,263.450
2018-06-01,.
2018-07-01,264.699
2018-08-01,.
2018-09-01,267.884
2018-10-01,.
2018-11-01,264.467
2018-12-01,.
2019-01-01,267.429
2019-02-01,.
2019-03-01,269.784
2019-04-01,.
2019-05-01,267.579
2019-06-01,.
2019-07-01,266.557
2019-08-01,.
2019-09-01,265.357
2019-10-01,.
2019-11-01,268.345
2019-12-01,.
2020-01-01,272.010
2020-02-01,.
2020-03-01,276.001
2020-04-01,.
2020-05-01,285.163
2020-06-01,.
2020-07-01,285.837
2020-08-01,.
2020-09-01,283.178
2020-10-01,.
2020-11-01,281.719
2020-12-01,.
2021-01-01,284.760
2021-02-01,.
2021-03-01,286.713
2021-04-01,.
2021-05-01,289.240
2021-06-01,.
2021-07-01,292.389
2021-08-01,.
2021-09-01,293.080
2021-10-01,.
2021-11-01,296.279
2021-12-01,.
2022-01-01,300.803
2022-02-01,.
2022-03-01,305.791
