DATE,CUURA207SAF
1990-01-01,128.000
1990-02-01,128.700
1990-03-01,129.000
1990-04-01,128.900
1990-05-01,129.100
1990-06-01,129.800
1990-07-01,131.300
1990-08-01,131.000
1990-09-01,131.300
1990-10-01,131.100
1990-11-01,132.200
1990-12-01,132.900
1991-01-01,134.700
1991-02-01,134.800
1991-03-01,135.300
1991-04-01,136.000
1991-05-01,136.500
1991-06-01,136.200
1991-07-01,136.000
1991-08-01,134.800
1991-09-01,135.500
1991-10-01,134.600
1991-11-01,135.600
1991-12-01,135.900
1992-01-01,136.600
1992-02-01,137.700
1992-03-01,138.800
1992-04-01,139.100
1992-05-01,139.800
1992-06-01,138.900
1992-07-01,138.800
1992-08-01,139.200
1992-09-01,140.400
1992-10-01,139.600
1992-11-01,140.200
1992-12-01,140.800
1993-01-01,142.500
1993-02-01,140.800
1993-03-01,142.200
1993-04-01,141.900
1993-05-01,143.300
1993-06-01,142.700
1993-07-01,142.900
1993-08-01,143.100
1993-09-01,143.300
1993-10-01,144.300
1993-11-01,144.400
1993-12-01,145.600
1994-01-01,147.200
1994-02-01,146.400
1994-03-01,147.000
1994-04-01,147.400
1994-05-01,146.800
1994-06-01,145.900
1994-07-01,146.200
1994-08-01,147.200
1994-09-01,147.200
1994-10-01,147.500
1994-11-01,147.300
1994-12-01,147.600
1995-01-01,150.200
1995-02-01,151.400
1995-03-01,151.300
1995-04-01,151.700
1995-05-01,150.900
1995-06-01,150.800
1995-07-01,151.200
1995-08-01,150.900
1995-09-01,150.600
1995-10-01,151.400
1995-11-01,152.300
1995-12-01,152.900
1996-01-01,153.300
1996-02-01,153.100
1996-03-01,154.200
1996-04-01,154.800
1996-05-01,154.000
1996-06-01,155.600
1996-07-01,156.100
1996-08-01,156.500
1996-09-01,157.500
1996-10-01,158.400
1996-11-01,159.300
1996-12-01,160.200
1997-01-01,160.200
1997-02-01,159.500
1997-03-01,159.700
1997-04-01,159.000
1997-05-01,159.600
1997-06-01,159.600
1997-07-01,160.300
1997-08-01,160.500
1997-09-01,160.300
1997-10-01,161.800
1997-11-01,161.800
1997-12-01,163.100
1998-01-01,163.100
1998-02-01,163.000
1998-03-01,163.900
1998-04-01,164.100
1998-05-01,165.000
1998-06-01,163.500
1998-07-01,165.800
