DATE,CUURA210SAF
1990-01-01,128.900
1990-02-01,.
1990-03-01,129.900
1990-04-01,.
1990-05-01,128.800
1990-06-01,.
1990-07-01,131.200
1990-08-01,.
1990-09-01,131.500
1990-10-01,.
1990-11-01,131.600
1990-12-01,.
1991-01-01,134.800
1991-02-01,.
1991-03-01,135.300
1991-04-01,.
1991-05-01,136.600
1991-06-01,.
1991-07-01,135.500
1991-08-01,.
1991-09-01,134.800
1991-10-01,.
1991-11-01,134.800
1991-12-01,.
1992-01-01,136.400
1992-02-01,.
1992-03-01,136.400
1992-04-01,.
1992-05-01,136.400
1992-06-01,.
1992-07-01,134.900
1992-08-01,.
1992-09-01,136.800
1992-10-01,.
1992-11-01,135.800
1992-12-01,.
1993-01-01,137.100
1993-02-01,.
1993-03-01,138.200
1993-04-01,.
1993-05-01,139.200
1993-06-01,.
1993-07-01,139.100
1993-08-01,.
1993-09-01,141.500
1993-10-01,.
1993-11-01,141.900
1993-12-01,.
1994-01-01,142.900
1994-02-01,.
1994-03-01,141.900
1994-04-01,.
1994-05-01,143.700
1994-06-01,.
1994-07-01,143.600
1994-08-01,.
1994-09-01,146.000
1994-10-01,.
1994-11-01,146.700
1994-12-01,.
1995-01-01,149.100
1995-02-01,.
1995-03-01,146.900
1995-04-01,.
1995-05-01,148.400
1995-06-01,.
1995-07-01,148.700
1995-08-01,.
1995-09-01,149.500
1995-10-01,.
1995-11-01,150.700
1995-12-01,.
1996-01-01,150.700
1996-02-01,.
1996-03-01,151.600
1996-04-01,.
1996-05-01,153.400
1996-06-01,.
1996-07-01,153.900
1996-08-01,.
1996-09-01,156.300
1996-10-01,.
1996-11-01,157.500
1996-12-01,.
1997-01-01,157.700
1997-02-01,.
1997-03-01,156.800
1997-04-01,.
1997-05-01,157.500
1997-06-01,.
1997-07-01,157.700
1997-08-01,.
1997-09-01,158.400
1997-10-01,.
1997-11-01,159.400
1997-12-01,.
1998-01-01,161.700
1998-02-01,.
1998-03-01,160.900
1998-04-01,.
1998-05-01,163.100
1998-06-01,.
1998-07-01,163.000
1998-08-01,.
1998-09-01,164.200
1998-10-01,.
1998-11-01,165.400
1998-12-01,.
1999-01-01,167.200
1999-02-01,.
1999-03-01,168.200
1999-04-01,.
1999-05-01,169.600
1999-06-01,.
1999-07-01,168.500
1999-08-01,.
1999-09-01,171.300
1999-10-01,.
1999-11-01,171.100
1999-12-01,.
2000-01-01,171.700
2000-02-01,.
2000-03-01,172.300
2000-04-01,.
2000-05-01,171.100
2000-06-01,.
2000-07-01,172.600
2000-08-01,.
2000-09-01,174.600
2000-10-01,.
2000-11-01,174.000
2000-12-01,.
2001-01-01,175.100
2001-02-01,.
2001-03-01,175.400
2001-04-01,.
2001-05-01,175.600
2001-06-01,.
2001-07-01,176.400
2001-08-01,.
2001-09-01,177.100
2001-10-01,.
2001-11-01,178.300
2001-12-01,.
2002-01-01,180.800
2002-02-01,.
2002-03-01,180.000
2002-04-01,.
2002-05-01,179.800
2002-06-01,.
2002-07-01,179.200
2002-08-01,.
2002-09-01,178.700
2002-10-01,.
2002-11-01,181.700
2002-12-01,.
2003-01-01,183.000
2003-02-01,.
2003-03-01,185.000
2003-04-01,.
2003-05-01,184.300
2003-06-01,.
2003-07-01,183.300
2003-08-01,.
2003-09-01,183.400
2003-10-01,.
2003-11-01,181.700
2003-12-01,.
2004-01-01,186.500
2004-02-01,.
2004-03-01,186.000
2004-04-01,.
2004-05-01,188.700
2004-06-01,.
2004-07-01,187.600
2004-08-01,.
2004-09-01,189.400
2004-10-01,.
2004-11-01,187.700
2004-12-01,.
2005-01-01,190.700
2005-02-01,.
2005-03-01,190.800
2005-04-01,.
2005-05-01,194.400
2005-06-01,.
2005-07-01,192.500
2005-08-01,.
2005-09-01,193.700
2005-10-01,.
