DATE,CUURA311SAF
1997-11-01,100.800
1997-12-01,.
1998-01-01,101.700
1998-02-01,.
1998-03-01,101.300
1998-04-01,.
1998-05-01,101.800
1998-06-01,.
1998-07-01,101.100
1998-08-01,.
1998-09-01,101.300
1998-10-01,.
1998-11-01,102.100
1998-12-01,.
1999-01-01,103.100
1999-02-01,.
1999-03-01,102.900
1999-04-01,.
1999-05-01,103.400
1999-06-01,.
1999-07-01,102.500
1999-08-01,.
1999-09-01,103.000
1999-10-01,.
1999-11-01,103.600
1999-12-01,.
2000-01-01,104.000
2000-02-01,.
2000-03-01,104.400
2000-04-01,.
2000-05-01,105.500
2000-06-01,.
2000-07-01,106.300
2000-08-01,.
2000-09-01,106.500
2000-10-01,.
2000-11-01,105.600
2000-12-01,.
2001-01-01,107.000
2001-02-01,.
2001-03-01,107.600
2001-04-01,.
2001-05-01,108.400
2001-06-01,.
2001-07-01,108.800
2001-08-01,.
2001-09-01,109.700
2001-10-01,.
2001-11-01,109.800
2001-12-01,.
2002-01-01,110.500
2002-02-01,.
2002-03-01,111.300
2002-04-01,.
2002-05-01,112.000
2002-06-01,.
2002-07-01,111.600
2002-08-01,.
2002-09-01,112.200
2002-10-01,.
2002-11-01,112.100
2002-12-01,.
2003-01-01,112.900
2003-02-01,.
2003-03-01,112.700
2003-04-01,.
2003-05-01,113.400
2003-06-01,.
2003-07-01,114.900
2003-08-01,.
2003-09-01,115.300
2003-10-01,.
2003-11-01,116.600
2003-12-01,.
2004-01-01,118.500
2004-02-01,.
2004-03-01,118.700
2004-04-01,.
2004-05-01,120.300
2004-06-01,.
2004-07-01,120.600
2004-08-01,.
2004-09-01,120.200
2004-10-01,.
2004-11-01,121.400
2004-12-01,.
2005-01-01,120.700
2005-02-01,.
2005-03-01,121.800
2005-04-01,.
2005-05-01,122.300
2005-06-01,.
2005-07-01,123.100
2005-08-01,.
2005-09-01,123.400
2005-10-01,.
2005-11-01,125.000
2005-12-01,.
2006-01-01,125.300
2006-02-01,.
2006-03-01,125.300
2006-04-01,.
2006-05-01,126.000
2006-06-01,.
2006-07-01,126.500
2006-08-01,.
2006-09-01,126.700
2006-10-01,.
2006-11-01,126.900
2006-12-01,.
2007-01-01,127.936
2007-02-01,.
2007-03-01,129.104
2007-04-01,.
2007-05-01,129.696
2007-06-01,.
2007-07-01,130.806
2007-08-01,.
2007-09-01,132.213
2007-10-01,.
2007-11-01,132.598
2007-12-01,.
2008-01-01,133.892
2008-02-01,.
2008-03-01,134.550
2008-04-01,.
2008-05-01,135.161
2008-06-01,.
2008-07-01,137.361
2008-08-01,.
2008-09-01,139.410
2008-10-01,.
2008-11-01,139.292
2008-12-01,.
2009-01-01,139.710
2009-02-01,.
2009-03-01,140.264
2009-04-01,.
2009-05-01,139.133
2009-06-01,.
2009-07-01,139.053
2009-08-01,.
2009-09-01,139.358
2009-10-01,.
2009-11-01,139.445
2009-12-01,.
2010-01-01,139.579
2010-02-01,.
2010-03-01,139.242
2010-04-01,.
2010-05-01,139.493
2010-06-01,.
2010-07-01,138.789
2010-08-01,.
2010-09-01,140.704
2010-10-01,.
2010-11-01,140.436
2010-12-01,.
2011-01-01,143.053
2011-02-01,.
2011-03-01,144.113
2011-04-01,.
2011-05-01,145.465
2011-06-01,.
2011-07-01,145.456
2011-08-01,.
2011-09-01,146.268
2011-10-01,.
2011-11-01,147.024
2011-12-01,.
2012-01-01,147.872
2012-02-01,.
2012-03-01,148.051
2012-04-01,.
2012-05-01,148.025
2012-06-01,.
2012-07-01,147.866
2012-08-01,.
2012-09-01,148.877
2012-10-01,.
2012-11-01,149.468
2012-12-01,.
2013-01-01,149.324
2013-02-01,.
2013-03-01,150.316
2013-04-01,.
2013-05-01,150.491
2013-06-01,.
2013-07-01,150.387
2013-08-01,.
2013-09-01,151.173
2013-10-01,.
2013-11-01,150.570
2013-12-01,.
2014-01-01,153.261
2014-02-01,.
2014-03-01,152.082
2014-04-01,.
2014-05-01,153.740
2014-06-01,.
2014-07-01,153.595
2014-08-01,.
2014-09-01,153.457
2014-10-01,.
2014-11-01,155.180
2014-12-01,.
2015-01-01,155.668
2015-02-01,.
2015-03-01,154.709
2015-04-01,.
2015-05-01,155.349
2015-06-01,.
2015-07-01,154.613
2015-08-01,.
2015-09-01,156.616
2015-10-01,.
2015-11-01,156.585
2015-12-01,.
2016-01-01,156.080
2016-02-01,.
2016-03-01,156.506
2016-04-01,.
2016-05-01,156.729
2016-06-01,.
2016-07-01,156.941
2016-08-01,.
2016-09-01,156.774
2016-10-01,.
2016-11-01,157.403
2016-12-01,.
2017-01-01,157.668
2017-02-01,.
2017-03-01,156.842
2017-04-01,.
2017-05-01,158.211
2017-06-01,.
2017-07-01,158.139
2017-08-01,.
2017-09-01,159.027
2017-10-01,.
2017-11-01,158.820
