Series ID,Year,Period,Label,Value
CUUSS48BSAF,1990,S01,1990 Half1,122.1
CUUSS48BSAF,1990,S02,1990 Half2,126.2
CUUSS48BSAF,1991,S01,1991 Half1,128.3
CUUSS48BSAF,1991,S02,1991 Half2,128.4
CUUSS48BSAF,1992,S01,1992 Half1,128.5
CUUSS48BSAF,1992,S02,1992 Half2,129.2
CUUSS48BSAF,1993,S01,1993 Half1,131.0
CUUSS48BSAF,1993,S02,1993 Half2,132.0
CUUSS48BSAF,1994,S01,1994 Half1,133.7
CUUSS48BSAF,1994,S02,1994 Half2,135.0
CUUSS48BSAF,1995,S01,1995 Half1,139.0
CUUSS48BSAF,1995,S02,1995 Half2,139.8
CUUSS48BSAF,1996,S01,1996 Half1,141.4
CUUSS48BSAF,1996,S02,1996 Half2,143.1
CUUSS48BSAF,1997,S01,1997 Half1,147.0
CUUSS48BSAF,1997,S02,1997 Half2,149.0
CUUSS48BSAF,1998,S01,1998 Half1,149.9
CUUSS48BSAF,1998,S02,1998 Half2,153.3
CUUSS48BSAF,1999,S01,1999 Half1,155.5
CUUSS48BSAF,1999,S02,1999 Half2,158.4
CUUSS48BSAF,2000,S01,2000 Half1,159.6
CUUSS48BSAF,2000,S02,2000 Half2,161.3
CUUSS48BSAF,2001,S01,2001 Half1,166.6
CUUSS48BSAF,2001,S02,2001 Half2,169.2
CUUSS48BSAF,2002,S01,2002 Half1,172.5
CUUSS48BSAF,2002,S02,2002 Half2,171.6
CUUSS48BSAF,2003,S01,2003 Half1,173.4
CUUSS48BSAF,2003,S02,2003 Half2,176.3
CUUSS48BSAF,2004,S01,2004 Half1,178.4
CUUSS48BSAF,2004,S02,2004 Half2,179.8
CUUSS48BSAF,2005,S01,2005 Half1,182.2
CUUSS48BSAF,2005,S02,2005 Half2,182.2
CUUSS48BSAF,2006,S01,2006 Half1,184.0
CUUSS48BSAF,2006,S02,2006 Half2,185.2
CUUSS48BSAF,2007,S01,2007 Half1,190.844
CUUSS48BSAF,2007,S02,2007 Half2,193.495
CUUSS48BSAF,2008,S01,2008 Half1,198.694
CUUSS48BSAF,2008,S02,2008 Half2,203.999
CUUSS48BSAF,2009,S01,2009 Half1,203.483
CUUSS48BSAF,2009,S02,2009 Half2,199.082
CUUSS48BSAF,2010,S01,2010 Half1,200.407
CUUSS48BSAF,2010,S02,2010 Half2,201.409
CUUSS48BSAF,2011,S01,2011 Half1,207.141
CUUSS48BSAF,2011,S02,2011 Half2,210.675
CUUSS48BSAF,2012,S01,2012 Half1,214.698
CUUSS48BSAF,2012,S02,2012 Half2,215.874
CUUSS48BSAF,2013,S01,2013 Half1,216.738
CUUSS48BSAF,2013,S02,2013 Half2,216.455
CUUSS48BSAF,2014,S01,2014 Half1,220.829
CUUSS48BSAF,2014,S02,2014 Half2,223.174
CUUSS48BSAF,2015,S01,2015 Half1,223.736
CUUSS48BSAF,2015,S02,2015 Half2,223.370
CUUSS48BSAF,2016,S01,2016 Half1,224.530
CUUSS48BSAF,2016,S02,2016 Half2,224.091
CUUSS48BSAF,2017,S01,2017 Half1,229.067
CUUSS48BSAF,2017,S02,2017 Half2,231.163
CUUSS48BSAF,2018,S01,2018 Half1,235.041
CUUSS48BSAF,2018,S02,2018 Half2,235.554
CUUSS48BSAF,2019,S01,2019 Half1,236.550
CUUSS48BSAF,2019,S02,2019 Half2,239.833
CUUSS48BSAF,2020,S01,2020 Half1,245.652
CUUSS48BSAF,2020,S02,2020 Half2,249.774
CUUSS48BSAF,2021,S01,2021 Half1,250.648
CUUSS48BSAF,2021,S02,2021 Half2,259.331
