DATE,CUURA208SAF
1990-12-01,127.900
1991-01-01,.
1991-02-01,129.000
1991-03-01,.
1991-04-01,130.300
1991-05-01,.
1991-06-01,131.600
1991-07-01,.
1991-08-01,131.600
1991-09-01,.
1991-10-01,132.600
1991-11-01,.
1991-12-01,133.000
1992-01-01,.
1992-02-01,133.600
1992-03-01,.
1992-04-01,133.400
1992-05-01,.
1992-06-01,132.900
1992-07-01,.
1992-08-01,133.500
1992-09-01,.
1992-10-01,133.500
1992-11-01,.
1992-12-01,134.000
1993-01-01,.
1993-02-01,134.100
1993-03-01,.
1993-04-01,134.200
1993-05-01,.
1993-06-01,135.100
1993-07-01,.
1993-08-01,135.800
1993-09-01,.
1993-10-01,136.800
1993-11-01,.
1993-12-01,136.100
1994-01-01,.
1994-02-01,136.400
1994-03-01,.
1994-04-01,136.900
1994-05-01,.
1994-06-01,138.900
1994-07-01,.
1994-08-01,140.100
1994-09-01,.
1994-10-01,139.700
1994-11-01,.
1994-12-01,141.900
1995-01-01,.
1995-02-01,142.800
1995-03-01,.
1995-04-01,143.100
1995-05-01,.
1995-06-01,143.500
1995-07-01,.
1995-08-01,143.900
1995-09-01,.
1995-10-01,144.200
1995-11-01,.
1995-12-01,144.900
1996-01-01,.
1996-02-01,145.700
1996-03-01,.
1996-04-01,146.600
1996-05-01,.
1996-06-01,146.000
1996-07-01,.
1996-08-01,149.200
1996-09-01,.
1996-10-01,150.400
1996-11-01,.
1996-12-01,151.200
1997-01-01,.
1997-02-01,150.900
1997-03-01,.
1997-04-01,151.000
1997-05-01,.
1997-06-01,151.200
1997-07-01,.
1997-08-01,151.900
1997-09-01,.
1997-10-01,151.800
1997-11-01,.
1997-12-01,152.200
1998-01-01,.
1998-02-01,153.300
1998-03-01,.
1998-04-01,153.900
1998-05-01,.
1998-06-01,153.800
1998-07-01,.
1998-08-01,155.200
1998-09-01,.
1998-10-01,155.300
1998-11-01,.
1998-12-01,157.700
1999-01-01,.
1999-02-01,156.700
1999-03-01,.
1999-04-01,158.400
1999-05-01,.
1999-06-01,158.200
1999-07-01,.
1999-08-01,157.400
1999-09-01,.
1999-10-01,159.300
1999-11-01,.
1999-12-01,160.400
2000-01-01,.
2000-02-01,161.400
2000-03-01,.
2000-04-01,162.600
2000-05-01,.
2000-06-01,163.900
2000-07-01,.
2000-08-01,164.400
2000-09-01,.
2000-10-01,165.600
2000-11-01,.
2000-12-01,167.200
2001-01-01,.
2001-02-01,165.800
2001-03-01,.
2001-04-01,167.000
2001-05-01,.
2001-06-01,169.700
2001-07-01,.
2001-08-01,168.900
2001-09-01,.
2001-10-01,169.600
2001-11-01,.
2001-12-01,170.600
2002-01-01,.
2002-02-01,170.400
2002-03-01,.
2002-04-01,170.500
2002-05-01,.
2002-06-01,172.800
2002-07-01,.
2002-08-01,172.000
2002-09-01,.
2002-10-01,172.700
2002-11-01,.
2002-12-01,173.800
2003-01-01,.
2003-02-01,173.700
2003-03-01,.
2003-04-01,174.300
2003-05-01,.
2003-06-01,175.500
2003-07-01,.
2003-08-01,175.000
2003-09-01,.
2003-10-01,175.800
2003-11-01,.
2003-12-01,176.200
2004-01-01,.
2004-02-01,176.900
2004-03-01,.
2004-04-01,176.300
2004-05-01,.
2004-06-01,177.200
2004-07-01,.
2004-08-01,177.500
2004-09-01,.
2004-10-01,177.800
2004-11-01,.
2004-12-01,178.200
2005-01-01,.
