DATE,CUURA421SAF
1990-01-01,129.600
1990-02-01,130.900
1990-03-01,130.600
1990-04-01,130.100
1990-05-01,130.400
1990-06-01,130.500
1990-07-01,130.600
1990-08-01,130.700
1990-09-01,131.000
1990-10-01,131.500
1990-11-01,132.500
1990-12-01,132.700
1991-01-01,135.900
1991-02-01,135.600
1991-03-01,135.700
1991-04-01,137.400
1991-05-01,137.000
1991-06-01,137.300
1991-07-01,136.900
1991-08-01,135.800
1991-09-01,135.600
1991-10-01,136.300
1991-11-01,137.300
1991-12-01,138.000
1992-01-01,139.400
1992-02-01,139.500
1992-03-01,141.100
1992-04-01,140.900
1992-05-01,139.600
1992-06-01,140.300
1992-07-01,140.100
1992-08-01,141.000
1992-09-01,142.200
1992-10-01,142.700
1992-11-01,142.300
1992-12-01,142.200
1993-01-01,144.200
1993-02-01,143.400
1993-03-01,143.900
1993-04-01,144.600
1993-05-01,145.400
1993-06-01,144.900
1993-07-01,144.300
1993-08-01,144.300
1993-09-01,145.100
1993-10-01,146.200
1993-11-01,146.400
1993-12-01,148.600
1994-01-01,149.000
1994-02-01,147.700
1994-03-01,147.800
1994-04-01,147.100
1994-05-01,146.700
1994-06-01,147.000
1994-07-01,147.600
1994-08-01,147.700
1994-09-01,148.700
1994-10-01,149.900
1994-11-01,150.100
1994-12-01,153.100
1995-01-01,153.400
1995-02-01,152.700
1995-03-01,152.700
1995-04-01,153.800
1995-05-01,152.800
1995-06-01,152.800
1995-07-01,152.200
1995-08-01,152.700
1995-09-01,153.200
1995-10-01,154.700
1995-11-01,154.500
1995-12-01,154.800
1996-01-01,154.800
1996-02-01,155.400
1996-03-01,157.000
1996-04-01,156.900
1996-05-01,156.300
1996-06-01,156.400
1996-07-01,157.200
1996-08-01,157.600
1996-09-01,158.700
1996-10-01,160.000
1996-11-01,161.000
1996-12-01,162.000
1997-01-01,163.800
1997-02-01,162.400
1997-03-01,163.300
1997-04-01,163.000
1997-05-01,161.600
1997-06-01,162.600
1997-07-01,161.900
1997-08-01,163.300
1997-09-01,163.400
1997-10-01,164.200
1997-11-01,164.400
1997-12-01,164.800
1998-01-01,166.500
1998-02-01,165.700
1998-03-01,166.200
1998-04-01,166.400
1998-05-01,167.400
1998-06-01,166.600
1998-07-01,167.200
1998-08-01,167.800
1998-09-01,167.900
1998-10-01,168.600
1998-11-01,168.400
1998-12-01,168.500
1999-01-01,170.300
1999-02-01,170.400
1999-03-01,170.500
1999-04-01,169.800
1999-05-01,169.400
1999-06-01,169.600
1999-07-01,169.100
1999-08-01,169.400
1999-09-01,169.800
1999-10-01,170.700
1999-11-01,169.900
1999-12-01,170.300
2000-01-01,171.100
2000-02-01,171.400
2000-03-01,171.900
2000-04-01,171.800
2000-05-01,172.600
2000-06-01,173.000
2000-07-01,174.100
2000-08-01,175.100
2000-09-01,174.400
2000-10-01,175.900
2000-11-01,174.900
2000-12-01,176.900
2001-01-01,178.000
2001-02-01,179.900
2001-03-01,180.100
2001-04-01,180.000
2001-05-01,179.900
2001-06-01,180.900
2001-07-01,181.500
2001-08-01,182.600
2001-09-01,182.200
2001-10-01,183.200
2001-11-01,182.700
2001-12-01,182.200
2002-01-01,183.800
2002-02-01,184.900
2002-03-01,184.500
2002-04-01,184.100
2002-05-01,185.400
2002-06-01,184.400
2002-07-01,184.200
2002-08-01,183.500
2002-09-01,185.000
2002-10-01,186.000
2002-11-01,185.900
2002-12-01,186.900
2003-01-01,186.800
2003-02-01,187.400
2003-03-01,187.700
2003-04-01,187.500
2003-05-01,189.100
2003-06-01,190.300
2003-07-01,190.600
2003-08-01,190.700
2003-09-01,191.400
2003-10-01,192.800
2003-11-01,193.300
2003-12-01,194.700
2004-01-01,194.600
2004-02-01,194.200
2004-03-01,194.300
2004-04-01,194.700
2004-05-01,196.100
2004-06-01,196.500
2004-07-01,196.800
2004-08-01,195.000
2004-09-01,195.100
2004-10-01,196.200
2004-11-01,196.600
2004-12-01,195.900
2005-01-01,196.600
2005-02-01,196.900
2005-03-01,197.500
2005-04-01,199.400
2005-05-01,200.500
2005-06-01,199.000
2005-07-01,200.000
2005-08-01,200.400
2005-09-01,201.300
2005-10-01,202.400
2005-11-01,201.300
2005-12-01,201.900
2006-01-01,201.100
2006-02-01,203.200
2006-03-01,203.300
2006-04-01,203.700
2006-05-01,203.500
2006-06-01,203.600
2006-07-01,202.700
2006-08-01,203.700
2006-09-01,206.100
2006-10-01,205.700
2006-11-01,204.200
2006-12-01,203.800
2007-01-01,207.614
2007-02-01,210.064
2007-03-01,210.120
2007-04-01,210.678
2007-05-01,211.690
2007-06-01,210.522
2007-07-01,209.414
2007-08-01,211.700
2007-09-01,211.914
2007-10-01,212.936
2007-11-01,213.515
2007-12-01,213.801
2008-01-01,217.108
2008-02-01,217.425
2008-03-01,216.825
2008-04-01,217.287
2008-05-01,219.484
2008-06-01,220.060
2008-07-01,221.719
2008-08-01,222.805
2008-09-01,224.393
2008-10-01,224.007
2008-11-01,223.499
2008-12-01,224.255
2009-01-01,223.939
2009-02-01,224.931
2009-03-01,223.791
2009-04-01,223.638
2009-05-01,223.850
2009-06-01,223.129
2009-07-01,222.367
2009-08-01,221.810
2009-09-01,221.405
2009-10-01,222.702
2009-11-01,221.026
2009-12-01,221.655
2010-01-01,223.797
2010-02-01,222.639
2010-03-01,223.271
2010-04-01,224.224
2010-05-01,224.744
2010-06-01,224.013
2010-07-01,223.654
2010-08-01,223.031
2010-09-01,224.157
2010-10-01,225.888
2010-11-01,224.971
2010-12-01,226.587
2011-01-01,228.500
2011-02-01,229.505
2011-03-01,230.751
2011-04-01,232.551
2011-05-01,232.278
2011-06-01,232.188
2011-07-01,231.494
2011-08-01,233.606
2011-09-01,234.622
2011-10-01,234.872
2011-11-01,236.002
2011-12-01,235.488
2012-01-01,235.420
2012-02-01,235.931
2012-03-01,236.855
2012-04-01,237.421
2012-05-01,236.415
2012-06-01,236.960
2012-07-01,236.712
2012-08-01,237.023
2012-09-01,237.368
2012-10-01,237.614
2012-11-01,238.203
2012-12-01,238.541
2013-01-01,239.902
2013-02-01,238.699
2013-03-01,238.345
2013-04-01,238.736
2013-05-01,238.235
2013-06-01,239.293
2013-07-01,238.068
2013-08-01,238.624
2013-09-01,239.973
2013-10-01,240.226
2013-11-01,239.427
2013-12-01,239.529
2014-01-01,240.545
2014-02-01,240.510
2014-03-01,241.915
2014-04-01,242.866
2014-05-01,243.744
2014-06-01,244.082
2014-07-01,244.803
2014-08-01,246.073
2014-09-01,246.471
2014-10-01,247.050
2014-11-01,247.926
2014-12-01,248.373
2015-01-01,248.959
2015-02-01,248.892
2015-03-01,248.363
2015-04-01,249.003
2015-05-01,247.443
2015-06-01,247.561
2015-07-01,249.259
2015-08-01,248.660
2015-09-01,249.965
2015-10-01,251.272
2015-11-01,251.700
2015-12-01,249.752
2016-01-01,251.903
2016-02-01,253.685
2016-03-01,251.983
2016-04-01,251.897
2016-05-01,250.510
2016-06-01,251.004
2016-07-01,251.194
2016-08-01,250.820
2016-09-01,250.958
2016-10-01,251.982
2016-11-01,250.967
2016-12-01,251.893
2017-01-01,253.317
2017-02-01,253.438
2017-03-01,254.571
2017-04-01,254.321
2017-05-01,255.381
2017-06-01,254.967
2017-07-01,256.155
2017-08-01,255.487
2017-09-01,256.658
2017-10-01,255.959
2017-11-01,256.382
2017-12-01,257.263
