DATE,CUURA320SAF
1990-01-01,134.100
1990-02-01,.
1990-03-01,134.100
1990-04-01,.
1990-05-01,132.400
1990-06-01,.
1990-07-01,134.200
1990-08-01,.
1990-09-01,134.400
1990-10-01,.
1990-11-01,136.100
1990-12-01,.
1991-01-01,136.000
1991-02-01,.
1991-03-01,137.700
1991-04-01,.
1991-05-01,137.700
1991-06-01,.
1991-07-01,138.000
1991-08-01,.
1991-09-01,138.200
1991-10-01,.
1991-11-01,138.100
1991-12-01,.
1992-01-01,138.700
1992-02-01,.
1992-03-01,140.500
1992-04-01,.
1992-05-01,138.900
1992-06-01,.
1992-07-01,139.900
1992-08-01,.
1992-09-01,142.000
1992-10-01,.
1992-11-01,142.200
1992-12-01,.
1993-01-01,144.900
1993-02-01,.
1993-03-01,145.700
1993-04-01,.
1993-05-01,146.100
1993-06-01,.
1993-07-01,145.900
1993-08-01,.
1993-09-01,147.600
1993-10-01,.
1993-11-01,149.300
1993-12-01,.
1994-01-01,151.800
1994-02-01,.
1994-03-01,151.700
1994-04-01,.
1994-05-01,152.100
1994-06-01,.
1994-07-01,152.300
1994-08-01,.
1994-09-01,152.800
1994-10-01,.
1994-11-01,154.600
1994-12-01,.
1995-01-01,156.200
1995-02-01,.
1995-03-01,156.400
1995-04-01,.
1995-05-01,157.000
1995-06-01,.
1995-07-01,156.800
1995-08-01,.
1995-09-01,157.600
1995-10-01,.
1995-11-01,157.900
1995-12-01,.
1996-01-01,158.900
1996-02-01,.
1996-03-01,159.200
1996-04-01,.
1996-05-01,159.400
1996-06-01,.
1996-07-01,161.600
1996-08-01,.
1996-09-01,163.600
1996-10-01,.
1996-11-01,164.400
1996-12-01,.
1997-01-01,163.900
1997-02-01,.
1997-03-01,165.300
1997-04-01,.
1997-05-01,166.000
1997-06-01,.
1997-07-01,166.200
1997-08-01,.
1997-09-01,165.600
1997-10-01,.
1997-11-01,166.500
1997-12-01,166.900
1998-01-01,.
1998-02-01,167.700
1998-03-01,.
1998-04-01,167.800
1998-05-01,.
1998-06-01,169.800
1998-07-01,.
1998-08-01,169.500
1998-09-01,.
1998-10-01,170.900
1998-11-01,.
1998-12-01,169.200
1999-01-01,.
1999-02-01,169.900
1999-03-01,.
1999-04-01,170.500
1999-05-01,.
1999-06-01,170.000
1999-07-01,.
1999-08-01,171.600
1999-09-01,.
1999-10-01,172.900
1999-11-01,.
1999-12-01,171.900
2000-01-01,.
2000-02-01,171.900
2000-03-01,.
2000-04-01,173.100
2000-05-01,.
2000-06-01,175.100
2000-07-01,.
2000-08-01,175.200
2000-09-01,.
2000-10-01,177.100
2000-11-01,.
2000-12-01,178.100
2001-01-01,.
2001-02-01,179.300
2001-03-01,.
2001-04-01,180.900
2001-05-01,.
2001-06-01,180.600
2001-07-01,.
2001-08-01,181.700
2001-09-01,.
2001-10-01,181.800
2001-11-01,.
2001-12-01,180.700
2002-01-01,.
2002-02-01,183.800
2002-03-01,.
2002-04-01,183.600
2002-05-01,.
2002-06-01,183.200
2002-07-01,.
2002-08-01,184.400
2002-09-01,.
2002-10-01,184.500
2002-11-01,.
2002-12-01,184.700
2003-01-01,.
2003-02-01,185.800
2003-03-01,.
2003-04-01,188.200
2003-05-01,.
2003-06-01,188.400
2003-07-01,.
2003-08-01,190.000
2003-09-01,.
2003-10-01,190.500
2003-11-01,.
2003-12-01,191.000
2004-01-01,.
2004-02-01,192.100
2004-03-01,.
2004-04-01,194.000
2004-05-01,.
2004-06-01,195.400
2004-07-01,.
2004-08-01,194.300
2004-09-01,.
2004-10-01,197.500
2004-11-01,.
2004-12-01,198.400
2005-01-01,.
2005-02-01,198.200
2005-03-01,.
2005-04-01,200.000
2005-05-01,.
2005-06-01,200.100
2005-07-01,.
2005-08-01,200.200
2005-09-01,.
2005-10-01,201.300
2005-11-01,.
2005-12-01,201.400
2006-01-01,.
2006-02-01,203.100
2006-03-01,.
2006-04-01,200.100
2006-05-01,.
2006-06-01,202.100
2006-07-01,.
2006-08-01,205.300
2006-09-01,.
2006-10-01,206.000
2006-11-01,.
2006-12-01,206.600
2007-01-01,.
2007-02-01,207.723
2007-03-01,.
2007-04-01,207.880
2007-05-01,.
2007-06-01,210.592
2007-07-01,.
2007-08-01,211.923
2007-09-01,.
2007-10-01,213.576
2007-11-01,.
2007-12-01,216.538
2008-01-01,.
2008-02-01,217.597
2008-03-01,.
2008-04-01,219.034
2008-05-01,.
2008-06-01,222.620
2008-07-01,.
2008-08-01,226.973
2008-09-01,.
2008-10-01,227.153
2008-11-01,.
2008-12-01,225.930
2009-01-01,.
2009-02-01,225.569
2009-03-01,.
2009-04-01,227.129
2009-05-01,.
2009-06-01,224.851
2009-07-01,.
2009-08-01,225.401
2009-09-01,.
2009-10-01,224.790
2009-11-01,.
2009-12-01,226.760
2010-01-01,.
2010-02-01,227.207
2010-03-01,.
2010-04-01,228.086
2010-05-01,.
2010-06-01,227.689
2010-07-01,.
2010-08-01,227.706
2010-09-01,.
2010-10-01,230.429
2010-11-01,.
2010-12-01,229.550
2011-01-01,.
2011-02-01,232.324
2011-03-01,.
2011-04-01,236.010
2011-05-01,.
2011-06-01,239.341
2011-07-01,.
2011-08-01,241.986
2011-09-01,.
2011-10-01,242.084
2011-11-01,.
2011-12-01,240.970
2012-01-01,.
2012-02-01,239.719
2012-03-01,.
2012-04-01,243.098
2012-05-01,.
2012-06-01,243.219
2012-07-01,.
2012-08-01,245.191
2012-09-01,.
2012-10-01,245.082
2012-11-01,.
2012-12-01,243.257
2013-01-01,.
2013-02-01,243.934
2013-03-01,.
2013-04-01,244.052
2013-05-01,.
2013-06-01,245.307
2013-07-01,.
2013-08-01,245.613
2013-09-01,.
2013-10-01,247.888
2013-11-01,.
2013-12-01,245.149
2014-01-01,.
2014-02-01,248.234
2014-03-01,.
2014-04-01,250.495
2014-05-01,.
2014-06-01,251.737
2014-07-01,.
2014-08-01,253.858
2014-09-01,.
2014-10-01,253.919
2014-11-01,.
2014-12-01,255.263
2015-01-01,.
2015-02-01,255.961
2015-03-01,.
2015-04-01,255.563
2015-05-01,.
2015-06-01,256.580
2015-07-01,.
2015-08-01,259.459
2015-09-01,.
2015-10-01,260.158
2015-11-01,.
2015-12-01,258.172
2016-01-01,.
2016-02-01,260.086
2016-03-01,.
2016-04-01,258.940
2016-05-01,.
2016-06-01,259.448
2016-07-01,.
2016-08-01,259.169
2016-09-01,.
2016-10-01,258.579
2016-11-01,.
2016-12-01,257.276
2017-01-01,.
2017-02-01,259.877
2017-03-01,.
2017-04-01,259.295
2017-05-01,.
2017-06-01,261.305
2017-07-01,.
2017-08-01,259.730
2017-09-01,.
2017-10-01,261.849
2017-11-01,.
2017-12-01,262.833
2018-01-01,.
2018-02-01,261.149
2018-03-01,.
2018-04-01,264.167
2018-05-01,.
2018-06-01,264.188
2018-07-01,.
2018-08-01,264.395
2018-09-01,.
2018-10-01,262.282
2018-11-01,.
2018-12-01,265.357
2019-01-01,.
2019-02-01,265.557
2019-03-01,.
2019-04-01,265.835
2019-05-01,.
2019-06-01,264.100
2019-07-01,.
2019-08-01,265.154
2019-09-01,.
2019-10-01,264.349
2019-11-01,.
2019-12-01,263.978
2020-01-01,.
2020-02-01,266.607
2020-03-01,.
2020-04-01,279.711
2020-05-01,.
2020-06-01,287.204
2020-07-01,.
2020-08-01,285.510
2020-09-01,.
2020-10-01,282.217
2020-11-01,.
2020-12-01,278.747
2021-01-01,.
2021-02-01,280.457
2021-03-01,.
2021-04-01,284.357
2021-05-01,.
2021-06-01,289.526
2021-07-01,.
2021-08-01,277.729
2021-09-01,.
2021-10-01,283.418
2021-11-01,.
2021-12-01,285.940
2022-01-01,.
2022-02-01,289.604
2022-03-01,.
2022-04-01,295.615
