Series ID,Year,Period,Label,Value
CUUSS24ASAF,1990,S01,1990 Half1,133.5
CUUSS24ASAF,1990,S02,1990 Half2,135.7
CUUSS24ASAF,1991,S01,1991 Half1,140.8
CUUSS24ASAF,1991,S02,1991 Half2,142.3
CUUSS24ASAF,1992,S01,1992 Half1,144.4
CUUSS24ASAF,1992,S02,1992 Half2,145.1
CUUSS24ASAF,1993,S01,1993 Half1,147.0
CUUSS24ASAF,1993,S02,1993 Half2,147.4
CUUSS24ASAF,1994,S01,1994 Half1,148.5
CUUSS24ASAF,1994,S02,1994 Half2,149.7
CUUSS24ASAF,1995,S01,1995 Half1,152.0
CUUSS24ASAF,1995,S02,1995 Half2,152.8
CUUSS24ASAF,1996,S01,1996 Half1,156.8
CUUSS24ASAF,1996,S02,1996 Half2,160.8
CUUSS24ASAF,1997,S01,1997 Half1,162.0
CUUSS24ASAF,1997,S02,1997 Half2,165.0
CUUSS24ASAF,1998,S01,1998 Half1,164.7
CUUSS24ASAF,1998,S02,1998 Half2,168.5
CUUSS24ASAF,1999,S01,1999 Half1,170.8
CUUSS24ASAF,1999,S02,1999 Half2,173.4
CUUSS24ASAF,2000,S01,2000 Half1,176.1
CUUSS24ASAF,2000,S02,2000 Half2,179.7
CUUSS24ASAF,2001,S01,2001 Half1,181.6
CUUSS24ASAF,2001,S02,2001 Half2,188.5
CUUSS24ASAF,2002,S01,2002 Half1,188.7
CUUSS24ASAF,2002,S02,2002 Half2,188.7
CUUSS24ASAF,2003,S01,2003 Half1,190.6
CUUSS24ASAF,2003,S02,2003 Half2,195.0
CUUSS24ASAF,2004,S01,2004 Half1,198.8
CUUSS24ASAF,2004,S02,2004 Half2,201.5
CUUSS24ASAF,2005,S01,2005 Half1,205.9
CUUSS24ASAF,2005,S02,2005 Half2,208.2
CUUSS24ASAF,2006,S01,2006 Half1,210.1
CUUSS24ASAF,2006,S02,2006 Half2,211.8
CUUSS24ASAF,2007,S01,2007 Half1,214.901
CUUSS24ASAF,2007,S02,2007 Half2,222.013
CUUSS24ASAF,2008,S01,2008 Half1,230.544
CUUSS24ASAF,2008,S02,2008 Half2,237.761
CUUSS24ASAF,2009,S01,2009 Half1,238.051
CUUSS24ASAF,2009,S02,2009 Half2,237.540
CUUSS24ASAF,2010,S01,2010 Half1,239.711
CUUSS24ASAF,2010,S02,2010 Half2,243.385
CUUSS24ASAF,2011,S01,2011 Half1,252.805
CUUSS24ASAF,2011,S02,2011 Half2,260.849
CUUSS24ASAF,2012,S01,2012 Half1,265.105
CUUSS24ASAF,2012,S02,2012 Half2,265.488
CUUSS24ASAF,2013,S01,2013 Half1,267.843
CUUSS24ASAF,2013,S02,2013 Half2,266.038
CUUSS24ASAF,2014,S01,2014 Half1,267.651
CUUSS24ASAF,2014,S02,2014 Half2,269.087
CUUSS24ASAF,2015,S01,2015 Half1,269.800
CUUSS24ASAF,2015,S02,2015 Half2,272.282
CUUSS24ASAF,2016,S01,2016 Half1,271.883
CUUSS24ASAF,2016,S02,2016 Half2,273.212
CUUSS24ASAF,2017,S01,2017 Half1,274.350
CUUSS24ASAF,2017,S02,2017 Half2,275.611
CUUSS24ASAF,2018,S01,2018 Half1,278.980
CUUSS24ASAF,2018,S02,2018 Half2,280.691
CUUSS24ASAF,2019,S01,2019 Half1,282.707
CUUSS24ASAF,2019,S02,2019 Half2,285.681
CUUSS24ASAF,2020,S01,2020 Half1,290.406
CUUSS24ASAF,2020,S02,2020 Half2,294.961
CUUSS24ASAF,2021,S01,2021 Half1,297.566
CUUSS24ASAF,2021,S02,2021 Half2,309.179
