DATE,CUURA101SAF
1990-01-01,136.900
1990-02-01,138.400
1990-03-01,138.500
1990-04-01,138.700
1990-05-01,138.700
1990-06-01,139.200
1990-07-01,140.400
1990-08-01,140.800
1990-09-01,140.400
1990-10-01,141.100
1990-11-01,141.100
1990-12-01,141.200
1991-01-01,143.300
1991-02-01,143.800
1991-03-01,144.200
1991-04-01,145.600
1991-05-01,145.200
1991-06-01,146.100
1991-07-01,144.600
1991-08-01,143.700
1991-09-01,143.900
1991-10-01,143.500
1991-11-01,143.400
1991-12-01,144.100
1992-01-01,145.200
1992-02-01,145.600
1992-03-01,146.200
1992-04-01,146.200
1992-05-01,145.300
1992-06-01,145.800
1992-07-01,144.900
1992-08-01,145.900
1992-09-01,146.000
1992-10-01,146.700
1992-11-01,146.400
1992-12-01,147.200
1993-01-01,148.700
1993-02-01,148.500
1993-03-01,148.800
1993-04-01,149.300
1993-05-01,149.300
1993-06-01,147.900
1993-07-01,147.900
1993-08-01,149.000
1993-09-01,148.900
1993-10-01,149.100
1993-11-01,149.900
1993-12-01,151.000
1994-01-01,151.800
1994-02-01,150.900
1994-03-01,150.800
1994-04-01,150.900
1994-05-01,151.300
1994-06-01,151.200
1994-07-01,152.300
1994-08-01,152.700
1994-09-01,152.700
1994-10-01,152.800
1994-11-01,152.900
1994-12-01,153.000
1995-01-01,154.600
1995-02-01,154.300
1995-03-01,154.400
1995-04-01,156.000
1995-05-01,155.500
1995-06-01,155.700
1995-07-01,155.900
1995-08-01,156.400
1995-09-01,156.800
1995-10-01,157.000
1995-11-01,157.200
1995-12-01,157.000
1996-01-01,158.100
1996-02-01,158.500
1996-03-01,158.700
1996-04-01,158.500
1996-05-01,158.800
1996-06-01,159.700
1996-07-01,159.400
1996-08-01,159.200
1996-09-01,160.900
1996-10-01,161.000
1996-11-01,161.600
1996-12-01,161.500
1997-01-01,161.600
1997-02-01,162.300
1997-03-01,162.900
1997-04-01,162.300
1997-05-01,162.800
1997-06-01,162.900
1997-07-01,162.800
1997-08-01,163.100
1997-09-01,163.500
1997-10-01,163.500
