Series ID,Year,Period,Label,Value
CUUSS48ASAF,2002,S01,2002 Half1,101.0
CUUSS48ASAF,2002,S02,2002 Half2,102.5
CUUSS48ASAF,2003,S01,2003 Half1,102.5
CUUSS48ASAF,2003,S02,2003 Half2,104.7
CUUSS48ASAF,2004,S01,2004 Half1,107.2
CUUSS48ASAF,2004,S02,2004 Half2,109.5
CUUSS48ASAF,2005,S01,2005 Half1,109.9
CUUSS48ASAF,2005,S02,2005 Half2,110.7
CUUSS48ASAF,2006,S01,2006 Half1,112.6
CUUSS48ASAF,2006,S02,2006 Half2,113.5
CUUSS48ASAF,2007,S01,2007 Half1,117.256
CUUSS48ASAF,2007,S02,2007 Half2,120.510
CUUSS48ASAF,2008,S01,2008 Half1,123.438
CUUSS48ASAF,2008,S02,2008 Half2,126.912
CUUSS48ASAF,2009,S01,2009 Half1,126.092
CUUSS48ASAF,2009,S02,2009 Half2,125.142
CUUSS48ASAF,2010,S01,2010 Half1,125.635
CUUSS48ASAF,2010,S02,2010 Half2,126.155
CUUSS48ASAF,2011,S01,2011 Half1,129.125
CUUSS48ASAF,2011,S02,2011 Half2,130.224
CUUSS48ASAF,2012,S01,2012 Half1,131.684
CUUSS48ASAF,2012,S02,2012 Half2,132.555
CUUSS48ASAF,2013,S01,2013 Half1,135.311
CUUSS48ASAF,2013,S02,2013 Half2,134.840
CUUSS48ASAF,2014,S01,2014 Half1,136.255
CUUSS48ASAF,2014,S02,2014 Half2,139.260
CUUSS48ASAF,2015,S01,2015 Half1,139.859
CUUSS48ASAF,2015,S02,2015 Half2,141.061
CUUSS48ASAF,2016,S01,2016 Half1,142.873
CUUSS48ASAF,2016,S02,2016 Half2,142.300
CUUSS48ASAF,2017,S01,2017 Half1,144.044
CUUSS48ASAF,2017,S02,2017 Half2,143.421
CUUSS48ASAF,2018,S01,2018 Half1,144.621
CUUSS48ASAF,2018,S02,2018 Half2,144.931
CUUSS48ASAF,2019,S01,2019 Half1,147.962
CUUSS48ASAF,2019,S02,2019 Half2,149.852
CUUSS48ASAF,2020,S01,2020 Half1,152.880
CUUSS48ASAF,2020,S02,2020 Half2,154.658
CUUSS48ASAF,2021,S01,2021 Half1,157.249
CUUSS48ASAF,2021,S02,2021 Half2,159.904
