Series ID,Year,Period,Label,Value
CUUSA425SAF,1990,S01,1990 Half1,124.9
CUUSA425SAF,1990,S02,1990 Half2,127.4
CUUSA425SAF,1991,S01,1991 Half1,131.4
CUUSA425SAF,1991,S02,1991 Half2,129.9
CUUSA425SAF,1992,S01,1992 Half1,132.1
CUUSA425SAF,1992,S02,1992 Half2,131.3
CUUSA425SAF,1993,S01,1993 Half1,133.8
CUUSA425SAF,1993,S02,1993 Half2,134.3
CUUSA425SAF,1994,S01,1994 Half1,135.5
CUUSA425SAF,1994,S02,1994 Half2,136.2
CUUSA425SAF,1995,S01,1995 Half1,137.3
CUUSA425SAF,1995,S02,1995 Half2,136.8
CUUSA425SAF,1996,S01,1996 Half1,141.6
CUUSA425SAF,1996,S02,1996 Half2,144.7
CUUSA425SAF,1997,S01,1997 Half1,147.0
CUUSA425SAF,1997,S02,1997 Half2,149.8
CUUSA425SAF,1998,S01,1998 Half1,153.5
CUUSA425SAF,1998,S02,1998 Half2,153.9
CUUSA425SAF,1999,S01,1999 Half1,157.5
CUUSA425SAF,1999,S02,1999 Half2,157.1
CUUSA425SAF,2000,S01,2000 Half1,158.2
CUUSA425SAF,2000,S02,2000 Half2,158.6
CUUSA425SAF,2001,S01,2001 Half1,159.2
CUUSA425SAF,2001,S02,2001 Half2,162.0
CUUSA425SAF,2002,S01,2002 Half1,162.2
CUUSA425SAF,2002,S02,2002 Half2,162.9
CUUSA425SAF,2003,S01,2003 Half1,166.6
CUUSA425SAF,2003,S02,2003 Half2,168.5
CUUSA425SAF,2004,S01,2004 Half1,173.4
CUUSA425SAF,2004,S02,2004 Half2,175.4
CUUSA425SAF,2005,S01,2005 Half1,176.5
CUUSA425SAF,2005,S02,2005 Half2,178.1
CUUSA425SAF,2006,S01,2006 Half1,181.7
CUUSA425SAF,2006,S02,2006 Half2,182.0
CUUSA425SAF,2007,S01,2007 Half1,186.141
CUUSA425SAF,2007,S02,2007 Half2,189.756
CUUSA425SAF,2008,S01,2008 Half1,194.222
CUUSA425SAF,2008,S02,2008 Half2,202.104
CUUSA425SAF,2009,S01,2009 Half1,204.038
CUUSA425SAF,2009,S02,2009 Half2,202.409
CUUSA425SAF,2010,S01,2010 Half1,203.361
CUUSA425SAF,2010,S02,2010 Half2,204.287
CUUSA425SAF,2011,S01,2011 Half1,208.139
CUUSA425SAF,2011,S02,2011 Half2,212.525
CUUSA425SAF,2012,S01,2012 Half1,214.652
CUUSA425SAF,2012,S02,2012 Half2,215.746
CUUSA425SAF,2013,S01,2013 Half1,219.349
CUUSA425SAF,2013,S02,2013 Half2,223.207
CUUSA425SAF,2014,S01,2014 Half1,225.641
CUUSA425SAF,2014,S02,2014 Half2,231.522
CUUSA425SAF,2015,S01,2015 Half1,232.798
CUUSA425SAF,2015,S02,2015 Half2,232.739
CUUSA425SAF,2016,S01,2016 Half1,232.297
CUUSA425SAF,2016,S02,2016 Half2,232.822
CUUSA425SAF,2017,S01,2017 Half1,235.531
CUUSA425SAF,2017,S02,2017 Half2,236.525
