DATE,CUURA423SAF
1997-12-01,161.500
1998-01-01,.
1998-02-01,165.600
1998-03-01,.
1998-04-01,162.900
1998-05-01,.
1998-06-01,163.900
1998-07-01,.
1998-08-01,165.600
1998-09-01,.
1998-10-01,167.700
1998-11-01,.
1998-12-01,167.300
1999-01-01,.
1999-02-01,169.500
1999-03-01,.
1999-04-01,168.800
1999-05-01,.
1999-06-01,168.600
1999-07-01,.
1999-08-01,170.000
1999-09-01,.
1999-10-01,170.600
1999-11-01,.
1999-12-01,170.700
2000-01-01,.
2000-02-01,171.500
2000-03-01,.
2000-04-01,172.900
2000-05-01,.
2000-06-01,173.100
2000-07-01,.
2000-08-01,173.800
2000-09-01,.
2000-10-01,176.800
2000-11-01,.
2000-12-01,175.600
2001-01-01,.
2001-02-01,180.100
2001-03-01,.
2001-04-01,179.900
2001-05-01,.
2001-06-01,182.900
2001-07-01,.
2001-08-01,180.600
2001-09-01,.
2001-10-01,183.400
2001-11-01,.
2001-12-01,181.600
2002-01-01,.
2002-02-01,185.600
2002-03-01,.
2002-04-01,183.300
2002-05-01,.
2002-06-01,184.500
2002-07-01,.
2002-08-01,184.800
2002-09-01,.
2002-10-01,186.800
2002-11-01,.
2002-12-01,186.800
2003-01-01,.
2003-02-01,188.800
2003-03-01,.
2003-04-01,189.000
2003-05-01,.
2003-06-01,188.500
2003-07-01,.
2003-08-01,192.000
2003-09-01,.
2003-10-01,193.200
2003-11-01,.
2003-12-01,191.800
2004-01-01,.
2004-02-01,194.500
2004-03-01,.
2004-04-01,195.100
2004-05-01,.
2004-06-01,194.900
2004-07-01,.
2004-08-01,193.700
2004-09-01,.
2004-10-01,196.900
2004-11-01,.
2004-12-01,197.700
2005-01-01,.
2005-02-01,197.800
2005-03-01,.
2005-04-01,201.200
2005-05-01,.
2005-06-01,199.600
2005-07-01,.
2005-08-01,200.200
2005-09-01,.
2005-10-01,204.000
2005-11-01,.
2005-12-01,202.400
2006-01-01,.
2006-02-01,204.300
2006-03-01,.
2006-04-01,204.500
2006-05-01,.
2006-06-01,206.100
2006-07-01,.
2006-08-01,208.700
2006-09-01,.
2006-10-01,208.400
2006-11-01,.
2006-12-01,208.900
2007-01-01,.
2007-02-01,212.437
2007-03-01,.
2007-04-01,212.870
2007-05-01,.
2007-06-01,214.297
2007-07-01,.
2007-08-01,215.338
2007-09-01,.
2007-10-01,219.117
2007-11-01,.
2007-12-01,219.320
