DATE,CUURA422SAF
1990-01-01,132.800
1990-02-01,133.200
1990-03-01,133.000
1990-04-01,133.600
1990-05-01,133.000
1990-06-01,133.700
1990-07-01,135.100
1990-08-01,134.900
1990-09-01,135.700
1990-10-01,136.500
1990-11-01,137.200
1990-12-01,137.100
1991-01-01,140.000
1991-02-01,139.100
1991-03-01,140.000
1991-04-01,140.100
1991-05-01,139.800
1991-06-01,140.200
1991-07-01,139.300
1991-08-01,139.100
1991-09-01,139.800
1991-10-01,140.100
1991-11-01,142.400
1991-12-01,143.600
1992-01-01,142.200
1992-02-01,142.900
1992-03-01,143.100
1992-04-01,142.800
1992-05-01,142.800
1992-06-01,142.900
1992-07-01,142.300
1992-08-01,144.000
1992-09-01,143.900
1992-10-01,143.900
1992-11-01,144.000
1992-12-01,145.100
1993-01-01,146.600
1993-02-01,146.600
1993-03-01,146.600
1993-04-01,146.900
1993-05-01,146.500
1993-06-01,145.500
1993-07-01,145.800
1993-08-01,145.100
1993-09-01,145.100
1993-10-01,146.600
1993-11-01,146.300
1993-12-01,147.300
1994-01-01,148.900
1994-02-01,148.200
1994-03-01,148.400
1994-04-01,149.200
1994-05-01,148.000
1994-06-01,147.600
1994-07-01,148.700
1994-08-01,148.200
1994-09-01,148.200
1994-10-01,148.900
1994-11-01,150.400
1994-12-01,152.200
1995-01-01,152.900
1995-02-01,151.700
1995-03-01,152.200
1995-04-01,153.100
1995-05-01,151.500
1995-06-01,150.900
1995-07-01,151.300
1995-08-01,149.900
1995-09-01,151.500
1995-10-01,151.800
1995-11-01,150.700
1995-12-01,151.600
1996-01-01,152.700
1996-02-01,152.200
1996-03-01,154.800
1996-04-01,155.400
1996-05-01,154.000
1996-06-01,154.800
1996-07-01,155.100
1996-08-01,155.900
1996-09-01,156.300
1996-10-01,157.700
1996-11-01,157.500
1996-12-01,157.200
1997-01-01,157.900
1997-02-01,159.500
1997-03-01,159.900
1997-04-01,159.800
1997-05-01,158.800
1997-06-01,158.400
1997-07-01,158.800
1997-08-01,160.700
1997-09-01,160.600
1997-10-01,162.000
1997-11-01,162.000
1997-12-01,163.100
1998-01-01,.
1998-02-01,165.000
1998-03-01,.
1998-04-01,165.700
