Series ID,Year,Period,Label,Value
CUUSS35DSAF,1997,S02,1997 Half2,132.8
CUUSS35DSAF,1998,S01,1998 Half1,132.6
CUUSS35DSAF,1998,S02,1998 Half2,134.9
CUUSS35DSAF,1999,S01,1999 Half1,136.2
CUUSS35DSAF,1999,S02,1999 Half2,139.2
CUUSS35DSAF,2000,S01,2000 Half1,141.9
CUUSS35DSAF,2000,S02,2000 Half2,142.7
CUUSS35DSAF,2001,S01,2001 Half1,145.7
CUUSS35DSAF,2001,S02,2001 Half2,148.1
CUUSS35DSAF,2002,S01,2002 Half1,150.5
CUUSS35DSAF,2002,S02,2002 Half2,152.4
CUUSS35DSAF,2003,S01,2003 Half1,155.1
CUUSS35DSAF,2003,S02,2003 Half2,157.9
CUUSS35DSAF,2004,S01,2004 Half1,159.9
CUUSS35DSAF,2004,S02,2004 Half2,162.7
CUUSS35DSAF,2005,S01,2005 Half1,164.9
CUUSS35DSAF,2005,S02,2005 Half2,167.1
CUUSS35DSAF,2006,S01,2006 Half1,169.5
CUUSS35DSAF,2006,S02,2006 Half2,171.3
CUUSS35DSAF,2007,S01,2007 Half1,175.856
CUUSS35DSAF,2007,S02,2007 Half2,181.648
CUUSS35DSAF,2008,S01,2008 Half1,186.391
CUUSS35DSAF,2008,S02,2008 Half2,192.890
CUUSS35DSAF,2009,S01,2009 Half1,193.649
CUUSS35DSAF,2009,S02,2009 Half2,192.384
CUUSS35DSAF,2010,S01,2010 Half1,194.232
CUUSS35DSAF,2010,S02,2010 Half2,194.727
CUUSS35DSAF,2011,S01,2011 Half1,199.114
CUUSS35DSAF,2011,S02,2011 Half2,205.153
CUUSS35DSAF,2012,S01,2012 Half1,206.323
CUUSS35DSAF,2012,S02,2012 Half2,206.835
CUUSS35DSAF,2013,S01,2013 Half1,205.823
CUUSS35DSAF,2013,S02,2013 Half2,207.762
CUUSS35DSAF,2014,S01,2014 Half1,211.074
CUUSS35DSAF,2014,S02,2014 Half2,216.457
CUUSS35DSAF,2015,S01,2015 Half1,218.420
CUUSS35DSAF,2015,S02,2015 Half2,220.932
CUUSS35DSAF,2016,S01,2016 Half1,220.124
CUUSS35DSAF,2016,S02,2016 Half2,218.520
CUUSS35DSAF,2017,S01,2017 Half1,218.801
CUUSS35DSAF,2017,S02,2017 Half2,223.461
CUUSS35DSAF,2018,S01,2018 Half1,224.760
CUUSS35DSAF,2018,S02,2018 Half2,227.464
CUUSS35DSAF,2019,S01,2019 Half1,229.499
CUUSS35DSAF,2019,S02,2019 Half2,232.322
CUUSS35DSAF,2020,S01,2020 Half1,242.107
CUUSS35DSAF,2020,S02,2020 Half2,248.663
CUUSS35DSAF,2021,S01,2021 Half1,253.193
CUUSS35DSAF,2021,S02,2021 Half2,257.542
