Series ID,Year,Period,Label,Value
CUURS35CSAM,1997,M12,1997 Dec,244.1
CUURS35CSAM,1998,M02,1998 Feb,244.3
CUURS35CSAM,1998,M04,1998 Apr,244.0
CUURS35CSAM,1998,M06,1998 Jun,243.8
CUURS35CSAM,1998,M08,1998 Aug,245.3
CUURS35CSAM,1998,M10,1998 Oct,246.1
CUURS35CSAM,1998,M12,1998 Dec,247.0
CUURS35CSAM,1999,M02,1999 Feb,248.7
CUURS35CSAM,1999,M04,1999 Apr,251.4
CUURS35CSAM,1999,M06,1999 Jun,251.7
CUURS35CSAM,1999,M08,1999 Aug,257.6
CUURS35CSAM,1999,M10,1999 Oct,258.2
CUURS35CSAM,1999,M12,1999 Dec,259.6
CUURS35CSAM,2000,M02,2000 Feb,260.9
CUURS35CSAM,2000,M04,2000 Apr,261.2
CUURS35CSAM,2000,M06,2000 Jun,262.0
CUURS35CSAM,2000,M08,2000 Aug,266.8
CUURS35CSAM,2000,M10,2000 Oct,266.8
CUURS35CSAM,2000,M12,2000 Dec,269.8
CUURS35CSAM,2001,M02,2001 Feb,275.3
CUURS35CSAM,2001,M04,2001 Apr,277.2
CUURS35CSAM,2001,M06,2001 Jun,278.0
CUURS35CSAM,2001,M08,2001 Aug,276.9
CUURS35CSAM,2001,M10,2001 Oct,279.2
CUURS35CSAM,2001,M12,2001 Dec,275.1
CUURS35CSAM,2002,M02,2002 Feb,277.2
CUURS35CSAM,2002,M04,2002 Apr,284.4
CUURS35CSAM,2002,M06,2002 Jun,287.5
CUURS35CSAM,2002,M08,2002 Aug,288.5
CUURS35CSAM,2002,M10,2002 Oct,308.5
CUURS35CSAM,2002,M12,2002 Dec,308.5
CUURS35CSAM,2003,M02,2003 Feb,310.1
CUURS35CSAM,2003,M04,2003 Apr,310.5
CUURS35CSAM,2003,M06,2003 Jun,310.1
CUURS35CSAM,2003,M08,2003 Aug,312.5
CUURS35CSAM,2003,M10,2003 Oct,312.2
CUURS35CSAM,2003,M12,2003 Dec,313.1
CUURS35CSAM,2004,M02,2004 Feb,313.0
CUURS35CSAM,2004,M04,2004 Apr,315.8
CUURS35CSAM,2004,M06,2004 Jun,315.6
CUURS35CSAM,2004,M08,2004 Aug,318.1
CUURS35CSAM,2004,M10,2004 Oct,320.2
