Series ID,Year,Period,Label,Value
CUUSS35CSAM,1991,S01,1991 Half1,187.8
CUUSS35CSAM,1991,S02,1991 Half2,195.5
CUUSS35CSAM,1992,S01,1992 Half1,202.1
CUUSS35CSAM,1992,S02,1992 Half2,203.3
CUUSS35CSAM,1993,S01,1993 Half1,210.9
CUUSS35CSAM,1993,S02,1993 Half2,215.1
CUUSS35CSAM,1994,S01,1994 Half1,223.3
CUUSS35CSAM,1994,S02,1994 Half2,230.7
CUUSS35CSAM,1995,S01,1995 Half1,234.1
CUUSS35CSAM,1995,S02,1995 Half2,237.9
CUUSS35CSAM,1996,S01,1996 Half1,239.7
CUUSS35CSAM,1996,S02,1996 Half2,241.7
CUUSS35CSAM,1997,S01,1997 Half1,243.2
CUUSS35CSAM,1997,S02,1997 Half2,243.7
