DATE,CUURA103SAM
1990-01-01,173.200
1990-02-01,.
1990-03-01,177.900
1990-04-01,.
1990-05-01,181.700
1990-06-01,.
1990-07-01,182.300
1990-08-01,.
1990-09-01,182.700
1990-10-01,.
1990-11-01,187.500
1990-12-01,.
1991-01-01,189.700
1991-02-01,.
1991-03-01,198.400
1991-04-01,.
1991-05-01,201.800
1991-06-01,.
1991-07-01,205.400
1991-08-01,.
1991-09-01,204.600
1991-10-01,.
1991-11-01,210.400
1991-12-01,.
1992-01-01,213.800
1992-02-01,.
1992-03-01,218.600
1992-04-01,.
1992-05-01,223.900
1992-06-01,.
1992-07-01,223.900
1992-08-01,.
1992-09-01,227.400
1992-10-01,.
1992-11-01,232.500
1992-12-01,.
1993-01-01,233.900
1993-02-01,.
1993-03-01,232.700
1993-04-01,.
1993-05-01,237.700
1993-06-01,.
1993-07-01,240.100
1993-08-01,.
1993-09-01,240.200
1993-10-01,.
1993-11-01,246.100
1993-12-01,.
1994-01-01,247.300
1994-02-01,.
1994-03-01,249.300
1994-04-01,.
1994-05-01,250.400
1994-06-01,.
1994-07-01,250.200
1994-08-01,.
1994-09-01,251.800
1994-10-01,.
1994-11-01,255.000
1994-12-01,.
1995-01-01,257.900
1995-02-01,.
1995-03-01,262.700
1995-04-01,.
1995-05-01,265.100
1995-06-01,.
1995-07-01,266.700
1995-08-01,.
1995-09-01,265.900
1995-10-01,.
1995-11-01,273.900
1995-12-01,.
1996-01-01,275.200
1996-02-01,.
1996-03-01,278.500
1996-04-01,.
1996-05-01,278.500
1996-06-01,.
1996-07-01,279.800
1996-08-01,.
1996-09-01,282.300
1996-10-01,.
1996-11-01,286.500
1996-12-01,.
1997-01-01,291.400
1997-02-01,.
1997-03-01,289.800
1997-04-01,.
1997-05-01,292.000
1997-06-01,.
1997-07-01,292.800
1997-08-01,.
1997-09-01,291.800
1997-10-01,.
1997-11-01,298.200
1997-12-01,.
1998-01-01,303.500
1998-02-01,.
1998-03-01,308.900
1998-04-01,.
1998-05-01,313.600
1998-06-01,.
1998-07-01,316.300
1998-08-01,.
1998-09-01,316.500
1998-10-01,.
1998-11-01,320.000
1998-12-01,.
1999-01-01,322.700
1999-02-01,.
1999-03-01,327.200
1999-04-01,.
1999-05-01,326.700
1999-06-01,.
1999-07-01,330.100
1999-08-01,.
1999-09-01,331.900
1999-10-01,.
1999-11-01,337.200
1999-12-01,.
2000-01-01,343.500
2000-02-01,.
2000-03-01,344.300
2000-04-01,.
2000-05-01,344.800
2000-06-01,.
2000-07-01,346.300
2000-08-01,.
2000-09-01,353.100
2000-10-01,.
2000-11-01,355.600
2000-12-01,.
2001-01-01,359.900
2001-02-01,.
2001-03-01,364.300
2001-04-01,.
2001-05-01,369.400
2001-06-01,.
2001-07-01,368.600
2001-08-01,.
2001-09-01,369.000
2001-10-01,.
2001-11-01,373.900
2001-12-01,.
2002-01-01,377.700
2002-02-01,.
2002-03-01,374.100
2002-04-01,.
2002-05-01,383.800
2002-06-01,.
2002-07-01,385.000
2002-08-01,.
2002-09-01,385.400
2002-10-01,.
2002-11-01,391.000
2002-12-01,.
2003-01-01,391.800
2003-02-01,.
2003-03-01,392.500
2003-04-01,.
2003-05-01,395.800
2003-06-01,.
2003-07-01,397.700
2003-08-01,.
2003-09-01,399.200
2003-10-01,.
2003-11-01,405.300
2003-12-01,.
2004-01-01,412.200
2004-02-01,.
2004-03-01,412.600
2004-04-01,.
2004-05-01,412.800
2004-06-01,.
2004-07-01,415.000
2004-08-01,.
2004-09-01,418.200
2004-10-01,.
2004-11-01,423.500
2004-12-01,.
2005-01-01,430.400
2005-02-01,.
2005-03-01,433.700
2005-04-01,.
2005-05-01,435.000
2005-06-01,.
2005-07-01,435.800
2005-08-01,.
