DATE,CUURA210SAM
1990-01-01,150.200
1990-02-01,.
1990-03-01,151.700
1990-04-01,.
1990-05-01,153.400
1990-06-01,.
1990-07-01,158.500
1990-08-01,.
1990-09-01,159.400
1990-10-01,.
1990-11-01,162.800
1990-12-01,.
1991-01-01,166.000
1991-02-01,.
1991-03-01,168.800
1991-04-01,.
1991-05-01,171.400
1991-06-01,.
1991-07-01,171.900
1991-08-01,.
1991-09-01,174.200
1991-10-01,.
1991-11-01,175.100
1991-12-01,.
1992-01-01,176.500
1992-02-01,.
1992-03-01,177.800
1992-04-01,.
1992-05-01,178.500
1992-06-01,.
1992-07-01,179.000
1992-08-01,.
1992-09-01,178.400
1992-10-01,.
1992-11-01,179.000
1992-12-01,.
1993-01-01,185.500
1993-02-01,.
1993-03-01,185.100
1993-04-01,.
1993-05-01,186.000
1993-06-01,.
1993-07-01,188.000
1993-08-01,.
1993-09-01,188.200
1993-10-01,.
1993-11-01,188.900
1993-12-01,.
1994-01-01,192.600
1994-02-01,.
1994-03-01,195.300
1994-04-01,.
1994-05-01,194.500
1994-06-01,.
1994-07-01,194.700
1994-08-01,.
1994-09-01,197.700
1994-10-01,.
1994-11-01,197.600
1994-12-01,.
1995-01-01,201.200
1995-02-01,.
1995-03-01,202.600
1995-04-01,.
1995-05-01,201.900
1995-06-01,.
1995-07-01,202.400
1995-08-01,.
1995-09-01,202.400
1995-10-01,.
1995-11-01,203.300
1995-12-01,.
1996-01-01,208.000
1996-02-01,.
1996-03-01,209.000
1996-04-01,.
1996-05-01,209.600
1996-06-01,.
1996-07-01,210.000
1996-08-01,.
1996-09-01,209.600
1996-10-01,.
1996-11-01,209.800
1996-12-01,.
1997-01-01,210.200
1997-02-01,.
1997-03-01,211.100
1997-04-01,.
1997-05-01,210.500
1997-06-01,.
1997-07-01,212.300
1997-08-01,.
1997-09-01,212.200
1997-10-01,.
1997-11-01,212.500
1997-12-01,.
1998-01-01,211.600
1998-02-01,.
1998-03-01,211.600
1998-04-01,.
1998-05-01,214.500
1998-06-01,.
1998-07-01,215.000
1998-08-01,.
1998-09-01,216.600
1998-10-01,.
1998-11-01,217.100
1998-12-01,.
