DATE,CUURA316SAM
2000-01-01,237.900
2000-02-01,.
2000-03-01,240.800
2000-04-01,.
2000-05-01,239.800
2000-06-01,.
2000-07-01,245.200
2000-08-01,.
2000-09-01,246.100
2000-10-01,.
2000-11-01,246.900
2000-12-01,.
2001-01-01,248.700
2001-02-01,.
2001-03-01,250.200
2001-04-01,.
2001-05-01,251.400
2001-06-01,.
2001-07-01,252.900
2001-08-01,.
2001-09-01,253.500
2001-10-01,.
2001-11-01,255.500
2001-12-01,.
2002-01-01,256.900
2002-02-01,.
2002-03-01,265.500
2002-04-01,.
2002-05-01,267.000
2002-06-01,.
2002-07-01,269.200
2002-08-01,.
2002-09-01,269.000
2002-10-01,.
2002-11-01,273.700
2002-12-01,.
2003-01-01,273.100
2003-02-01,.
2003-03-01,273.700
2003-04-01,.
2003-05-01,277.100
2003-06-01,.
2003-07-01,279.600
2003-08-01,.
2003-09-01,281.800
2003-10-01,.
2003-11-01,276.000
2003-12-01,.
2004-01-01,278.700
2004-02-01,.
2004-03-01,284.500
2004-04-01,.
2004-05-01,284.700
2004-06-01,.
2004-07-01,285.300
2004-08-01,.
2004-09-01,284.800
2004-10-01,.
2004-11-01,285.100
2004-12-01,.
2005-01-01,285.200
2005-02-01,.
2005-03-01,295.200
2005-04-01,.
2005-05-01,295.500
2005-06-01,.
2005-07-01,296.300
2005-08-01,.
2005-09-01,296.800
2005-10-01,.
2005-11-01,296.700
2005-12-01,.
2006-01-01,301.900
2006-02-01,.
2006-03-01,304.000
2006-04-01,.
2006-05-01,304.600
2006-06-01,.
2006-07-01,305.800
2006-08-01,.
2006-09-01,313.000
2006-10-01,.
2006-11-01,310.000
2006-12-01,.
2007-01-01,317.726
2007-02-01,.
2007-03-01,315.096
2007-04-01,.
2007-05-01,315.638
2007-06-01,.
2007-07-01,316.684
2007-08-01,.
2007-09-01,317.245
2007-10-01,.
2007-11-01,317.543
2007-12-01,.
2008-01-01,321.004
2008-02-01,.
2008-03-01,327.183
2008-04-01,.
2008-05-01,325.071
2008-06-01,.
2008-07-01,325.629
2008-08-01,.
2008-09-01,329.764
2008-10-01,.
2008-11-01,331.846
2008-12-01,.
2009-01-01,335.853
2009-02-01,.
2009-03-01,338.468
2009-04-01,.
2009-05-01,339.369
2009-06-01,.
2009-07-01,340.207
2009-08-01,.
2009-09-01,341.788
2009-10-01,.
2009-11-01,372.613
2009-12-01,.
2010-01-01,375.815
2010-02-01,.
2010-03-01,376.373
2010-04-01,.
2010-05-01,374.002
2010-06-01,.
2010-07-01,333.566
2010-08-01,.
2010-09-01,364.367
2010-10-01,.
2010-11-01,356.059
2010-12-01,.
2011-01-01,355.368
2011-02-01,.
2011-03-01,364.930
2011-04-01,.
2011-05-01,364.857
2011-06-01,.
2011-07-01,365.402
2011-08-01,.
2011-09-01,366.554
2011-10-01,.
2011-11-01,372.333
2011-12-01,.
2012-01-01,374.664
2012-02-01,.
2012-03-01,376.855
2012-04-01,.
2012-05-01,376.530
2012-06-01,.
2012-07-01,379.443
2012-08-01,.
2012-09-01,376.498
2012-10-01,.
2012-11-01,387.592
2012-12-01,.
2013-01-01,386.499
2013-02-01,.
2013-03-01,387.301
2013-04-01,.
2013-05-01,379.470
2013-06-01,.
2013-07-01,381.742
2013-08-01,.
2013-09-01,383.847
2013-10-01,.
2013-11-01,386.124
2013-12-01,.
2014-01-01,394.380
2014-02-01,.
2014-03-01,385.506
2014-04-01,.
2014-05-01,389.317
2014-06-01,.
2014-07-01,394.319
2014-08-01,.
2014-09-01,391.005
2014-10-01,.
2014-11-01,400.872
2014-12-01,.
2015-01-01,411.132
2015-02-01,.
2015-03-01,411.537
2015-04-01,.
2015-05-01,411.996
2015-06-01,.
2015-07-01,412.078
2015-08-01,.
2015-09-01,418.399
2015-10-01,.
2015-11-01,418.677
2015-12-01,.
2016-01-01,428.476
2016-02-01,.
2016-03-01,431.261
2016-04-01,.
2016-05-01,427.874
2016-06-01,.
2016-07-01,434.529
2016-08-01,.
2016-09-01,436.971
2016-10-01,.
2016-11-01,433.631
2016-12-01,.
2017-01-01,424.806
2017-02-01,.
2017-03-01,432.217
2017-04-01,.
2017-05-01,432.157
2017-06-01,.
2017-07-01,432.125
2017-08-01,.
2017-09-01,432.588
2017-10-01,.
2017-11-01,432.142
2017-12-01,.
2018-01-01,431.091
2018-02-01,.
2018-03-01,433.810
2018-04-01,.
2018-05-01,436.624
2018-06-01,.
2018-07-01,439.851
2018-08-01,.
2018-09-01,438.491
2018-10-01,.
2018-11-01,438.761
2018-12-01,.
2019-01-01,443.905
2019-02-01,.
2019-03-01,450.507
2019-04-01,.
2019-05-01,451.533
2019-06-01,.
2019-07-01,453.839
2019-08-01,.
2019-09-01,456.962
2019-10-01,.
2019-11-01,459.300
2019-12-01,.
2020-01-01,462.745
2020-02-01,.
2020-03-01,469.228
2020-04-01,.
2020-05-01,477.670
2020-06-01,.
2020-07-01,477.748
2020-08-01,.
2020-09-01,477.055
2020-10-01,.
2020-11-01,474.016
2020-12-01,.
2021-01-01,472.041
2021-02-01,.
2021-03-01,477.233
2021-04-01,.
2021-05-01,481.412
2021-06-01,.
2021-07-01,481.860
2021-08-01,.
2021-09-01,475.703
2021-10-01,.
2021-11-01,476.025
2021-12-01,.
2022-01-01,486.962
2022-02-01,.
2022-03-01,493.586
