DATE,CUURA311SAM
1997-11-01,102.800
1997-12-01,.
1998-01-01,103.900
1998-02-01,.
1998-03-01,104.100
1998-04-01,.
1998-05-01,103.900
1998-06-01,.
1998-07-01,104.200
1998-08-01,.
1998-09-01,104.700
1998-10-01,.
1998-11-01,105.500
1998-12-01,.
1999-01-01,105.500
1999-02-01,.
1999-03-01,106.800
1999-04-01,.
1999-05-01,106.600
1999-06-01,.
1999-07-01,106.900
1999-08-01,.
1999-09-01,107.000
1999-10-01,.
1999-11-01,107.600
1999-12-01,.
2000-01-01,108.600
2000-02-01,.
2000-03-01,109.200
2000-04-01,.
2000-05-01,109.800
2000-06-01,.
2000-07-01,110.500
2000-08-01,.
2000-09-01,108.900
2000-10-01,.
2000-11-01,110.400
2000-12-01,.
2001-01-01,110.800
2001-02-01,.
2001-03-01,111.400
2001-04-01,.
2001-05-01,110.300
2001-06-01,.
2001-07-01,110.600
2001-08-01,.
2001-09-01,110.700
2001-10-01,.
2001-11-01,112.000
2001-12-01,.
2002-01-01,112.200
2002-02-01,.
2002-03-01,113.800
2002-04-01,.
2002-05-01,115.800
2002-06-01,.
2002-07-01,115.500
2002-08-01,.
2002-09-01,115.100
2002-10-01,.
2002-11-01,115.800
2002-12-01,.
2003-01-01,116.600
2003-02-01,.
2003-03-01,117.600
2003-04-01,.
2003-05-01,117.700
2003-06-01,.
2003-07-01,118.500
2003-08-01,.
2003-09-01,118.900
2003-10-01,.
2003-11-01,120.800
2003-12-01,.
2004-01-01,120.800
2004-02-01,.
2004-03-01,120.800
2004-04-01,.
2004-05-01,120.500
2004-06-01,.
2004-07-01,122.300
2004-08-01,.
2004-09-01,122.100
2004-10-01,.
2004-11-01,123.100
2004-12-01,.
2005-01-01,125.000
2005-02-01,.
2005-03-01,125.200
2005-04-01,.
2005-05-01,126.200
2005-06-01,.
2005-07-01,126.600
2005-08-01,.
2005-09-01,126.700
2005-10-01,.
2005-11-01,128.700
2005-12-01,.
2006-01-01,129.200
2006-02-01,.
2006-03-01,130.700
2006-04-01,.
2006-05-01,131.700
2006-06-01,.
2006-07-01,128.700
2006-08-01,.
2006-09-01,128.000
2006-10-01,.
2006-11-01,128.700
2006-12-01,.
2007-01-01,129.163
2007-02-01,.
2007-03-01,129.237
2007-04-01,.
2007-05-01,133.807
2007-06-01,.
2007-07-01,136.024
2007-08-01,.
2007-09-01,136.046
2007-10-01,.
2007-11-01,136.235
2007-12-01,.
2008-01-01,139.374
2008-02-01,.
2008-03-01,140.307
2008-04-01,.
2008-05-01,140.809
2008-06-01,.
2008-07-01,140.749
2008-08-01,.
2008-09-01,140.865
2008-10-01,.
2008-11-01,141.933
2008-12-01,.
2009-01-01,142.198
2009-02-01,.
2009-03-01,142.003
2009-04-01,.
2009-05-01,142.187
2009-06-01,.
2009-07-01,142.419
2009-08-01,.
2009-09-01,142.945
2009-10-01,.
2009-11-01,143.507
2009-12-01,.
2010-01-01,146.888
2010-02-01,.
2010-03-01,148.715
2010-04-01,.
2010-05-01,148.761
2010-06-01,.
2010-07-01,149.297
2010-08-01,.
2010-09-01,150.096
2010-10-01,.
2010-11-01,151.716
2010-12-01,.
2011-01-01,153.378
2011-02-01,.
2011-03-01,153.795
2011-04-01,.
2011-05-01,154.680
2011-06-01,.
2011-07-01,155.162
2011-08-01,.
2011-09-01,155.464
2011-10-01,.
2011-11-01,156.546
2011-12-01,.
2012-01-01,158.094
2012-02-01,.
2012-03-01,160.779
2012-04-01,.
2012-05-01,160.955
2012-06-01,.
2012-07-01,161.625
2012-08-01,.
2012-09-01,162.260
2012-10-01,.
2012-11-01,163.847
2012-12-01,.
2013-01-01,166.217
2013-02-01,.
2013-03-01,167.019
2013-04-01,.
2013-05-01,165.615
2013-06-01,.
2013-07-01,166.963
2013-08-01,.
2013-09-01,171.986
2013-10-01,.
2013-11-01,171.819
2013-12-01,.
2014-01-01,171.577
2014-02-01,.
2014-03-01,172.052
2014-04-01,.
2014-05-01,171.139
2014-06-01,.
2014-07-01,170.817
2014-08-01,.
2014-09-01,171.079
2014-10-01,.
2014-11-01,171.552
2014-12-01,.
2015-01-01,171.895
2015-02-01,.
2015-03-01,176.951
2015-04-01,.
2015-05-01,180.135
2015-06-01,.
2015-07-01,179.413
2015-08-01,.
2015-09-01,181.231
2015-10-01,.
2015-11-01,181.222
2015-12-01,.
2016-01-01,182.506
2016-02-01,.
2016-03-01,183.828
2016-04-01,.
2016-05-01,182.683
2016-06-01,.
2016-07-01,183.667
2016-08-01,.
2016-09-01,184.673
2016-10-01,.
2016-11-01,185.330
2016-12-01,.
2017-01-01,187.735
2017-02-01,.
2017-03-01,187.934
2017-04-01,.
2017-05-01,189.005
2017-06-01,.
2017-07-01,189.072
2017-08-01,.
2017-09-01,189.131
2017-10-01,.
2017-11-01,190.116
