Series ID,Year,Period,Label,Value
CUUSS48BSAM,1990,S01,1990 Half1,167.8
CUUSS48BSAM,1990,S02,1990 Half2,179.0
CUUSS48BSAM,1991,S01,1991 Half1,188.3
CUUSS48BSAM,1991,S02,1991 Half2,195.3
CUUSS48BSAM,1992,S01,1992 Half1,202.3
CUUSS48BSAM,1992,S02,1992 Half2,210.6
CUUSS48BSAM,1993,S01,1993 Half1,216.3
CUUSS48BSAM,1993,S02,1993 Half2,219.5
CUUSS48BSAM,1994,S01,1994 Half1,225.1
CUUSS48BSAM,1994,S02,1994 Half2,235.5
CUUSS48BSAM,1995,S01,1995 Half1,244.9
CUUSS48BSAM,1995,S02,1995 Half2,246.6
CUUSS48BSAM,1996,S01,1996 Half1,249.4
CUUSS48BSAM,1996,S02,1996 Half2,252.2
CUUSS48BSAM,1997,S01,1997 Half1,263.4
CUUSS48BSAM,1997,S02,1997 Half2,268.1
CUUSS48BSAM,1998,S01,1998 Half1,273.0
CUUSS48BSAM,1998,S02,1998 Half2,277.0
CUUSS48BSAM,1999,S01,1999 Half1,285.1
CUUSS48BSAM,1999,S02,1999 Half2,293.7
CUUSS48BSAM,2000,S01,2000 Half1,300.6
CUUSS48BSAM,2000,S02,2000 Half2,306.8
CUUSS48BSAM,2001,S01,2001 Half1,317.0
CUUSS48BSAM,2001,S02,2001 Half2,324.3
CUUSS48BSAM,2002,S01,2002 Half1,331.1
CUUSS48BSAM,2002,S02,2002 Half2,333.1
CUUSS48BSAM,2003,S01,2003 Half1,334.9
CUUSS48BSAM,2003,S02,2003 Half2,331.7
CUUSS48BSAM,2004,S01,2004 Half1,336.8
CUUSS48BSAM,2004,S02,2004 Half2,342.2
CUUSS48BSAM,2005,S01,2005 Half1,345.1
CUUSS48BSAM,2005,S02,2005 Half2,359.1
CUUSS48BSAM,2006,S01,2006 Half1,367.9
CUUSS48BSAM,2006,S02,2006 Half2,388.4
CUUSS48BSAM,2007,S01,2007 Half1,400.579
CUUSS48BSAM,2007,S02,2007 Half2,405.130
CUUSS48BSAM,2008,S01,2008 Half1,423.776
CUUSS48BSAM,2008,S02,2008 Half2,442.049
CUUSS48BSAM,2009,S01,2009 Half1,439.587
CUUSS48BSAM,2009,S02,2009 Half2,446.220
CUUSS48BSAM,2010,S01,2010 Half1,445.451
CUUSS48BSAM,2010,S02,2010 Half2,447.303
CUUSS48BSAM,2011,S01,2011 Half1,447.767
CUUSS48BSAM,2011,S02,2011 Half2,456.780
CUUSS48BSAM,2012,S01,2012 Half1,469.672
CUUSS48BSAM,2012,S02,2012 Half2,480.813
CUUSS48BSAM,2013,S01,2013 Half1,487.877
CUUSS48BSAM,2013,S02,2013 Half2,497.149
CUUSS48BSAM,2014,S01,2014 Half1,504.300
CUUSS48BSAM,2014,S02,2014 Half2,511.545
CUUSS48BSAM,2015,S01,2015 Half1,523.475
CUUSS48BSAM,2015,S02,2015 Half2,532.965
CUUSS48BSAM,2016,S01,2016 Half1,532.513
CUUSS48BSAM,2016,S02,2016 Half2,539.710
CUUSS48BSAM,2017,S01,2017 Half1,542.666
CUUSS48BSAM,2017,S02,2017 Half2,576.296
CUUSS48BSAM,2018,S01,2018 Half1,592.625
CUUSS48BSAM,2018,S02,2018 Half2,597.522
CUUSS48BSAM,2019,S01,2019 Half1,611.615
CUUSS48BSAM,2019,S02,2019 Half2,619.545
CUUSS48BSAM,2020,S01,2020 Half1,629.348
CUUSS48BSAM,2020,S02,2020 Half2,631.197
CUUSS48BSAM,2021,S01,2021 Half1,637.684
CUUSS48BSAM,2021,S02,2021 Half2,646.095
