DATE,CUURA208SAM
1990-12-01,164.600
1991-01-01,.
1991-02-01,168.400
1991-03-01,.
1991-04-01,167.900
1991-05-01,.
1991-06-01,169.500
1991-07-01,.
1991-08-01,173.000
1991-09-01,.
1991-10-01,174.400
1991-11-01,.
1991-12-01,175.600
1992-01-01,.
1992-02-01,179.200
1992-03-01,.
1992-04-01,180.900
1992-05-01,.
1992-06-01,181.000
1992-07-01,.
1992-08-01,182.100
1992-09-01,.
1992-10-01,184.200
1992-11-01,.
1992-12-01,184.600
1993-01-01,.
1993-02-01,188.600
1993-03-01,.
1993-04-01,191.300
1993-05-01,.
1993-06-01,191.000
1993-07-01,.
1993-08-01,191.600
1993-09-01,.
1993-10-01,192.300
1993-11-01,.
1993-12-01,192.500
1994-01-01,.
1994-02-01,195.300
1994-03-01,.
1994-04-01,199.000
1994-05-01,.
1994-06-01,200.000
1994-07-01,.
1994-08-01,200.000
1994-09-01,.
1994-10-01,203.100
1994-11-01,.
1994-12-01,203.900
1995-01-01,.
1995-02-01,206.200
1995-03-01,.
1995-04-01,208.800
1995-05-01,.
1995-06-01,209.800
1995-07-01,.
1995-08-01,209.900
1995-09-01,.
1995-10-01,210.000
1995-11-01,.
1995-12-01,212.800
1996-01-01,.
1996-02-01,216.400
1996-03-01,.
1996-04-01,214.700
1996-05-01,.
1996-06-01,213.800
1996-07-01,.
1996-08-01,213.100
1996-09-01,.
1996-10-01,212.200
1996-11-01,.
1996-12-01,211.700
1997-01-01,.
1997-02-01,213.900
1997-03-01,.
1997-04-01,213.500
1997-05-01,.
1997-06-01,213.700
1997-07-01,.
1997-08-01,213.700
1997-09-01,.
1997-10-01,214.800
1997-11-01,.
1997-12-01,216.100
1998-01-01,.
1998-02-01,217.400
1998-03-01,.
1998-04-01,222.100
1998-05-01,.
1998-06-01,235.900
1998-07-01,.
1998-08-01,236.500
1998-09-01,.
1998-10-01,236.700
1998-11-01,.
1998-12-01,241.400
1999-01-01,.
1999-02-01,243.300
1999-03-01,.
1999-04-01,244.900
1999-05-01,.
