DATE,CUURA421SAM
1990-01-01,157.000
1990-02-01,158.200
1990-03-01,159.000
1990-04-01,160.000
1990-05-01,160.800
1990-06-01,161.700
1990-07-01,163.600
1990-08-01,164.000
1990-09-01,165.900
1990-10-01,168.500
1990-11-01,170.100
1990-12-01,170.400
1991-01-01,172.900
1991-02-01,172.900
1991-03-01,174.700
1991-04-01,174.900
1991-05-01,176.100
1991-06-01,177.600
1991-07-01,180.100
1991-08-01,179.900
1991-09-01,180.400
1991-10-01,181.000
1991-11-01,183.400
1991-12-01,184.200
1992-01-01,186.500
1992-02-01,187.800
1992-03-01,188.700
1992-04-01,189.500
1992-05-01,190.800
1992-06-01,191.900
1992-07-01,193.500
1992-08-01,193.900
1992-09-01,194.600
1992-10-01,197.000
1992-11-01,196.700
1992-12-01,197.900
1993-01-01,199.000
1993-02-01,202.300
1993-03-01,201.900
1993-04-01,202.600
1993-05-01,207.200
1993-06-01,207.000
1993-07-01,207.300
1993-08-01,207.800
1993-09-01,208.800
1993-10-01,211.300
1993-11-01,211.400
1993-12-01,212.000
1994-01-01,212.700
1994-02-01,213.300
1994-03-01,213.400
1994-04-01,214.000
1994-05-01,214.200
1994-06-01,214.400
1994-07-01,215.700
1994-08-01,216.000
1994-09-01,216.200
1994-10-01,216.500
1994-11-01,217.600
1994-12-01,217.800
1995-01-01,219.100
1995-02-01,219.600
1995-03-01,220.700
1995-04-01,220.400
1995-05-01,220.900
1995-06-01,222.100
1995-07-01,221.800
1995-08-01,222.300
1995-09-01,222.300
1995-10-01,223.500
1995-11-01,224.100
1995-12-01,224.200
1996-01-01,226.300
1996-02-01,226.500
1996-03-01,227.700
1996-04-01,228.800
1996-05-01,228.900
1996-06-01,229.300
1996-07-01,229.500
1996-08-01,229.300
1996-09-01,229.400
1996-10-01,229.900
1996-11-01,230.100
1996-12-01,230.500
1997-01-01,231.700
1997-02-01,231.800
1997-03-01,231.900
1997-04-01,231.500
1997-05-01,231.200
