DATE,CUURA320SAM
1990-01-01,143.300
1990-02-01,.
1990-03-01,145.000
1990-04-01,.
1990-05-01,150.100
1990-06-01,.
1990-07-01,153.500
1990-08-01,.
1990-09-01,156.400
1990-10-01,.
1990-11-01,158.300
1990-12-01,.
1991-01-01,159.700
1991-02-01,.
1991-03-01,160.400
1991-04-01,.
1991-05-01,161.800
1991-06-01,.
1991-07-01,163.100
1991-08-01,.
1991-09-01,162.900
1991-10-01,.
1991-11-01,166.700
1991-12-01,.
1992-01-01,169.600
1992-02-01,.
1992-03-01,171.000
1992-04-01,.
1992-05-01,171.700
1992-06-01,.
1992-07-01,171.200
1992-08-01,.
1992-09-01,171.300
1992-10-01,.
1992-11-01,176.400
1992-12-01,.
1993-01-01,179.200
1993-02-01,.
1993-03-01,180.100
1993-04-01,.
1993-05-01,182.000
1993-06-01,.
1993-07-01,183.100
1993-08-01,.
1993-09-01,183.100
1993-10-01,.
1993-11-01,182.700
1993-12-01,.
1994-01-01,184.700
1994-02-01,.
1994-03-01,185.200
1994-04-01,.
1994-05-01,187.000
1994-06-01,.
1994-07-01,186.400
1994-08-01,.
1994-09-01,190.700
1994-10-01,.
1994-11-01,191.600
1994-12-01,.
1995-01-01,196.600
1995-02-01,.
1995-03-01,200.100
1995-04-01,.
1995-05-01,201.700
1995-06-01,.
1995-07-01,204.300
1995-08-01,.
1995-09-01,204.900
1995-10-01,.
1995-11-01,206.200
1995-12-01,.
1996-01-01,212.800
1996-02-01,.
1996-03-01,213.600
1996-04-01,.
1996-05-01,214.900
1996-06-01,.
1996-07-01,214.600
1996-08-01,.
1996-09-01,216.300
1996-10-01,.
1996-11-01,214.000
1996-12-01,.
1997-01-01,215.100
1997-02-01,.
1997-03-01,219.100
1997-04-01,.
1997-05-01,219.600
1997-06-01,.
1997-07-01,220.100
1997-08-01,.
1997-09-01,219.600
1997-10-01,.
1997-11-01,220.500
1997-12-01,220.700
1998-01-01,.
1998-02-01,225.100
1998-03-01,.
1998-04-01,225.400
1998-05-01,.
1998-06-01,226.000
1998-07-01,.
1998-08-01,228.900
1998-09-01,.
1998-10-01,230.300
1998-11-01,.
1998-12-01,230.700
1999-01-01,.
1999-02-01,230.100
1999-03-01,.
1999-04-01,230.800
1999-05-01,.
1999-06-01,231.000
1999-07-01,.
1999-08-01,232.000
1999-09-01,.
1999-10-01,232.300
1999-11-01,.
1999-12-01,232.300
2000-01-01,.
2000-02-01,236.000
2000-03-01,.
2000-04-01,236.700
2000-05-01,.
2000-06-01,243.800
2000-07-01,.
2000-08-01,244.000
2000-09-01,.
2000-10-01,244.600
2000-11-01,.
2000-12-01,245.500
2001-01-01,.
2001-02-01,249.000
2001-03-01,.
2001-04-01,249.200
2001-05-01,.
2001-06-01,251.300
2001-07-01,.
2001-08-01,252.400
2001-09-01,.
2001-10-01,261.600
2001-11-01,.
2001-12-01,260.100
2002-01-01,.
2002-02-01,261.000
2002-03-01,.
2002-04-01,262.300
2002-05-01,.
2002-06-01,262.800
2002-07-01,.
2002-08-01,263.500
2002-09-01,.
2002-10-01,263.300
2002-11-01,.
2002-12-01,270.400
2003-01-01,.
2003-02-01,272.300
2003-03-01,.
2003-04-01,273.700
2003-05-01,.
2003-06-01,283.100
2003-07-01,.
2003-08-01,283.300
2003-09-01,.
2003-10-01,291.200
2003-11-01,.
2003-12-01,288.400
2004-01-01,.
2004-02-01,291.000
2004-03-01,.
2004-04-01,294.000
2004-05-01,.
2004-06-01,295.700
2004-07-01,.
2004-08-01,295.500
2004-09-01,.
2004-10-01,298.000
2004-11-01,.
2004-12-01,298.400
2005-01-01,.
2005-02-01,306.000
2005-03-01,.
2005-04-01,309.000
2005-05-01,.
2005-06-01,309.200
2005-07-01,.
2005-08-01,310.600
2005-09-01,.
2005-10-01,318.600
2005-11-01,.
2005-12-01,319.800
2006-01-01,.
2006-02-01,323.100
2006-03-01,.
2006-04-01,324.900
2006-05-01,.
2006-06-01,325.700
2006-07-01,.
2006-08-01,326.600
2006-09-01,.
2006-10-01,330.500
2006-11-01,.
2006-12-01,322.500
2007-01-01,.
2007-02-01,327.081
2007-03-01,.
2007-04-01,329.654
2007-05-01,.
2007-06-01,328.512
2007-07-01,.
2007-08-01,327.568
2007-09-01,.
2007-10-01,335.097
2007-11-01,.
2007-12-01,339.333
2008-01-01,.
2008-02-01,340.402
2008-03-01,.
2008-04-01,342.803
2008-05-01,.
2008-06-01,344.430
2008-07-01,.
2008-08-01,356.383
2008-09-01,.
2008-10-01,357.363
2008-11-01,.
2008-12-01,358.319
2009-01-01,.
2009-02-01,358.626
2009-03-01,.
2009-04-01,361.560
2009-05-01,.
2009-06-01,361.728
2009-07-01,.
2009-08-01,362.802
2009-09-01,.
2009-10-01,364.651
2009-11-01,.
2009-12-01,365.493
2010-01-01,.
2010-02-01,369.874
2010-03-01,.
2010-04-01,370.111
2010-05-01,.
2010-06-01,373.396
2010-07-01,.
2010-08-01,373.768
2010-09-01,.
2010-10-01,376.093
2010-11-01,.
2010-12-01,374.555
2011-01-01,.
2011-02-01,376.111
2011-03-01,.
2011-04-01,388.277
2011-05-01,.
2011-06-01,391.568
2011-07-01,.
2011-08-01,391.509
2011-09-01,.
2011-10-01,393.665
2011-11-01,.
2011-12-01,391.377
2012-01-01,.
2012-02-01,399.146
2012-03-01,.
2012-04-01,401.908
2012-05-01,.
2012-06-01,410.481
2012-07-01,.
2012-08-01,404.925
2012-09-01,.
2012-10-01,405.460
2012-11-01,.
2012-12-01,408.589
2013-01-01,.
2013-02-01,417.224
2013-03-01,.
2013-04-01,410.391
2013-05-01,.
2013-06-01,413.715
2013-07-01,.
2013-08-01,420.764
2013-09-01,.
2013-10-01,428.457
2013-11-01,.
2013-12-01,423.323
2014-01-01,.
2014-02-01,430.768
2014-03-01,.
2014-04-01,432.064
2014-05-01,.
2014-06-01,430.505
2014-07-01,.
2014-08-01,430.966
2014-09-01,.
2014-10-01,432.928
2014-11-01,.
2014-12-01,434.049
2015-01-01,.
2015-02-01,439.750
2015-03-01,.
2015-04-01,441.767
2015-05-01,.
2015-06-01,455.954
2015-07-01,.
2015-08-01,457.358
2015-09-01,.
2015-10-01,460.337
2015-11-01,.
2015-12-01,462.139
2016-01-01,.
2016-02-01,460.469
2016-03-01,.
2016-04-01,459.882
2016-05-01,.
2016-06-01,467.806
2016-07-01,.
2016-08-01,475.023
2016-09-01,.
2016-10-01,464.399
2016-11-01,.
2016-12-01,504.656
2017-01-01,.
2017-02-01,506.738
2017-03-01,.
2017-04-01,508.244
2017-05-01,.
2017-06-01,504.024
2017-07-01,.
2017-08-01,501.740
2017-09-01,.
2017-10-01,505.431
2017-11-01,.
2017-12-01,506.044
2018-01-01,.
2018-02-01,568.048
2018-03-01,.
2018-04-01,558.838
2018-05-01,.
2018-06-01,558.458
2018-07-01,.
2018-08-01,555.906
2018-09-01,.
2018-10-01,557.714
2018-11-01,.
2018-12-01,551.537
2019-01-01,.
2019-02-01,552.978
2019-03-01,.
2019-04-01,554.785
2019-05-01,.
2019-06-01,560.799
2019-07-01,.
2019-08-01,563.843
2019-09-01,.
2019-10-01,566.276
2019-11-01,.
2019-12-01,570.315
2020-01-01,.
2020-02-01,573.166
2020-03-01,.
2020-04-01,580.389
2020-05-01,.
2020-06-01,580.613
2020-07-01,.
2020-08-01,586.074
2020-09-01,.
2020-10-01,578.907
2020-11-01,.
2020-12-01,573.943
2021-01-01,.
2021-02-01,586.668
2021-03-01,.
2021-04-01,585.347
2021-05-01,.
2021-06-01,579.432
2021-07-01,.
2021-08-01,587.054
2021-09-01,.
2021-10-01,588.759
2021-11-01,.
2021-12-01,591.075
2022-01-01,.
2022-02-01,594.555
2022-03-01,.
2022-04-01,594.318
