Series ID,Year,Period,Label,Value
CUUSS24ASAM,1990,S01,1990 Half1,160.1
CUUSS24ASAM,1990,S02,1990 Half2,162.9
CUUSS24ASAM,1991,S01,1991 Half1,171.2
CUUSS24ASAM,1991,S02,1991 Half2,172.4
CUUSS24ASAM,1992,S01,1992 Half1,181.2
CUUSS24ASAM,1992,S02,1992 Half2,183.7
CUUSS24ASAM,1993,S01,1993 Half1,192.3
CUUSS24ASAM,1993,S02,1993 Half2,195.2
CUUSS24ASAM,1994,S01,1994 Half1,203.5
CUUSS24ASAM,1994,S02,1994 Half2,207.3
CUUSS24ASAM,1995,S01,1995 Half1,207.8
CUUSS24ASAM,1995,S02,1995 Half2,211.9
CUUSS24ASAM,1996,S01,1996 Half1,214.7
CUUSS24ASAM,1996,S02,1996 Half2,216.3
CUUSS24ASAM,1997,S01,1997 Half1,217.2
CUUSS24ASAM,1997,S02,1997 Half2,220.4
CUUSS24ASAM,1998,S01,1998 Half1,226.1
CUUSS24ASAM,1998,S02,1998 Half2,233.2
CUUSS24ASAM,1999,S01,1999 Half1,240.6
CUUSS24ASAM,1999,S02,1999 Half2,241.7
CUUSS24ASAM,2000,S01,2000 Half1,247.6
CUUSS24ASAM,2000,S02,2000 Half2,251.8
CUUSS24ASAM,2001,S01,2001 Half1,264.8
CUUSS24ASAM,2001,S02,2001 Half2,267.1
CUUSS24ASAM,2002,S01,2002 Half1,278.4
CUUSS24ASAM,2002,S02,2002 Half2,281.8
CUUSS24ASAM,2003,S01,2003 Half1,289.3
CUUSS24ASAM,2003,S02,2003 Half2,295.3
CUUSS24ASAM,2004,S01,2004 Half1,304.5
CUUSS24ASAM,2004,S02,2004 Half2,309.0
CUUSS24ASAM,2005,S01,2005 Half1,320.9
CUUSS24ASAM,2005,S02,2005 Half2,326.6
CUUSS24ASAM,2006,S01,2006 Half1,335.9
CUUSS24ASAM,2006,S02,2006 Half2,347.0
CUUSS24ASAM,2007,S01,2007 Half1,362.772
CUUSS24ASAM,2007,S02,2007 Half2,370.697
CUUSS24ASAM,2008,S01,2008 Half1,379.225
CUUSS24ASAM,2008,S02,2008 Half2,389.714
CUUSS24ASAM,2009,S01,2009 Half1,402.858
CUUSS24ASAM,2009,S02,2009 Half2,408.383
CUUSS24ASAM,2010,S01,2010 Half1,416.180
CUUSS24ASAM,2010,S02,2010 Half2,418.536
CUUSS24ASAM,2011,S02,2011 Half2,429.631
CUUSS24ASAM,2012,S01,2012 Half1,445.013
CUUSS24ASAM,2012,S02,2012 Half2,449.053
CUUSS24ASAM,2013,S01,2013 Half1,460.009
CUUSS24ASAM,2013,S02,2013 Half2,471.287
CUUSS24ASAM,2014,S01,2014 Half1,478.323
CUUSS24ASAM,2014,S02,2014 Half2,481.873
CUUSS24ASAM,2015,S01,2015 Half1,492.003
CUUSS24ASAM,2015,S02,2015 Half2,495.139
CUUSS24ASAM,2016,S01,2016 Half1,510.252
CUUSS24ASAM,2016,S02,2016 Half2,525.091
CUUSS24ASAM,2017,S01,2017 Half1,525.841
CUUSS24ASAM,2017,S02,2017 Half2,527.468
CUUSS24ASAM,2018,S01,2018 Half1,530.042
CUUSS24ASAM,2018,S02,2018 Half2,540.446
CUUSS24ASAM,2019,S01,2019 Half1,553.571
CUUSS24ASAM,2019,S02,2019 Half2,566.442
CUUSS24ASAM,2020,S01,2020 Half1,572.135
CUUSS24ASAM,2020,S02,2020 Half2,585.279
CUUSS24ASAM,2021,S01,2021 Half1,598.809
CUUSS24ASAM,2021,S02,2021 Half2,602.305
