DATE,CUURA101SAM
1990-01-01,163.900
1990-02-01,166.700
1990-03-01,169.200
1990-04-01,170.100
1990-05-01,170.500
1990-06-01,171.400
1990-07-01,171.800
1990-08-01,175.100
1990-09-01,175.900
1990-10-01,177.500
1990-11-01,178.000
1990-12-01,178.700
1991-01-01,180.800
1991-02-01,182.800
1991-03-01,183.900
1991-04-01,184.200
1991-05-01,183.900
1991-06-01,185.300
1991-07-01,187.200
1991-08-01,188.700
1991-09-01,189.300
1991-10-01,189.600
1991-11-01,191.000
1991-12-01,192.000
1992-01-01,195.100
1992-02-01,196.400
1992-03-01,197.700
1992-04-01,198.400
1992-05-01,199.100
1992-06-01,200.000
1992-07-01,201.200
1992-08-01,200.800
1992-09-01,201.900
1992-10-01,202.800
1992-11-01,203.100
1992-12-01,203.300
1993-01-01,205.100
1993-02-01,205.500
1993-03-01,206.600
1993-04-01,207.900
1993-05-01,208.900
1993-06-01,208.900
1993-07-01,209.500
1993-08-01,210.700
1993-09-01,211.000
1993-10-01,211.300
1993-11-01,211.400
1993-12-01,212.000
1994-01-01,213.500
1994-02-01,214.200
1994-03-01,215.100
1994-04-01,215.800
1994-05-01,216.500
1994-06-01,217.700
1994-07-01,218.200
1994-08-01,218.700
1994-09-01,218.600
1994-10-01,220.600
1994-11-01,220.600
1994-12-01,221.700
1995-01-01,223.200
1995-02-01,225.100
1995-03-01,225.300
1995-04-01,225.600
1995-05-01,226.000
1995-06-01,226.000
1995-07-01,226.200
1995-08-01,227.400
1995-09-01,228.000
1995-10-01,229.500
1995-11-01,229.600
1995-12-01,230.000
1996-01-01,231.100
1996-02-01,231.600
1996-03-01,232.600
1996-04-01,232.800
1996-05-01,234.100
1996-06-01,234.000
1996-07-01,235.000
1996-08-01,237.400
1996-09-01,237.600
1996-10-01,239.200
1996-11-01,239.600
1996-12-01,239.300
1997-01-01,242.600
1997-02-01,243.100
1997-03-01,243.600
1997-04-01,243.400
1997-05-01,243.500
1997-06-01,244.100
1997-07-01,244.400
1997-08-01,244.700
1997-09-01,245.400
1997-10-01,246.100
1997-11-01,246.500
1997-12-01,246.900
1998-01-01,249.200
1998-02-01,250.600
1998-03-01,250.900
1998-04-01,254.900
1998-05-01,255.000
1998-06-01,254.900
1998-07-01,254.900
1998-08-01,256.900
1998-09-01,257.700
1998-10-01,258.100
1998-11-01,257.500
1998-12-01,258.800
1999-01-01,262.800
1999-02-01,262.600
1999-03-01,263.700
1999-04-01,263.900
1999-05-01,264.000
1999-06-01,264.900
1999-07-01,265.800
1999-08-01,266.300
1999-09-01,266.600
1999-10-01,266.800
1999-11-01,267.300
1999-12-01,268.300
2000-01-01,269.500
2000-02-01,271.300
2000-03-01,272.400
2000-04-01,272.700
2000-05-01,274.200
2000-06-01,275.400
2000-07-01,275.700
2000-08-01,276.000
2000-09-01,276.900
2000-10-01,278.200
2000-11-01,279.100
2000-12-01,279.600
2001-01-01,281.000
2001-02-01,283.500
2001-03-01,283.800
2001-04-01,286.100
2001-05-01,287.400
2001-06-01,288.200
2001-07-01,288.200
2001-08-01,289.000
2001-09-01,288.800
2001-10-01,289.600
2001-11-01,289.600
2001-12-01,290.000
2002-01-01,294.000
2002-02-01,296.400
2002-03-01,296.900
2002-04-01,298.200
2002-05-01,298.700
2002-06-01,299.200
2002-07-01,301.400
2002-08-01,301.300
2002-09-01,301.800
2002-10-01,301.800
2002-11-01,303.500
2002-12-01,303.600
2003-01-01,305.400
2003-02-01,305.000
2003-03-01,303.300
2003-04-01,305.800
2003-05-01,307.400
2003-06-01,308.400
2003-07-01,310.700
2003-08-01,309.900
2003-09-01,311.000
2003-10-01,309.600
2003-11-01,310.900
2003-12-01,313.000
2004-01-01,313.100
2004-02-01,314.500
2004-03-01,317.200
2004-04-01,317.100
2004-05-01,317.200
2004-06-01,318.100
2004-07-01,319.900
2004-08-01,319.200
2004-09-01,319.700
2004-10-01,320.900
2004-11-01,320.800
2004-12-01,322.200
2005-01-01,324.200
2005-02-01,325.000
2005-03-01,326.200
2005-04-01,325.900
2005-05-01,325.900
2005-06-01,327.400
2005-07-01,327.700
2005-08-01,327.600
2005-09-01,329.200
2005-10-01,330.300
2005-11-01,331.400
2005-12-01,332.800
2006-01-01,333.000
2006-02-01,336.900
2006-03-01,338.600
2006-04-01,339.900
2006-05-01,340.500
2006-06-01,341.200
2006-07-01,342.100
2006-08-01,343.100
2006-09-01,343.000
2006-10-01,344.300
2006-11-01,344.400
2006-12-01,345.000
2007-01-01,350.560
2007-02-01,354.380
2007-03-01,357.692
2007-04-01,359.256
2007-05-01,359.861
2007-06-01,359.810
2007-07-01,361.982
2007-08-01,362.329
2007-09-01,362.346
2007-10-01,363.141
2007-11-01,363.174
2007-12-01,363.978
2008-01-01,368.031
2008-02-01,366.619
2008-03-01,366.596
2008-04-01,365.956
2008-05-01,369.871
2008-06-01,368.419
2008-07-01,369.528
2008-08-01,369.816
2008-09-01,368.930
2008-10-01,367.629
2008-11-01,367.298
2008-12-01,367.657
2009-01-01,369.972
2009-02-01,371.722
2009-03-01,370.132
2009-04-01,369.630
2009-05-01,369.782
2009-06-01,370.231
2009-07-01,369.953
2009-08-01,370.817
2009-09-01,372.519
2009-10-01,374.115
2009-11-01,373.340
2009-12-01,371.910
2010-01-01,376.695
2010-02-01,378.015
2010-03-01,380.518
2010-04-01,381.018
2010-05-01,380.781
2010-06-01,380.333
2010-07-01,380.832
2010-08-01,380.956
2010-09-01,381.757
2010-10-01,382.141
2010-11-01,382.937
2010-12-01,384.098
2011-01-01,386.635
2011-02-01,388.192
2011-03-01,390.308
2011-04-01,391.303
2011-05-01,391.113
2011-06-01,391.602
2011-07-01,391.951
2011-08-01,393.550
2011-09-01,395.266
2011-10-01,395.287
2011-11-01,396.753
2011-12-01,399.502
2012-01-01,407.792
2012-02-01,408.337
2012-03-01,409.317
2012-04-01,410.020
2012-05-01,412.765
2012-06-01,412.349
2012-07-01,413.555
2012-08-01,414.055
2012-09-01,414.170
2012-10-01,413.925
2012-11-01,415.741
2012-12-01,414.838
2013-01-01,417.173
2013-02-01,423.298
2013-03-01,423.763
2013-04-01,424.875
2013-05-01,424.325
2013-06-01,426.585
2013-07-01,426.445
2013-08-01,427.025
2013-09-01,429.941
2013-10-01,426.844
2013-11-01,426.429
2013-12-01,427.350
2014-01-01,428.633
2014-02-01,431.317
2014-03-01,433.186
2014-04-01,433.955
2014-05-01,437.850
2014-06-01,438.738
2014-07-01,439.665
2014-08-01,438.499
2014-09-01,439.646
2014-10-01,438.668
2014-11-01,440.672
2014-12-01,442.695
2015-01-01,445.916
2015-02-01,447.319
2015-03-01,449.783
2015-04-01,450.538
2015-05-01,450.812
2015-06-01,444.312
2015-07-01,445.132
2015-08-01,447.186
2015-09-01,445.282
2015-10-01,452.809
2015-11-01,448.440
2015-12-01,445.724
2016-01-01,451.773
2016-02-01,457.224
2016-03-01,457.077
2016-04-01,458.620
2016-05-01,461.408
2016-06-01,463.213
2016-07-01,468.743
2016-08-01,469.394
2016-09-01,471.327
2016-10-01,470.983
2016-11-01,470.574
2016-12-01,470.698
2017-01-01,474.449
2017-02-01,474.262
2017-03-01,476.228
2017-04-01,471.473
2017-05-01,474.273
2017-06-01,475.291
2017-07-01,476.764
2017-08-01,476.319
2017-09-01,476.539
2017-10-01,479.874
2017-11-01,480.607
2017-12-01,481.152
2018-01-01,483.364
2018-02-01,484.758
2018-03-01,485.756
2018-04-01,486.757
2018-05-01,484.483
2018-06-01,485.040
2018-07-01,484.915
2018-08-01,484.875
2018-09-01,491.881
2018-10-01,494.226
2018-11-01,496.557
2018-12-01,497.055
2019-01-01,501.396
2019-02-01,501.561
2019-03-01,504.067
2019-04-01,504.551
2019-05-01,505.462
2019-06-01,510.146
2019-07-01,515.152
2019-08-01,516.142
2019-09-01,517.365
2019-10-01,518.374
2019-11-01,518.443
2019-12-01,519.528
2020-01-01,523.628
2020-02-01,529.911
2020-03-01,530.628
2020-04-01,531.356
2020-05-01,531.938
2020-06-01,536.188
2020-07-01,539.187
2020-08-01,539.804
2020-09-01,536.138
2020-10-01,535.668
2020-11-01,534.456
2020-12-01,536.246
2021-01-01,534.632
2021-02-01,535.385
2021-03-01,534.617
2021-04-01,536.584
2021-05-01,537.225
2021-06-01,534.576
2021-07-01,537.661
2021-08-01,537.734
2021-09-01,538.034
2021-10-01,537.642
2021-11-01,540.729
2021-12-01,542.646
2022-01-01,552.105
2022-02-01,552.255
2022-03-01,555.768
2022-04-01,561.104
