Series ID,Year,Period,Label,Value
CUUSS48ASAM,2002,S01,2002 Half1,101.2
CUUSS48ASAM,2002,S02,2002 Half2,101.8
CUUSS48ASAM,2003,S01,2003 Half1,106.5
CUUSS48ASAM,2003,S02,2003 Half2,109.3
CUUSS48ASAM,2004,S01,2004 Half1,112.6
CUUSS48ASAM,2004,S02,2004 Half2,113.7
CUUSS48ASAM,2005,S01,2005 Half1,119.7
CUUSS48ASAM,2005,S02,2005 Half2,121.1
CUUSS48ASAM,2006,S01,2006 Half1,122.0
CUUSS48ASAM,2006,S02,2006 Half2,123.7
CUUSS48ASAM,2007,S01,2007 Half1,124.971
CUUSS48ASAM,2007,S02,2007 Half2,127.579
CUUSS48ASAM,2008,S01,2008 Half1,131.209
CUUSS48ASAM,2008,S02,2008 Half2,132.903
CUUSS48ASAM,2009,S01,2009 Half1,138.047
CUUSS48ASAM,2009,S02,2009 Half2,139.463
CUUSS48ASAM,2010,S01,2010 Half1,147.657
CUUSS48ASAM,2010,S02,2010 Half2,148.787
CUUSS48ASAM,2011,S01,2011 Half1,151.619
CUUSS48ASAM,2011,S02,2011 Half2,150.950
CUUSS48ASAM,2012,S01,2012 Half1,155.956
CUUSS48ASAM,2012,S02,2012 Half2,155.488
CUUSS48ASAM,2013,S01,2013 Half1,155.273
CUUSS48ASAM,2013,S02,2013 Half2,155.778
CUUSS48ASAM,2014,S01,2014 Half1,160.229
CUUSS48ASAM,2014,S02,2014 Half2,162.016
CUUSS48ASAM,2015,S01,2015 Half1,164.620
CUUSS48ASAM,2015,S02,2015 Half2,163.405
CUUSS48ASAM,2016,S01,2016 Half1,164.617
CUUSS48ASAM,2016,S02,2016 Half2,166.428
CUUSS48ASAM,2017,S01,2017 Half1,168.743
CUUSS48ASAM,2018,S02,2018 Half2,174.932
CUUSS48ASAM,2019,S01,2019 Half1,179.002
CUUSS48ASAM,2019,S02,2019 Half2,191.209
CUUSS48ASAM,2020,S01,2020 Half1,196.966
