Series ID,Year,Period,Label,Value
CUUSA425SAM,1990,S01,1990 Half1,152.0
CUUSA425SAM,1990,S02,1990 Half2,156.7
CUUSA425SAM,1991,S01,1991 Half1,163.5
CUUSA425SAM,1991,S02,1991 Half2,168.4
CUUSA425SAM,1992,S01,1992 Half1,174.5
CUUSA425SAM,1992,S02,1992 Half2,178.2
CUUSA425SAM,1993,S01,1993 Half1,184.8
CUUSA425SAM,1993,S02,1993 Half2,188.4
CUUSA425SAM,1994,S01,1994 Half1,190.8
CUUSA425SAM,1994,S02,1994 Half2,194.7
CUUSA425SAM,1995,S01,1995 Half1,195.9
CUUSA425SAM,1995,S02,1995 Half2,200.2
CUUSA425SAM,1996,S01,1996 Half1,210.2
CUUSA425SAM,1996,S02,1996 Half2,213.5
CUUSA425SAM,1997,S01,1997 Half1,216.6
CUUSA425SAM,1997,S02,1997 Half2,218.5
CUUSA425SAM,1998,S01,1998 Half1,222.0
CUUSA425SAM,1998,S02,1998 Half2,224.2
CUUSA425SAM,1999,S01,1999 Half1,227.4
CUUSA425SAM,1999,S02,1999 Half2,232.2
CUUSA425SAM,2000,S01,2000 Half1,241.0
CUUSA425SAM,2000,S02,2000 Half2,253.6
CUUSA425SAM,2001,S01,2001 Half1,266.9
CUUSA425SAM,2001,S02,2001 Half2,273.6
CUUSA425SAM,2002,S01,2002 Half1,278.0
CUUSA425SAM,2002,S02,2002 Half2,287.6
CUUSA425SAM,2003,S01,2003 Half1,292.7
CUUSA425SAM,2003,S02,2003 Half2,293.5
CUUSA425SAM,2004,S01,2004 Half1,301.0
CUUSA425SAM,2004,S02,2004 Half2,305.2
CUUSA425SAM,2005,S01,2005 Half1,316.3
CUUSA425SAM,2005,S02,2005 Half2,323.2
CUUSA425SAM,2006,S01,2006 Half1,331.3
CUUSA425SAM,2006,S02,2006 Half2,340.5
CUUSA425SAM,2007,S01,2007 Half1,371.779
CUUSA425SAM,2007,S02,2007 Half2,385.390
CUUSA425SAM,2008,S01,2008 Half1,395.546
CUUSA425SAM,2008,S02,2008 Half2,403.598
CUUSA425SAM,2009,S01,2009 Half1,424.582
CUUSA425SAM,2009,S02,2009 Half2,433.361
CUUSA425SAM,2010,S01,2010 Half1,436.455
CUUSA425SAM,2010,S02,2010 Half2,450.693
CUUSA425SAM,2011,S01,2011 Half1,455.402
CUUSA425SAM,2011,S02,2011 Half2,464.867
CUUSA425SAM,2012,S01,2012 Half1,472.131
CUUSA425SAM,2012,S02,2012 Half2,488.971
CUUSA425SAM,2013,S01,2013 Half1,490.044
CUUSA425SAM,2013,S02,2013 Half2,500.430
CUUSA425SAM,2014,S01,2014 Half1,504.334
CUUSA425SAM,2014,S02,2014 Half2,513.925
CUUSA425SAM,2015,S01,2015 Half1,529.893
CUUSA425SAM,2015,S02,2015 Half2,540.855
CUUSA425SAM,2016,S01,2016 Half1,536.015
CUUSA425SAM,2016,S02,2016 Half2,531.392
CUUSA425SAM,2017,S01,2017 Half1,548.762
CUUSA425SAM,2017,S02,2017 Half2,563.254
