DATE,CUURA423SAM
1997-12-01,227.100
1998-01-01,.
1998-02-01,230.400
1998-03-01,.
1998-04-01,231.800
1998-05-01,.
1998-06-01,231.300
1998-07-01,.
1998-08-01,233.900
1998-09-01,.
1998-10-01,234.800
1998-11-01,.
1998-12-01,236.000
1999-01-01,.
1999-02-01,238.700
1999-03-01,.
1999-04-01,238.600
1999-05-01,.
1999-06-01,239.600
1999-07-01,.
1999-08-01,242.200
1999-09-01,.
1999-10-01,242.000
1999-11-01,.
1999-12-01,242.100
2000-01-01,.
2000-02-01,244.900
2000-03-01,.
2000-04-01,242.800
2000-05-01,.
2000-06-01,247.400
2000-07-01,.
2000-08-01,248.700
2000-09-01,.
2000-10-01,248.500
2000-11-01,.
2000-12-01,249.200
2001-01-01,.
2001-02-01,253.300
2001-03-01,.
2001-04-01,255.400
2001-05-01,.
2001-06-01,255.900
2001-07-01,.
2001-08-01,259.800
2001-09-01,.
2001-10-01,260.200
2001-11-01,.
2001-12-01,263.100
2002-01-01,.
2002-02-01,265.300
2002-03-01,.
2002-04-01,269.400
2002-05-01,.
2002-06-01,270.400
2002-07-01,.
2002-08-01,270.800
2002-09-01,.
2002-10-01,274.400
2002-11-01,.
2002-12-01,273.700
2003-01-01,.
2003-02-01,276.000
2003-03-01,.
2003-04-01,284.900
2003-05-01,.
2003-06-01,283.700
2003-07-01,.
2003-08-01,284.000
2003-09-01,.
2003-10-01,283.000
2003-11-01,.
2003-12-01,283.300
2004-01-01,.
2004-02-01,288.400
2004-03-01,.
2004-04-01,289.600
2004-05-01,.
2004-06-01,295.100
2004-07-01,.
2004-08-01,296.200
2004-09-01,.
2004-10-01,296.600
2004-11-01,.
2004-12-01,296.500
2005-01-01,.
2005-02-01,300.700
2005-03-01,.
2005-04-01,302.700
2005-05-01,.
2005-06-01,304.200
2005-07-01,.
2005-08-01,298.000
2005-09-01,.
2005-10-01,310.100
2005-11-01,.
2005-12-01,315.600
2006-01-01,.
2006-02-01,310.600
2006-03-01,.
2006-04-01,311.500
2006-05-01,.
2006-06-01,315.100
2006-07-01,.
2006-08-01,314.900
2006-09-01,.
2006-10-01,316.100
2006-11-01,.
2006-12-01,315.500
2007-01-01,.
2007-02-01,321.326
2007-03-01,.
2007-04-01,324.357
2007-05-01,.
2007-06-01,330.493
2007-07-01,.
2007-08-01,332.991
2007-09-01,.
2007-10-01,335.916
2007-11-01,.
2007-12-01,336.949
2008-01-01,.
2008-02-01,342.324
2008-03-01,.
2008-04-01,334.022
2008-05-01,.
2008-06-01,330.192
2008-07-01,.
2008-08-01,336.777
2008-09-01,.
2008-10-01,336.026
2008-11-01,.
2008-12-01,335.173
2009-01-01,.
2009-02-01,341.494
2009-03-01,.
2009-04-01,343.534
2009-05-01,.
2009-06-01,343.226
2009-07-01,.
2009-08-01,341.871
2009-09-01,.
2009-10-01,345.747
2009-11-01,.
2009-12-01,345.112
2010-01-01,.
2010-02-01,360.329
2010-03-01,.
2010-04-01,348.981
2010-05-01,.
2010-06-01,347.179
2010-07-01,.
2010-08-01,346.787
2010-09-01,.
2010-10-01,346.391
2010-11-01,.
2010-12-01,.
2011-01-01,.
2011-02-01,.
2011-03-01,.
2011-04-01,.
2011-05-01,.
2011-06-01,355.578
2011-07-01,.
2011-08-01,352.153
2011-09-01,.
2011-10-01,364.532
2011-11-01,.
2011-12-01,.
2012-01-01,.
2012-02-01,370.405
2012-03-01,.
2012-04-01,370.860
2012-05-01,.
2012-06-01,372.800
2012-07-01,.
2012-08-01,378.648
2012-09-01,.
2012-10-01,379.990
2012-11-01,.
2012-12-01,374.151
2013-01-01,.
2013-02-01,373.812
2013-03-01,.
2013-04-01,373.063
2013-05-01,.
