DATE,CUURA422SAM
1990-01-01,155.200
1990-02-01,156.100
1990-03-01,158.300
1990-04-01,158.300
1990-05-01,158.300
1990-06-01,158.700
1990-07-01,161.300
1990-08-01,162.700
1990-09-01,163.100
1990-10-01,164.200
1990-11-01,164.800
1990-12-01,164.900
1991-01-01,166.600
1991-02-01,167.800
1991-03-01,168.700
1991-04-01,168.700
1991-05-01,169.000
1991-06-01,169.700
1991-07-01,173.200
1991-08-01,176.600
1991-09-01,177.900
1991-10-01,178.200
1991-11-01,178.900
1991-12-01,179.400
1992-01-01,180.100
1992-02-01,182.200
1992-03-01,183.100
1992-04-01,185.300
1992-05-01,185.200
1992-06-01,186.700
1992-07-01,188.500
1992-08-01,188.700
1992-09-01,190.300
1992-10-01,190.900
1992-11-01,191.200
1992-12-01,191.400
1993-01-01,193.100
1993-02-01,194.900
1993-03-01,194.700
1993-04-01,197.800
1993-05-01,197.800
1993-06-01,199.500
1993-07-01,201.400
1993-08-01,201.600
1993-09-01,201.200
1993-10-01,202.200
1993-11-01,202.000
1993-12-01,202.400
1994-01-01,202.400
1994-02-01,202.500
1994-03-01,203.100
1994-04-01,203.900
1994-05-01,203.500
1994-06-01,203.900
1994-07-01,203.300
1994-08-01,204.900
1994-09-01,205.700
1994-10-01,205.800
1994-11-01,206.300
1994-12-01,206.800
1995-01-01,209.000
1995-02-01,208.600
1995-03-01,209.200
1995-04-01,207.700
1995-05-01,207.700
1995-06-01,207.100
1995-07-01,208.800
1995-08-01,208.800
1995-09-01,209.900
1995-10-01,210.100
1995-11-01,210.600
1995-12-01,210.600
1996-01-01,212.400
1996-02-01,212.200
1996-03-01,213.300
1996-04-01,214.100
1996-05-01,213.200
1996-06-01,213.300
1996-07-01,214.200
1996-08-01,214.600
1996-09-01,214.300
1996-10-01,217.300
1996-11-01,217.200
1996-12-01,217.900
1997-01-01,218.300
1997-02-01,218.600
1997-03-01,219.300
1997-04-01,220.600
1997-05-01,222.200
1997-06-01,222.300
1997-07-01,222.300
1997-08-01,222.700
1997-09-01,221.800
1997-10-01,223.300
1997-11-01,224.600
1997-12-01,225.900
1998-01-01,.
1998-02-01,227.300
1998-03-01,.
1998-04-01,227.400
1998-05-01,.
1998-06-01,228.300
