Series ID,Year,Period,Label,Value
CUUSS35DSAM,1997,S02,1997 Half2,191.3
CUUSS35DSAM,1998,S01,1998 Half1,194.3
CUUSS35DSAM,1998,S02,1998 Half2,189.8
CUUSS35DSAM,1999,S01,1999 Half1,190.1
CUUSS35DSAM,1999,S02,1999 Half2,193.7
CUUSS35DSAM,2000,S01,2000 Half1,196.6
CUUSS35DSAM,2000,S02,2000 Half2,201.4
CUUSS35DSAM,2001,S01,2001 Half1,204.8
CUUSS35DSAM,2001,S02,2001 Half2,207.4
CUUSS35DSAM,2002,S01,2002 Half1,213.8
CUUSS35DSAM,2002,S02,2002 Half2,217.9
CUUSS35DSAM,2003,S01,2003 Half1,221.5
CUUSS35DSAM,2003,S02,2003 Half2,225.3
CUUSS35DSAM,2004,S01,2004 Half1,233.0
CUUSS35DSAM,2004,S02,2004 Half2,236.9
CUUSS35DSAM,2005,S01,2005 Half1,240.8
CUUSS35DSAM,2005,S02,2005 Half2,246.4
CUUSS35DSAM,2006,S01,2006 Half1,253.2
CUUSS35DSAM,2006,S02,2006 Half2,260.0
CUUSS35DSAM,2007,S01,2007 Half1,292.241
CUUSS35DSAM,2007,S02,2007 Half2,296.548
CUUSS35DSAM,2008,S01,2008 Half1,297.300
CUUSS35DSAM,2008,S02,2008 Half2,294.936
CUUSS35DSAM,2009,S01,2009 Half1,297.416
CUUSS35DSAM,2009,S02,2009 Half2,295.372
CUUSS35DSAM,2010,S01,2010 Half1,298.134
CUUSS35DSAM,2010,S02,2010 Half2,300.048
CUUSS35DSAM,2011,S01,2011 Half1,305.894
CUUSS35DSAM,2011,S02,2011 Half2,310.897
CUUSS35DSAM,2012,S01,2012 Half1,321.420
CUUSS35DSAM,2012,S02,2012 Half2,326.959
CUUSS35DSAM,2013,S01,2013 Half1,336.586
CUUSS35DSAM,2013,S02,2013 Half2,341.028
CUUSS35DSAM,2014,S01,2014 Half1,355.382
CUUSS35DSAM,2014,S02,2014 Half2,358.484
CUUSS35DSAM,2015,S01,2015 Half1,363.366
CUUSS35DSAM,2015,S02,2015 Half2,370.869
CUUSS35DSAM,2016,S01,2016 Half1,373.163
CUUSS35DSAM,2017,S01,2017 Half1,409.086
CUUSS35DSAM,2017,S02,2017 Half2,401.388
CUUSS35DSAM,2018,S01,2018 Half1,389.658
CUUSS35DSAM,2018,S02,2018 Half2,388.890
CUUSS35DSAM,2019,S01,2019 Half1,391.837
CUUSS35DSAM,2019,S02,2019 Half2,401.140
CUUSS35DSAM,2020,S01,2020 Half1,408.918
CUUSS35DSAM,2020,S02,2020 Half2,432.605
CUUSS35DSAM,2021,S01,2021 Half1,437.867
CUUSS35DSAM,2021,S02,2021 Half2,447.488
