Series ID,Year,Period,Label,Value
CUURS35CSETB,1997,M12,1997 Dec,87.9
CUURS35CSETB,1998,M01,1998 Jan,85.1
CUURS35CSETB,1998,M02,1998 Feb,81.6
CUURS35CSETB,1998,M03,1998 Mar,79.3
CUURS35CSETB,1998,M04,1998 Apr,80.1
CUURS35CSETB,1998,M05,1998 May,80.2
CUURS35CSETB,1998,M06,1998 Jun,81.2
CUURS35CSETB,1998,M07,1998 Jul,80.3
CUURS35CSETB,1998,M08,1998 Aug,78.8
CUURS35CSETB,1998,M09,1998 Sep,77.3
CUURS35CSETB,1998,M10,1998 Oct,79.5
CUURS35CSETB,1998,M11,1998 Nov,79.7
CUURS35CSETB,1998,M12,1998 Dec,77.6
CUURS35CSETB,1999,M01,1999 Jan,75.3
CUURS35CSETB,1999,M02,1999 Feb,73.6
CUURS35CSETB,1999,M03,1999 Mar,73.5
CUURS35CSETB,1999,M04,1999 Apr,85.9
CUURS35CSETB,1999,M05,1999 May,87.3
CUURS35CSETB,1999,M06,1999 Jun,86.2
CUURS35CSETB,1999,M07,1999 Jul,89.9
CUURS35CSETB,1999,M08,1999 Aug,95.9
CUURS35CSETB,1999,M09,1999 Sep,99.1
CUURS35CSETB,1999,M10,1999 Oct,100.6
CUURS35CSETB,1999,M11,1999 Nov,99.9
CUURS35CSETB,1999,M12,1999 Dec,103.6
CUURS35CSETB,2000,M01,2000 Jan,103.4
CUURS35CSETB,2000,M02,2000 Feb,109.4
CUURS35CSETB,2000,M03,2000 Mar,122.3
CUURS35CSETB,2000,M04,2000 Apr,120.4
CUURS35CSETB,2000,M05,2000 May,118.0
CUURS35CSETB,2000,M06,2000 Jun,127.3
CUURS35CSETB,2000,M07,2000 Jul,131.8
CUURS35CSETB,2000,M08,2000 Aug,123.0
CUURS35CSETB,2000,M09,2000 Sep,123.7
CUURS35CSETB,2000,M10,2000 Oct,125.7
CUURS35CSETB,2000,M11,2000 Nov,122.1
CUURS35CSETB,2000,M12,2000 Dec,118.0
CUURS35CSETB,2001,M01,2001 Jan,114.4
CUURS35CSETB,2001,M02,2001 Feb,118.2
CUURS35CSETB,2001,M03,2001 Mar,113.4
CUURS35CSETB,2001,M04,2001 Apr,119.0
CUURS35CSETB,2001,M05,2001 May,129.5
CUURS35CSETB,2001,M06,2001 Jun,126.8
CUURS35CSETB,2001,M07,2001 Jul,114.7
CUURS35CSETB,2001,M08,2001 Aug,109.5
CUURS35CSETB,2001,M09,2001 Sep,119.3
CUURS35CSETB,2001,M10,2001 Oct,111.1
CUURS35CSETB,2001,M11,2001 Nov,90.6
CUURS35CSETB,2001,M12,2001 Dec,82.9
CUURS35CSETB,2002,M01,2002 Jan,87.3
CUURS35CSETB,2002,M02,2002 Feb,88.3
CUURS35CSETB,2002,M03,2002 Mar,93.8
CUURS35CSETB,2002,M04,2002 Apr,112.9
CUURS35CSETB,2002,M05,2002 May,110.3
CUURS35CSETB,2002,M06,2002 Jun,110.4
CUURS35CSETB,2002,M07,2002 Jul,109.3
CUURS35CSETB,2002,M08,2002 Aug,112.6
CUURS35CSETB,2002,M09,2002 Sep,110.9
CUURS35CSETB,2002,M10,2002 Oct,115.0
CUURS35CSETB,2002,M11,2002 Nov,115.1
CUURS35CSETB,2002,M12,2002 Dec,105.9
CUURS35CSETB,2003,M01,2003 Jan,118.0
CUURS35CSETB,2003,M02,2003 Feb,128.4
CUURS35CSETB,2003,M03,2003 Mar,135.7
CUURS35CSETB,2003,M04,2003 Apr,127.0
CUURS35CSETB,2003,M05,2003 May,117.9
CUURS35CSETB,2003,M06,2003 Jun,118.5
CUURS35CSETB,2003,M07,2003 Jul,120.9
CUURS35CSETB,2003,M08,2003 Aug,128.7
CUURS35CSETB,2003,M09,2003 Sep,132.5
CUURS35CSETB,2003,M10,2003 Oct,119.2
CUURS35CSETB,2003,M11,2003 Nov,118.9
CUURS35CSETB,2003,M12,2003 Dec,117.4
CUURS35CSETB,2004,M01,2004 Jan,129.8
CUURS35CSETB,2004,M02,2004 Feb,137.1
CUURS35CSETB,2004,M03,2004 Mar,140.3
CUURS35CSETB,2004,M04,2004 Apr,147.4
CUURS35CSETB,2004,M05,2004 May,160.8
CUURS35CSETB,2004,M06,2004 Jun,165.0
CUURS35CSETB,2004,M07,2004 Jul,157.4
CUURS35CSETB,2004,M08,2004 Aug,155.8
CUURS35CSETB,2004,M09,2004 Sep,152.9
CUURS35CSETB,2004,M10,2004 Oct,165.5
CUURS35CSETB,2004,M11,2004 Nov,165.2
CUURS35CSETB,2004,M12,2004 Dec,155.2
CUURS35CSETB,2005,M01,2005 Jan,150.3
CUURS35CSETB,2005,M02,2005 Feb,159.1
CUURS35CSETB,2005,M03,2005 Mar,172.0
CUURS35CSETB,2005,M04,2005 Apr,187.6
CUURS35CSETB,2005,M05,2005 May,181.1
CUURS35CSETB,2005,M06,2005 Jun,181.6
CUURS35CSETB,2005,M07,2005 Jul,192.8
CUURS35CSETB,2005,M08,2005 Aug,205.9
CUURS35CSETB,2005,M09,2005 Sep,249.6
CUURS35CSETB,2005,M10,2005 Oct,255.0
CUURS35CSETB,2005,M11,2005 Nov,199.2
CUURS35CSETB,2005,M12,2005 Dec,177.1
CUURS35CSETB,2006,M01,2006 Jan,197.0
CUURS35CSETB,2006,M02,2006 Feb,195.4
CUURS35CSETB,2006,M03,2006 Mar,199.8
CUURS35CSETB,2006,M04,2006 Apr,233.4
CUURS35CSETB,2006,M05,2006 May,249.1
CUURS35CSETB,2006,M06,2006 Jun,248.9
CUURS35CSETB,2006,M07,2006 Jul,259.6
CUURS35CSETB,2006,M08,2006 Aug,257.3
CUURS35CSETB,2006,M09,2006 Sep,213.3
CUURS35CSETB,2006,M10,2006 Oct,183.2
CUURS35CSETB,2006,M11,2006 Nov,185.4
CUURS35CSETB,2006,M12,2006 Dec,196.0
CUURS35CSETB,2007,M01,2007 Jan,183.971
CUURS35CSETB,2007,M02,2007 Feb,184.605
CUURS35CSETB,2007,M03,2007 Mar,214.163
CUURS35CSETB,2007,M04,2007 Apr,236.647
CUURS35CSETB,2007,M05,2007 May,261.694
CUURS35CSETB,2007,M06,2007 Jun,259.821
CUURS35CSETB,2007,M07,2007 Jul,259.275
CUURS35CSETB,2007,M08,2007 Aug,242.057
CUURS35CSETB,2007,M09,2007 Sep,240.599
CUURS35CSETB,2007,M10,2007 Oct,241.561
CUURS35CSETB,2007,M11,2007 Nov,264.003
CUURS35CSETB,2007,M12,2007 Dec,259.781
CUURS35CSETB,2008,M01,2008 Jan,264.756
CUURS35CSETB,2008,M02,2008 Feb,264.173
CUURS35CSETB,2008,M03,2008 Mar,283.730
CUURS35CSETB,2008,M04,2008 Apr,299.477
CUURS35CSETB,2008,M05,2008 May,330.254
CUURS35CSETB,2008,M06,2008 Jun,354.485
CUURS35CSETB,2008,M07,2008 Jul,356.073
CUURS35CSETB,2008,M08,2008 Aug,331.121
CUURS35CSETB,2008,M09,2008 Sep,329.313
CUURS35CSETB,2008,M10,2008 Oct,282.051
CUURS35CSETB,2008,M11,2008 Nov,187.585
CUURS35CSETB,2008,M12,2008 Dec,150.396
CUURS35CSETB,2009,M01,2009 Jan,150.827
CUURS35CSETB,2009,M02,2009 Feb,163.648
CUURS35CSETB,2009,M03,2009 Mar,165.842
CUURS35CSETB,2009,M04,2009 Apr,174.474
CUURS35CSETB,2009,M05,2009 May,187.389
CUURS35CSETB,2009,M06,2009 Jun,219.720
CUURS35CSETB,2009,M07,2009 Jul,215.563
CUURS35CSETB,2009,M08,2009 Aug,218.577
CUURS35CSETB,2009,M09,2009 Sep,210.571
CUURS35CSETB,2009,M10,2009 Oct,210.616
CUURS35CSETB,2009,M11,2009 Nov,224.008
CUURS35CSETB,2009,M12,2009 Dec,221.109
CUURS35CSETB,2010,M01,2010 Jan,231.248
CUURS35CSETB,2010,M02,2010 Feb,224.203
CUURS35CSETB,2010,M03,2010 Mar,236.970
CUURS35CSETB,2010,M04,2010 Apr,241.856
CUURS35CSETB,2010,M05,2010 May,247.172
CUURS35CSETB,2010,M06,2010 Jun,232.205
CUURS35CSETB,2010,M07,2010 Jul,231.567
CUURS35CSETB,2010,M08,2010 Aug,232.406
CUURS35CSETB,2010,M09,2010 Sep,229.644
CUURS35CSETB,2010,M10,2010 Oct,235.870
CUURS35CSETB,2010,M11,2010 Nov,240.578
CUURS35CSETB,2010,M12,2010 Dec,253.506
CUURS35CSETB,2011,M01,2011 Jan,266.077
CUURS35CSETB,2011,M02,2011 Feb,270.608
CUURS35CSETB,2011,M03,2011 Mar,303.269
CUURS35CSETB,2011,M04,2011 Apr,323.635
CUURS35CSETB,2011,M05,2011 May,343.551
CUURS35CSETB,2011,M06,2011 Jun,318.682
CUURS35CSETB,2011,M07,2011 Jul,322.206
CUURS35CSETB,2011,M08,2011 Aug,319.765
CUURS35CSETB,2011,M09,2011 Sep,306.124
CUURS35CSETB,2011,M10,2011 Oct,293.327
CUURS35CSETB,2011,M11,2011 Nov,293.258
CUURS35CSETB,2011,M12,2011 Dec,280.934
CUURS35CSETB,2012,M01,2012 Jan,299.821
CUURS35CSETB,2012,M02,2012 Feb,313.076
CUURS35CSETB,2012,M03,2012 Mar,330.657
CUURS35CSETB,2012,M04,2012 Apr,336.075
CUURS35CSETB,2012,M05,2012 May,315.001
CUURS35CSETB,2012,M06,2012 Jun,291.794
CUURS35CSETB,2012,M07,2012 Jul,294.268
CUURS35CSETB,2012,M08,2012 Aug,321.060
CUURS35CSETB,2012,M09,2012 Sep,335.378
CUURS35CSETB,2012,M10,2012 Oct,314.952
CUURS35CSETB,2012,M11,2012 Nov,288.529
CUURS35CSETB,2012,M12,2012 Dec,283.137
CUURS35CSETB,2013,M01,2013 Jan,291.800
CUURS35CSETB,2013,M02,2013 Feb,319.479
CUURS35CSETB,2013,M03,2013 Mar,319.416
CUURS35CSETB,2013,M04,2013 Apr,302.070
CUURS35CSETB,2013,M05,2013 May,310.024
CUURS35CSETB,2013,M06,2013 Jun,309.110
CUURS35CSETB,2013,M07,2013 Jul,308.725
CUURS35CSETB,2013,M08,2013 Aug,310.118
CUURS35CSETB,2013,M09,2013 Sep,304.887
CUURS35CSETB,2013,M10,2013 Oct,296.729
CUURS35CSETB,2013,M11,2013 Nov,284.461
CUURS35CSETB,2013,M12,2013 Dec,282.865
