Series ID,Year,Period,Label,Value
CUUSS35CSETB,1991,S01,1991 Half1,87.5
CUUSS35CSETB,1991,S02,1991 Half2,86.7
CUUSS35CSETB,1992,S01,1992 Half1,83.7
CUUSS35CSETB,1992,S02,1992 Half2,87.5
CUUSS35CSETB,1993,S01,1993 Half1,85.3
CUUSS35CSETB,1993,S02,1993 Half2,86.4
CUUSS35CSETB,1994,S01,1994 Half1,81.2
CUUSS35CSETB,1994,S02,1994 Half2,89.6
CUUSS35CSETB,1995,S01,1995 Half1,89.9
CUUSS35CSETB,1995,S02,1995 Half2,89.0
CUUSS35CSETB,1996,S01,1996 Half1,93.3
CUUSS35CSETB,1996,S02,1996 Half2,98.1
CUUSS35CSETB,1997,S01,1997 Half1,93.7
CUUSS35CSETB,1997,S02,1997 Half2,92.5
