DATE,CUURA103SETB
1990-01-01,91.800
1990-02-01,93.000
1990-03-01,92.400
1990-04-01,91.400
1990-05-01,90.500
1990-06-01,90.600
1990-07-01,91.700
1990-08-01,104.600
1990-09-01,112.900
1990-10-01,121.600
1990-11-01,125.800
1990-12-01,122.800
1991-01-01,112.600
1991-02-01,102.600
1991-03-01,99.000
1991-04-01,102.800
1991-05-01,107.100
1991-06-01,109.500
1991-07-01,107.600
1991-08-01,106.700
1991-09-01,106.900
1991-10-01,105.600
1991-11-01,105.300
1991-12-01,105.500
1992-01-01,102.600
1992-02-01,98.600
1992-03-01,96.600
1992-04-01,94.400
1992-05-01,97.100
1992-06-01,101.700
1992-07-01,104.300
1992-08-01,103.200
1992-09-01,102.500
1992-10-01,102.500
1992-11-01,102.100
1992-12-01,102.000
1993-01-01,100.400
1993-02-01,99.300
1993-03-01,97.700
1993-04-01,96.600
1993-05-01,97.100
1993-06-01,97.900
1993-07-01,97.500
1993-08-01,96.500
1993-09-01,94.400
1993-10-01,97.000
1993-11-01,96.000
1993-12-01,94.700
1994-01-01,92.400
1994-02-01,92.500
1994-03-01,92.700
1994-04-01,92.900
1994-05-01,94.100
1994-06-01,97.200
1994-07-01,99.500
1994-08-01,103.200
1994-09-01,104.300
1994-10-01,102.100
1994-11-01,103.300
1994-12-01,101.300
1995-01-01,99.600
1995-02-01,98.900
1995-03-01,98.100
1995-04-01,98.000
1995-05-01,101.900
1995-06-01,105.200
1995-07-01,104.800
1995-08-01,102.800
1995-09-01,102.100
1995-10-01,100.900
1995-11-01,98.500
1995-12-01,97.600
1996-01-01,99.400
1996-02-01,98.900
1996-03-01,99.300
1996-04-01,104.100
1996-05-01,111.000
1996-06-01,111.200
1996-07-01,109.100
1996-08-01,107.200
1996-09-01,106.700
1996-10-01,106.500
1996-11-01,108.500
1996-12-01,112.100
1997-01-01,113.800
1997-02-01,112.500
1997-03-01,110.700
1997-04-01,108.400
1997-05-01,106.300
1997-06-01,106.000
1997-07-01,104.800
1997-08-01,108.200
1997-09-01,112.200
1997-10-01,110.200
1997-11-01,107.600
1997-12-01,106.300
1998-01-01,102.000
1998-02-01,98.700
1998-03-01,94.100
1998-04-01,92.100
1998-05-01,92.300
1998-06-01,92.400
1998-07-01,92.100
1998-08-01,90.800
1998-09-01,89.100
1998-10-01,90.000
1998-11-01,90.400
1998-12-01,88.700
1999-01-01,87.100
1999-02-01,84.900
1999-03-01,84.400
1999-04-01,92.100
1999-05-01,97.500
1999-06-01,97.700
1999-07-01,98.500
1999-08-01,104.000
1999-09-01,108.600
1999-10-01,112.200
1999-11-01,111.900
1999-12-01,114.400
2000-01-01,114.800
2000-02-01,118.200
2000-03-01,129.700
2000-04-01,129.900
2000-05-01,128.700
2000-06-01,139.300
2000-07-01,141.800
2000-08-01,138.900
2000-09-01,139.000
2000-10-01,137.000
2000-11-01,137.800
2000-12-01,135.300
2001-01-01,131.800
2001-02-01,129.800
2001-03-01,127.500
2001-04-01,130.300
2001-05-01,147.300
2001-06-01,149.300
2001-07-01,135.700
2001-08-01,126.300
2001-09-01,123.200
2001-10-01,115.800
2001-11-01,107.200
2001-12-01,98.200
2002-01-01,99.300
2002-02-01,100.200
2002-03-01,106.400
2002-04-01,119.200
2002-05-01,121.900
2002-06-01,120.500
2002-07-01,119.500
2002-08-01,123.100
2002-09-01,123.200
2002-10-01,123.700
2002-11-01,126.300
2002-12-01,126.300
2003-01-01,131.100
2003-02-01,141.900
2003-03-01,144.000
2003-04-01,139.100
2003-05-01,133.000
2003-06-01,130.100
2003-07-01,131.300
2003-08-01,136.000
2003-09-01,153.600
2003-10-01,145.300
2003-11-01,139.400
2003-12-01,135.000
2004-01-01,138.000
2004-02-01,144.300
2004-03-01,148.600
2004-04-01,149.800
2004-05-01,160.900
2004-06-01,178.900
2004-07-01,168.600
2004-08-01,164.400
2004-09-01,163.300
2004-10-01,168.300
2004-11-01,173.300
2004-12-01,167.100
2005-01-01,156.100
2005-02-01,164.200
2005-03-01,165.800
2005-04-01,185.600
2005-05-01,189.000
2005-06-01,182.400
2005-07-01,199.000
2005-08-01,206.100
2005-09-01,275.400
2005-10-01,235.700
2005-11-01,195.300
2005-12-01,179.600
2006-01-01,199.900
2006-02-01,200.800
2006-03-01,192.100
2006-04-01,223.900
2006-05-01,248.500
2006-06-01,253.000
2006-07-01,258.200
2006-08-01,260.800
2006-09-01,227.000
2006-10-01,190.700
2006-11-01,184.100
2006-12-01,195.100
2007-01-01,198.567
2007-02-01,185.354
2007-03-01,213.160
2007-04-01,229.492
2007-05-01,251.242
2007-06-01,257.429
2007-07-01,248.040
2007-08-01,236.630
2007-09-01,229.274
2007-10-01,230.094
2007-11-01,257.076
2007-12-01,258.428
2008-01-01,261.020
2008-02-01,257.950
2008-03-01,269.286
2008-04-01,286.063
2008-05-01,320.983
2008-06-01,347.709
2008-07-01,347.173
2008-08-01,319.597
2008-09-01,306.824
2008-10-01,254.843
2008-11-01,187.961
2008-12-01,149.501
2009-01-01,152.880
2009-02-01,164.068
2009-03-01,165.423
2009-04-01,172.342
2009-05-01,191.860
2009-06-01,220.829
2009-07-01,216.946
2009-08-01,224.783
2009-09-01,221.130
2009-10-01,217.256
2009-11-01,227.028
2009-12-01,223.674
2010-01-01,233.140
2010-02-01,228.819
2010-03-01,232.946
2010-04-01,239.677
2010-05-01,246.391
2010-06-01,234.723
2010-07-01,230.954
2010-08-01,231.161
2010-09-01,224.785
2010-10-01,238.982
2010-11-01,248.062
2010-12-01,259.576
2011-01-01,266.515
2011-02-01,271.969
2011-03-01,296.927
2011-04-01,321.557
2011-05-01,337.991
2011-06-01,321.965
2011-07-01,318.984
2011-08-01,316.221
2011-09-01,310.022
2011-10-01,296.518
2011-11-01,291.832
2011-12-01,280.976
2012-01-01,291.638
2012-02-01,307.631
2012-03-01,319.870
2012-04-01,332.162
2012-05-01,320.817
2012-06-01,298.540
2012-07-01,299.546
2012-08-01,316.788
2012-09-01,330.504
2012-10-01,329.459
2012-11-01,309.035
2012-12-01,295.001
2013-01-01,296.289
2013-02-01,318.269
2013-03-01,315.925
2013-04-01,302.614
2013-05-01,299.047
2013-06-01,302.215
2013-07-01,309.838
2013-08-01,314.243
2013-09-01,309.533
2013-10-01,290.876
2013-11-01,284.923
2013-12-01,294.574
2014-01-01,294.348
2014-02-01,292.268
2014-03-01,302.615
2014-04-01,305.150
2014-05-01,313.924
2014-06-01,313.781
2014-07-01,313.759
2014-08-01,300.821
2014-09-01,294.746
2014-10-01,278.453
2014-11-01,255.220
2014-12-01,235.814
2015-01-01,194.587
2015-02-01,191.189
2015-03-01,206.730
2015-04-01,204.333
2015-05-01,227.776
2015-06-01,233.878
2015-07-01,233.464
2015-08-01,219.652
2015-09-01,200.126
2015-10-01,187.666
2015-11-01,186.961
2015-12-01,179.752
2016-01-01,168.793
2016-02-01,154.517
2016-03-01,164.693
2016-04-01,184.770
2016-05-01,195.315
2016-06-01,198.769
2016-07-01,189.678
2016-08-01,184.535
2016-09-01,185.953
2016-10-01,190.087
2016-11-01,189.038
2016-12-01,194.247
2017-01-01,200.438
2017-02-01,196.581
2017-03-01,194.747
2017-04-01,202.829
2017-05-01,203.890
2017-06-01,198.133
2017-07-01,197.330
2017-08-01,205.422
2017-09-01,233.496
2017-10-01,224.772
2017-11-01,222.224
2017-12-01,219.018
2018-01-01,220.770
2018-02-01,224.284
2018-03-01,224.238
2018-04-01,236.133
2018-05-01,252.026
2018-06-01,254.713
2018-07-01,251.903
2018-08-01,250.744
2018-09-01,250.583
2018-10-01,248.129
2018-11-01,241.684
2018-12-01,229.707
2019-01-01,214.604
2019-02-01,209.853
2019-03-01,218.685
2019-04-01,233.149
2019-05-01,246.923
2019-06-01,236.420
2019-07-01,236.165
2019-08-01,233.929
2019-09-01,226.427
2019-10-01,223.287
2019-11-01,223.122
2019-12-01,223.269
2020-01-01,223.300
2020-02-01,218.103
2020-03-01,212.385
2020-04-01,184.985
2020-05-01,174.087
2020-06-01,179.544
2020-07-01,183.054
2020-08-01,184.577
2020-09-01,188.492
2020-10-01,184.021
2020-11-01,182.899
2020-12-01,186.027
2021-01-01,200.359
2021-02-01,211.577
2021-03-01,238.316
2021-04-01,243.287
2021-05-01,251.448
2021-06-01,256.887
2021-07-01,262.656
2021-08-01,265.298
2021-09-01,268.814
2021-10-01,282.358
2021-11-01,296.170
2021-12-01,295.492
2022-01-01,293.865
2022-02-01,304.988
2022-03-01,366.194
2022-04-01,360.242
