DATE,CUURA207SETB
1990-01-01,100.500
1990-02-01,97.900
1990-03-01,94.300
1990-04-01,98.800
1990-05-01,100.000
1990-06-01,102.300
1990-07-01,100.400
1990-08-01,110.600
1990-09-01,114.500
1990-10-01,123.800
1990-11-01,123.300
1990-12-01,120.600
1991-01-01,112.600
1991-02-01,105.100
1991-03-01,99.100
1991-04-01,100.100
1991-05-01,105.400
1991-06-01,106.500
1991-07-01,103.200
1991-08-01,105.400
1991-09-01,104.300
1991-10-01,101.000
1991-11-01,103.100
1991-12-01,102.100
1992-01-01,97.000
1992-02-01,94.000
1992-03-01,92.800
1992-04-01,95.400
1992-05-01,100.900
1992-06-01,104.500
1992-07-01,102.200
1992-08-01,100.000
1992-09-01,101.800
1992-10-01,104.200
1992-11-01,104.300
1992-12-01,101.600
1993-01-01,98.100
1993-02-01,97.900
1993-03-01,98.000
1993-04-01,101.200
1993-05-01,103.100
1993-06-01,101.700
1993-07-01,98.200
1993-08-01,96.600
1993-09-01,95.000
1993-10-01,98.200
1993-11-01,96.800
1993-12-01,92.700
1994-01-01,91.500
1994-02-01,94.200
1994-03-01,92.900
1994-04-01,96.000
1994-05-01,98.400
1994-06-01,102.000
1994-07-01,105.600
1994-08-01,109.800
1994-09-01,109.100
1994-10-01,105.200
1994-11-01,104.900
1994-12-01,102.800
1995-01-01,100.000
1995-02-01,98.300
1995-03-01,97.300
1995-04-01,100.700
1995-05-01,105.600
1995-06-01,108.400
1995-07-01,105.300
1995-08-01,101.800
1995-09-01,100.800
1995-10-01,98.700
1995-11-01,96.600
1995-12-01,98.200
1996-01-01,99.900
1996-02-01,99.400
1996-03-01,105.400
1996-04-01,110.400
1996-05-01,114.300
1996-06-01,113.000
1996-07-01,110.000
1996-08-01,106.700
1996-09-01,107.500
1996-10-01,108.000
1996-11-01,112.800
1996-12-01,113.900
1997-01-01,113.300
1997-02-01,110.200
1997-03-01,106.100
1997-04-01,104.000
1997-05-01,106.800
1997-06-01,108.200
1997-07-01,106.600
1997-08-01,109.900
1997-09-01,108.100
1997-10-01,103.400
1997-11-01,101.900
1997-12-01,100.400
1998-01-01,94.700
1998-02-01,92.500
1998-03-01,91.200
1998-04-01,93.200
1998-05-01,98.600
1998-06-01,99.800
1998-07-01,98.900
1998-08-01,96.200
1998-09-01,94.400
1998-10-01,95.500
1998-11-01,93.400
1998-12-01,88.600
1999-01-01,89.000
1999-02-01,85.800
1999-03-01,90.800
1999-04-01,99.700
1999-05-01,102.300
1999-06-01,101.000
1999-07-01,104.100
1999-08-01,107.200
1999-09-01,111.900
1999-10-01,110.400
1999-11-01,110.400
1999-12-01,111.700
2000-01-01,114.800
2000-02-01,122.800
2000-03-01,131.700
2000-04-01,126.800
2000-05-01,141.600
2000-06-01,174.000
2000-07-01,133.100
2000-08-01,118.000
2000-09-01,130.300
2000-10-01,128.400
2000-11-01,131.500
2000-12-01,124.700
2001-01-01,131.800
2001-02-01,127.800
2001-03-01,119.200
2001-04-01,146.100
2001-05-01,170.900
2001-06-01,155.200
2001-07-01,122.800
2001-08-01,134.300
2001-09-01,159.000
2001-10-01,127.300
2001-11-01,107.500
2001-12-01,103.300
