DATE,CUURA210SETB
1990-01-01,100.400
1990-02-01,96.200
1990-03-01,93.600
1990-04-01,94.200
1990-05-01,96.500
1990-06-01,99.700
1990-07-01,97.100
1990-08-01,108.000
1990-09-01,118.000
1990-10-01,127.700
1990-11-01,123.800
1990-12-01,119.400
1991-01-01,107.500
1991-02-01,103.500
1991-03-01,98.800
1991-04-01,99.800
1991-05-01,105.600
1991-06-01,109.600
1991-07-01,106.500
1991-08-01,106.900
1991-09-01,108.300
1991-10-01,104.000
1991-11-01,105.300
1991-12-01,102.800
1992-01-01,95.800
1992-02-01,94.400
1992-03-01,100.300
1992-04-01,100.500
1992-05-01,105.700
1992-06-01,110.100
1992-07-01,107.700
1992-08-01,104.900
1992-09-01,105.200
1992-10-01,105.000
1992-11-01,109.800
1992-12-01,105.900
1993-01-01,101.000
1993-02-01,102.500
1993-03-01,99.100
1993-04-01,103.300
1993-05-01,104.600
1993-06-01,105.300
1993-07-01,103.400
1993-08-01,101.700
1993-09-01,100.100
1993-10-01,103.500
1993-11-01,101.200
1993-12-01,97.600
1994-01-01,97.400
1994-02-01,98.900
1994-03-01,96.800
1994-04-01,100.300
1994-05-01,103.400
1994-06-01,106.300
1994-07-01,107.000
1994-08-01,113.900
1994-09-01,108.800
1994-10-01,104.300
1994-11-01,106.900
1994-12-01,101.200
1995-01-01,100.600
1995-02-01,99.700
1995-03-01,99.000
1995-04-01,106.900
1995-05-01,112.700
1995-06-01,115.500
1995-07-01,107.700
1995-08-01,104.400
1995-09-01,105.900
1995-10-01,103.400
1995-11-01,100.000
1995-12-01,103.700
1996-01-01,106.800
1996-02-01,103.600
1996-03-01,111.400
1996-04-01,116.800
1996-05-01,121.000
1996-06-01,115.900
1996-07-01,114.500
1996-08-01,110.600
1996-09-01,114.600
1996-10-01,115.400
1996-11-01,123.500
1996-12-01,121.700
1997-01-01,119.700
1997-02-01,114.900
1997-03-01,110.900
1997-04-01,112.800
1997-05-01,114.900
1997-06-01,113.000
1997-07-01,110.100
1997-08-01,119.700
1997-09-01,112.500
1997-10-01,109.300
1997-11-01,107.900
1997-12-01,102.500
1998-01-01,99.600
1998-02-01,101.300
1998-03-01,97.100
1998-04-01,101.000
1998-05-01,106.700
1998-06-01,103.600
1998-07-01,103.800
1998-08-01,99.700
1998-09-01,98.500
1998-10-01,100.300
1998-11-01,97.600
1998-12-01,90.200
1999-01-01,92.300
1999-02-01,91.100
1999-03-01,96.600
1999-04-01,109.400
1999-05-01,108.100
1999-06-01,106.000
1999-07-01,112.200
1999-08-01,116.800
1999-09-01,122.300
1999-10-01,116.400
1999-11-01,121.000
1999-12-01,122.700
2000-01-01,124.900
2000-02-01,133.300
2000-03-01,143.300
2000-04-01,131.200
2000-05-01,135.500
2000-06-01,171.600
2000-07-01,142.700
2000-08-01,129.900
2000-09-01,147.400
2000-10-01,136.900
2000-11-01,141.800
2000-12-01,130.200
2001-01-01,143.100
2001-02-01,136.700
2001-03-01,133.100
2001-04-01,147.600
2001-05-01,169.200
2001-06-01,148.500
2001-07-01,125.200
2001-08-01,135.000
2001-09-01,157.300
2001-10-01,123.800
2001-11-01,119.500
2001-12-01,114.400
2002-01-01,114.900
2002-02-01,112.800
2002-03-01,130.500
2002-04-01,137.000
2002-05-01,142.500
2002-06-01,138.600
2002-07-01,140.200
2002-08-01,139.700
2002-09-01,141.000
2002-10-01,146.800
2002-11-01,134.900
2002-12-01,133.000
2003-01-01,149.500
2003-02-01,166.800
2003-03-01,167.100
2003-04-01,152.900
2003-05-01,143.500
2003-06-01,147.100
2003-07-01,151.700
2003-08-01,160.900
2003-09-01,168.900
2003-10-01,157.000
2003-11-01,149.800
2003-12-01,140.300
2004-01-01,164.600
2004-02-01,170.700
2004-03-01,170.200
2004-04-01,180.600
2004-05-01,201.300
2004-06-01,186.500
2004-07-01,186.900
2004-08-01,187.300
2004-09-01,185.500
2004-10-01,203.300
2004-11-01,188.800
2004-12-01,178.200
2005-01-01,183.300
2005-02-01,191.300
2005-03-01,212.600
2005-04-01,219.300
2005-05-01,210.600
2005-06-01,212.300
2005-07-01,226.700
2005-08-01,252.900
2005-09-01,286.100
2005-10-01,267.100
2005-11-01,217.500
2005-12-01,219.200
2006-01-01,228.200
2006-02-01,219.100
2006-03-01,242.700
2006-04-01,275.600
2006-05-01,283.000
2006-06-01,284.600
2006-07-01,292.600
2006-08-01,283.700
2006-09-01,227.600
2006-10-01,215.000
2006-11-01,222.800
2006-12-01,224.800
2007-01-01,212.763
2007-02-01,232.651
2007-03-01,249.573
2007-04-01,276.966
2007-05-01,313.296
2007-06-01,291.655
2007-07-01,297.353
2007-08-01,270.376
2007-09-01,285.095
2007-10-01,276.702
2007-11-01,310.656
2007-12-01,292.520
2008-01-01,299.520
2008-02-01,302.094
2008-03-01,328.119
2008-04-01,335.567
2008-05-01,381.698
2008-06-01,399.647
2008-07-01,396.769
2008-08-01,367.552
2008-09-01,372.437
2008-10-01,290.515
2008-11-01,194.287
2008-12-01,169.322
2009-01-01,192.533
2009-02-01,188.695
2009-03-01,192.134
2009-04-01,198.815
2009-05-01,227.992
2009-06-01,270.848
2009-07-01,247.333
2009-08-01,258.619
2009-09-01,247.720
2009-10-01,248.955
