DATE,CUURA316SETB
2000-01-01,113.200
2000-02-01,117.900
2000-03-01,132.200
2000-04-01,132.700
2000-05-01,130.000
2000-06-01,136.300
2000-07-01,140.200
2000-08-01,132.400
2000-09-01,132.400
2000-10-01,131.500
2000-11-01,130.400
2000-12-01,125.900
2001-01-01,122.400
2001-02-01,127.300
2001-03-01,123.600
2001-04-01,135.500
2001-05-01,147.600
2001-06-01,144.500
2001-07-01,126.500
2001-08-01,119.000
2001-09-01,125.400
2001-10-01,116.200
2001-11-01,101.900
2001-12-01,93.100
2002-01-01,95.500
2002-02-01,96.900
2002-03-01,105.700
2002-04-01,123.600
2002-05-01,124.700
2002-06-01,121.900
2002-07-01,121.000
2002-08-01,121.400
2002-09-01,122.200
2002-10-01,126.900
2002-11-01,124.300
2002-12-01,120.600
2003-01-01,129.700
2003-02-01,144.500
2003-03-01,146.900
2003-04-01,136.600
2003-05-01,129.000
2003-06-01,128.900
2003-07-01,132.500
2003-08-01,140.000
2003-09-01,138.200
2003-10-01,130.900
2003-11-01,127.200
2003-12-01,126.100
2004-01-01,139.800
2004-02-01,143.500
2004-03-01,148.000
2004-04-01,154.500
2004-05-01,172.000
2004-06-01,170.700
2004-07-01,164.900
2004-08-01,164.000
2004-09-01,164.100
2004-10-01,173.200
2004-11-01,175.100
2004-12-01,165.600
2005-01-01,158.600
2005-02-01,169.400
2005-03-01,176.100
2005-04-01,200.000
2005-05-01,196.600
2005-06-01,191.400
2005-07-01,204.400
2005-08-01,217.700
2005-09-01,266.800
2005-10-01,267.900
2005-11-01,210.600
2005-12-01,193.000
2006-01-01,209.600
2006-02-01,209.500
2006-03-01,212.500
2006-04-01,251.400
2006-05-01,268.500
2006-06-01,260.200
2006-07-01,266.400
2006-08-01,267.100
2006-09-01,225.300
2006-10-01,192.600
2006-11-01,193.300
2006-12-01,201.900
2007-01-01,197.566
2007-02-01,191.178
2007-03-01,218.814
2007-04-01,249.220
2007-05-01,268.733
2007-06-01,272.128
2007-07-01,264.395
2007-08-01,249.809
2007-09-01,243.868
2007-10-01,244.296
2007-11-01,269.117
2007-12-01,262.202
2008-01-01,268.551
2008-02-01,264.779
2008-03-01,291.060
2008-04-01,305.804
2008-05-01,335.734
2008-06-01,361.481
2008-07-01,365.288
2008-08-01,336.605
2008-09-01,328.709
2008-10-01,287.813
2008-11-01,186.090
2008-12-01,150.286
2009-01-01,153.762
2009-02-01,165.692
2009-03-01,169.598
2009-04-01,184.833
2009-05-01,194.200
2009-06-01,230.812
2009-07-01,219.317
2009-08-01,227.438
2009-09-01,216.127
2009-10-01,216.333
2009-11-01,228.779
2009-12-01,227.728
2010-01-01,234.330
2010-02-01,226.755
2010-03-01,243.659
2010-04-01,252.204
2010-05-01,257.037
2010-06-01,237.821
2010-07-01,236.327
2010-08-01,235.614
2010-09-01,230.339
2010-10-01,244.697
2010-11-01,243.268
2010-12-01,259.510
2011-01-01,270.055
2011-02-01,273.381
2011-03-01,314.974
2011-04-01,340.998
2011-05-01,350.474
2011-06-01,326.079
2011-07-01,326.432
2011-08-01,325.951
2011-09-01,310.250
2011-10-01,293.948
2011-11-01,293.915
2011-12-01,281.064
2012-01-01,295.696
2012-02-01,321.722
2012-03-01,343.526
2012-04-01,351.689
2012-05-01,327.642
2012-06-01,303.759
2012-07-01,301.817
2012-08-01,320.467
2012-09-01,331.929
2012-10-01,317.696
2012-11-01,287.593
2012-12-01,281.708
2013-01-01,296.064
2013-02-01,327.114
2013-03-01,333.266
2013-04-01,319.065
2013-05-01,318.286
2013-06-01,318.013
2013-07-01,324.425
