DATE,CUURA311SETB
1997-12-01,100.000
1998-01-01,97.000
1998-02-01,92.600
1998-03-01,88.800
1998-04-01,89.100
1998-05-01,90.000
1998-06-01,90.300
1998-07-01,90.300
1998-08-01,89.700
1998-09-01,87.700
1998-10-01,87.400
1998-11-01,86.500
1998-12-01,82.800
1999-01-01,82.000
1999-02-01,80.100
1999-03-01,81.600
1999-04-01,90.300
1999-05-01,92.700
1999-06-01,93.200
1999-07-01,95.800
1999-08-01,99.200
1999-09-01,103.300
1999-10-01,105.700
1999-11-01,106.100
1999-12-01,107.500
2000-01-01,108.800
2000-02-01,113.100
2000-03-01,126.600
2000-04-01,127.600
2000-05-01,127.400
2000-06-01,131.400
2000-07-01,134.000
2000-08-01,131.800
2000-09-01,130.700
2000-10-01,129.500
2000-11-01,127.800
2000-12-01,125.100
2001-01-01,123.700
2001-02-01,123.600
2001-03-01,122.400
2001-04-01,130.300
2001-05-01,141.200
2001-06-01,140.000
2001-07-01,130.700
2001-08-01,122.000
2001-09-01,120.800
2001-10-01,113.400
2001-11-01,102.700
2001-12-01,94.700
2002-01-01,94.100
2002-02-01,93.900
2002-03-01,102.500
2002-04-01,120.000
2002-05-01,122.700
2002-06-01,121.600
2002-07-01,119.600
2002-08-01,119.100
2002-09-01,118.000
2002-10-01,121.300
2002-11-01,122.300
2002-12-01,120.700
2003-01-01,124.700
2003-02-01,135.700
2003-03-01,142.000
2003-04-01,139.300
2003-05-01,132.300
2003-06-01,127.000
2003-07-01,128.300
2003-08-01,132.400
2003-09-01,140.300
2003-10-01,135.600
2003-11-01,130.500
2003-12-01,127.000
2004-01-01,132.700
2004-02-01,137.900
2004-03-01,143.400
2004-04-01,147.400
2004-05-01,162.400
2004-06-01,168.600
2004-07-01,160.600
2004-08-01,157.900
2004-09-01,155.200
2004-10-01,165.200
2004-11-01,164.800
2004-12-01,154.800
2005-01-01,152.700
2005-02-01,158.900
2005-03-01,170.500
2005-04-01,184.800
2005-05-01,179.700
2005-06-01,178.200
2005-07-01,192.100
2005-08-01,210.300
2005-09-01,247.200
2005-10-01,234.800
2005-11-01,189.300
2005-12-01,180.800
2006-01-01,197.700
2006-02-01,192.000
2006-03-01,198.300
2006-04-01,232.000
2006-05-01,248.000
2006-06-01,246.200
2006-07-01,252.000
2006-08-01,247.700
2006-09-01,212.600
2006-10-01,182.800
2006-11-01,180.800
2006-12-01,190.100
2007-01-01,184.689
2007-02-01,183.578
2007-03-01,208.854
2007-04-01,235.257
2007-05-01,250.504
2007-06-01,247.063
2007-07-01,241.460
2007-08-01,229.576
2007-09-01,224.084
2007-10-01,224.883
2007-11-01,249.515
2007-12-01,246.203
2008-01-01,251.542
2008-02-01,246.527
2008-03-01,265.414
2008-04-01,279.246
2008-05-01,310.014
2008-06-01,328.851
2008-07-01,334.353
2008-08-01,310.231
2008-09-01,300.079
2008-10-01,262.288
2008-11-01,181.706
2008-12-01,144.776
2009-01-01,145.923
2009-02-01,159.466
2009-03-01,161.628
2009-04-01,169.481
2009-05-01,182.489
2009-06-01,209.135
2009-07-01,210.631
2009-08-01,212.310
2009-09-01,207.798
2009-10-01,205.236
2009-11-01,220.126
2009-12-01,217.413
2010-01-01,225.022
2010-02-01,224.249
2010-03-01,228.001
2010-04-01,236.783
2010-05-01,239.143
2010-06-01,226.534
2010-07-01,223.484
2010-08-01,223.778
2010-09-01,219.943
2010-10-01,230.377
2010-11-01,236.508
2010-12-01,249.377
2011-01-01,258.188
2011-02-01,260.691
2011-03-01,293.364
2011-04-01,315.658
2011-05-01,329.990
2011-06-01,310.654
2011-07-01,302.614
2011-08-01,302.942
2011-09-01,294.652
2011-10-01,284.712
2011-11-01,282.591
2011-12-01,272.232
2012-01-01,283.177
2012-02-01,299.550
2012-03-01,319.539
2012-04-01,332.339
2012-05-01,311.266
2012-06-01,289.794
2012-07-01,289.705
2012-08-01,312.097
2012-09-01,320.269
2012-10-01,310.240
2012-11-01,291.111
2012-12-01,281.312
2013-01-01,288.630
2013-02-01,313.839
2013-03-01,314.177
2013-04-01,303.609
2013-05-01,298.826
2013-06-01,300.116
2013-07-01,304.606
2013-08-01,303.915
2013-09-01,294.979
2013-10-01,284.624
2013-11-01,279.094
2013-12-01,287.705
2014-01-01,287.871
2014-02-01,283.906
2014-03-01,296.658
2014-04-01,308.277
2014-05-01,309.591
2014-06-01,310.508
2014-07-01,308.719
2014-08-01,292.783
2014-09-01,284.576
2014-10-01,267.532
2014-11-01,245.509
2014-12-01,224.201
2015-01-01,193.346
2015-02-01,191.850
2015-03-01,208.216
2015-04-01,207.046
2015-05-01,224.802
2015-06-01,235.867
2015-07-01,234.385
2015-08-01,220.006
2015-09-01,199.105
2015-10-01,189.807
2015-11-01,184.578
2015-12-01,176.127
2016-01-01,166.830
2016-02-01,154.640
2016-03-01,164.492
2016-04-01,182.640
2016-05-01,195.430
2016-06-01,202.844
2016-07-01,193.561
2016-08-01,184.703
2016-09-01,191.616
2016-10-01,194.778
2016-11-01,192.060
2016-12-01,196.286
2017-01-01,205.968
2017-02-01,199.913
2017-03-01,200.725
2017-04-01,207.231
2017-05-01,205.119
2017-06-01,202.133
2017-07-01,196.693
2017-08-01,203.522
2017-09-01,230.523
2017-10-01,214.895
2017-11-01,217.391
2017-12-01,213.418
