Series ID,Year,Period,Label,Value
CUUSS48BSETB,1990,S01,1990 Half1,85.8
CUUSS48BSETB,1990,S02,1990 Half2,110.1
CUUSS48BSETB,1991,S01,1991 Half1,96.5
CUUSS48BSETB,1991,S02,1991 Half2,96.9
CUUSS48BSETB,1992,S01,1992 Half1,95.9
CUUSS48BSETB,1992,S02,1992 Half2,105.6
CUUSS48BSETB,1993,S01,1993 Half1,101.2
CUUSS48BSETB,1993,S02,1993 Half2,100.8
CUUSS48BSETB,1994,S01,1994 Half1,95.3
CUUSS48BSETB,1994,S02,1994 Half2,103.5
CUUSS48BSETB,1995,S01,1995 Half1,100.2
CUUSS48BSETB,1995,S02,1995 Half2,98.4
CUUSS48BSETB,1996,S01,1996 Half1,102.4
CUUSS48BSETB,1996,S02,1996 Half2,107.5
CUUSS48BSETB,1997,S01,1997 Half1,107.3
CUUSS48BSETB,1997,S02,1997 Half2,106.5
CUUSS48BSETB,1998,S01,1998 Half1,92.5
CUUSS48BSETB,1998,S02,1998 Half2,89.7
CUUSS48BSETB,1999,S01,1999 Half1,89.4
CUUSS48BSETB,1999,S02,1999 Half2,106.7
CUUSS48BSETB,2000,S01,2000 Half1,120.1
CUUSS48BSETB,2000,S02,2000 Half2,132.7
CUUSS48BSETB,2001,S01,2001 Half1,133.8
CUUSS48BSETB,2001,S02,2001 Half2,116.2
CUUSS48BSETB,2002,S01,2002 Half1,105.2
CUUSS48BSETB,2002,S02,2002 Half2,118.7
CUUSS48BSETB,2003,S01,2003 Half1,126.1
CUUSS48BSETB,2003,S02,2003 Half2,124.1
CUUSS48BSETB,2004,S01,2004 Half1,142.4
CUUSS48BSETB,2004,S02,2004 Half2,152.7
CUUSS48BSETB,2005,S01,2005 Half1,164.5
CUUSS48BSETB,2005,S02,2005 Half2,201.9
CUUSS48BSETB,2006,S01,2006 Half1,205.2
CUUSS48BSETB,2006,S02,2006 Half2,208.3
CUUSS48BSETB,2007,S01,2007 Half1,217.329
CUUSS48BSETB,2007,S02,2007 Half2,238.771
CUUSS48BSETB,2008,S01,2008 Half1,271.312
CUUSS48BSETB,2008,S02,2008 Half2,247.272
CUUSS48BSETB,2009,S01,2009 Half1,164.811
CUUSS48BSETB,2009,S02,2009 Half2,202.027
CUUSS48BSETB,2010,S01,2010 Half1,214.521
CUUSS48BSETB,2010,S02,2010 Half2,220.054
CUUSS48BSETB,2011,S01,2011 Half1,275.765
CUUSS48BSETB,2011,S02,2011 Half2,282.487
CUUSS48BSETB,2012,S01,2012 Half1,286.006
CUUSS48BSETB,2012,S02,2012 Half2,288.540
CUUSS48BSETB,2013,S01,2013 Half1,284.491
CUUSS48BSETB,2013,S02,2013 Half2,277.422
CUUSS48BSETB,2014,S01,2014 Half1,282.665
CUUSS48BSETB,2014,S02,2014 Half2,268.803
CUUSS48BSETB,2015,S01,2015 Half1,191.159
CUUSS48BSETB,2015,S02,2015 Half2,198.994
CUUSS48BSETB,2016,S01,2016 Half1,164.514
CUUSS48BSETB,2016,S02,2016 Half2,179.912
CUUSS48BSETB,2017,S01,2017 Half1,190.957
CUUSS48BSETB,2017,S02,2017 Half2,204.741
CUUSS48BSETB,2018,S01,2018 Half1,218.542
CUUSS48BSETB,2018,S02,2018 Half2,233.713
CUUSS48BSETB,2019,S01,2019 Half1,207.459
CUUSS48BSETB,2019,S02,2019 Half2,223.706
CUUSS48BSETB,2020,S01,2020 Half1,181.100
CUUSS48BSETB,2020,S02,2020 Half2,192.925
CUUSS48BSETB,2021,S01,2021 Half1,236.917
CUUSS48BSETB,2021,S02,2021 Half2,293.733
