DATE,CUURA208SETB
1991-01-01,105.500
1991-02-01,96.100
1991-03-01,95.100
1991-04-01,99.000
1991-05-01,103.600
1991-06-01,101.000
1991-07-01,97.600
1991-08-01,100.000
1991-09-01,95.900
1991-10-01,94.000
1991-11-01,97.000
1991-12-01,96.500
1992-01-01,89.400
1992-02-01,89.000
1992-03-01,88.100
1992-04-01,93.700
1992-05-01,99.400
1992-06-01,100.800
1992-07-01,94.800
1992-08-01,94.100
1992-09-01,96.900
1992-10-01,96.500
1992-11-01,95.700
1992-12-01,89.600
1993-01-01,89.600
1993-02-01,91.400
1993-03-01,91.000
1993-04-01,95.700
1993-05-01,100.400
1993-06-01,97.500
1993-07-01,91.800
1993-08-01,91.600
1993-09-01,88.200
1993-10-01,95.300
1993-11-01,91.000
1993-12-01,85.000
1994-01-01,86.100
1994-02-01,90.200
1994-03-01,86.200
1994-04-01,91.000
1994-05-01,93.400
1994-06-01,96.500
1994-07-01,100.000
1994-08-01,105.300
1994-09-01,99.200
1994-10-01,93.300
1994-11-01,96.200
1994-12-01,90.900
1995-01-01,91.600
1995-02-01,91.000
1995-03-01,91.400
1995-04-01,98.100
1995-05-01,106.300
1995-06-01,106.500
1995-07-01,101.800
1995-08-01,96.400
1995-09-01,96.000
1995-10-01,94.800
1995-11-01,91.800
1995-12-01,93.900
1996-01-01,97.400
1996-02-01,96.300
1996-03-01,102.300
1996-04-01,108.100
1996-05-01,111.300
1996-06-01,110.100
1996-07-01,106.500
1996-08-01,102.300
1996-09-01,104.400
1996-10-01,106.200
1996-11-01,113.000
1996-12-01,114.300
1997-01-01,111.100
1997-02-01,106.600
1997-03-01,101.100
1997-04-01,100.600
1997-05-01,104.100
1997-06-01,108.300
1997-07-01,105.200
1997-08-01,112.900
1997-09-01,110.200
1997-10-01,104.300
1997-11-01,101.400
1997-12-01,97.000
1998-01-01,91.100
1998-02-01,93.700
1998-03-01,94.100
1998-04-01,95.100
1998-05-01,98.900
1998-06-01,99.400
1998-07-01,99.400
1998-08-01,95.000
1998-09-01,92.600
1998-10-01,92.700
1998-11-01,90.500
1998-12-01,84.100
1999-01-01,84.000
1999-02-01,83.100
1999-03-01,87.700
1999-04-01,99.300
1999-05-01,102.100
1999-06-01,102.100
1999-07-01,104.600
1999-08-01,108.500
1999-09-01,113.200
1999-10-01,109.400
1999-11-01,111.100
1999-12-01,114.700
2000-01-01,117.400
2000-02-01,124.200
2000-03-01,137.400
2000-04-01,123.500
2000-05-01,128.800
2000-06-01,170.500
2000-07-01,153.800
2000-08-01,123.100
2000-09-01,142.600
2000-10-01,138.600
2000-11-01,136.400
2000-12-01,131.700
2001-01-01,135.200
2001-02-01,130.300
2001-03-01,122.900
2001-04-01,142.600
2001-05-01,165.500
2001-06-01,152.600
2001-07-01,122.600
2001-08-01,128.800
2001-09-01,148.900
2001-10-01,115.200
2001-11-01,103.600
2001-12-01,98.400
2002-01-01,102.300
2002-02-01,100.900
2002-03-01,108.500
2002-04-01,124.100
2002-05-01,121.200
2002-06-01,124.500
2002-07-01,128.200
2002-08-01,123.400
2002-09-01,123.600
2002-10-01,130.200
2002-11-01,129.400
2002-12-01,117.000
2003-01-01,128.800
2003-02-01,146.100
2003-03-01,150.500
2003-04-01,135.100
2003-05-01,128.100
2003-06-01,138.200
2003-07-01,134.400
2003-08-01,143.000
2003-09-01,150.400
2003-10-01,138.500
2003-11-01,129.500
2003-12-01,125.300
2004-01-01,139.100
2004-02-01,144.700
2004-03-01,148.900
2004-04-01,155.600
2004-05-01,176.700
2004-06-01,172.000
2004-07-01,166.700
2004-08-01,164.900
2004-09-01,159.800
2004-10-01,174.900
2004-11-01,168.100
2004-12-01,155.700
2005-01-01,157.200
2005-02-01,167.800
2005-03-01,179.100
2005-04-01,193.400
2005-05-01,184.200
2005-06-01,186.900
2005-07-01,198.200
2005-08-01,214.400
2005-09-01,243.100
2005-10-01,230.300
2005-11-01,194.000
2005-12-01,193.000
2006-01-01,205.100
2006-02-01,200.200
2006-03-01,217.200
2006-04-01,240.000
2006-05-01,249.700
2006-06-01,245.700
2006-07-01,259.800
2006-08-01,255.200
2006-09-01,204.500
2006-10-01,188.300
2006-11-01,194.800
2006-12-01,196.200
2007-01-01,180.216
2007-02-01,203.474
2007-03-01,220.944
2007-04-01,240.920
2007-05-01,285.554
2007-06-01,275.880
2007-07-01,262.355
2007-08-01,253.396
2007-09-01,264.918
2007-10-01,252.330
2007-11-01,272.916
2007-12-01,260.645
2008-01-01,263.936
2008-02-01,264.758
2008-03-01,284.448
2008-04-01,303.835
2008-05-01,336.101
2008-06-01,350.804
2008-07-01,351.151
2008-08-01,329.586
2008-09-01,324.243
2008-10-01,250.871
2008-11-01,170.935
2008-12-01,147.556
2009-01-01,172.589
2009-02-01,166.066
2009-03-01,170.409
2009-04-01,177.107
2009-05-01,204.089
2009-06-01,241.402
2009-07-01,216.051
2009-08-01,228.400
2009-09-01,216.480
2009-10-01,219.469
2009-11-01,233.453
2009-12-01,225.334
2010-01-01,243.651
2010-02-01,224.715
2010-03-01,239.404
2010-04-01,250.574
2010-05-01,254.301
2010-06-01,240.549
2010-07-01,244.502
2010-08-01,245.214
2010-09-01,247.232
2010-10-01,247.520
2010-11-01,253.766
2010-12-01,261.157
2011-01-01,273.554
2011-02-01,278.624
2011-03-01,305.823
2011-04-01,332.083
2011-05-01,365.410
2011-06-01,348.079
2011-07-01,335.282
2011-08-01,331.917
2011-09-01,334.041
2011-10-01,298.348
2011-11-01,299.183
2011-12-01,295.302
2012-01-01,306.009
2012-02-01,308.879
2012-03-01,342.927
2012-04-01,345.153
2012-05-01,335.142
2012-06-01,323.661
2012-07-01,312.975
2012-08-01,345.545
2012-09-01,354.503
2012-10-01,333.563
2012-11-01,308.332
2012-12-01,301.693
2013-01-01,289.983
2013-02-01,327.187
2013-03-01,332.851
2013-04-01,324.832
2013-05-01,332.591
2013-06-01,354.323
2013-07-01,318.087
2013-08-01,318.994
2013-09-01,320.510
2013-10-01,296.068
2013-11-01,285.361
2013-12-01,280.443
2014-01-01,289.873
2014-02-01,294.028
2014-03-01,321.191
2014-04-01,323.915
2014-05-01,325.247
2014-06-01,341.878
2014-07-01,327.790
2014-08-01,306.186
2014-09-01,307.892
2014-10-01,281.922
2014-11-01,259.682
2014-12-01,223.991
2015-01-01,171.043
2015-02-01,190.895
2015-03-01,209.045
2015-04-01,213.275
2015-05-01,225.354
2015-06-01,246.449
2015-07-01,253.199
2015-08-01,239.794
2015-09-01,212.149
2015-10-01,220.032
2015-11-01,204.488
2015-12-01,166.120
2016-01-01,165.853
2016-02-01,144.478
2016-03-01,172.811
2016-04-01,185.230
2016-05-01,204.198
2016-06-01,230.304
2016-07-01,207.758
2016-08-01,201.697
2016-09-01,204.176
2016-10-01,205.218
2016-11-01,190.808
2016-12-01,203.764
2017-01-01,217.019
2017-02-01,202.133
2017-03-01,211.769
2017-04-01,225.634
2017-05-01,211.718
2017-06-01,216.224
2017-07-01,216.064
2017-08-01,219.966
2017-09-01,230.979
2017-10-01,221.508
2017-11-01,245.116
2017-12-01,227.824
2018-01-01,239.242
2018-02-01,229.183
2018-03-01,231.112
2018-04-01,244.095
2018-05-01,266.722
2018-06-01,270.629
2018-07-01,266.663
2018-08-01,265.193
2018-09-01,262.696
2018-10-01,259.906
2018-11-01,239.654
2018-12-01,207.267
2019-01-01,183.385
2019-02-01,207.142
2019-03-01,231.953
2019-04-01,254.468
2019-05-01,256.117
2019-06-01,246.974
2019-07-01,262.086
2019-08-01,249.652
2019-09-01,244.749
2019-10-01,237.457
2019-11-01,228.877
2019-12-01,231.985
2020-01-01,231.461
2020-02-01,214.528
2020-03-01,190.225
2020-04-01,139.366
2020-05-01,161.967
2020-06-01,187.253
2020-07-01,199.703
2020-08-01,196.955
2020-09-01,185.704
2020-10-01,186.980
2020-11-01,178.202
2020-12-01,186.623
2021-01-01,199.395
2021-02-01,219.024
2021-03-01,245.170
2021-04-01,249.829
2021-05-01,263.419
2021-06-01,278.779
2021-07-01,289.460
2021-08-01,292.960
2021-09-01,288.182
2021-10-01,291.063
2021-11-01,297.508
2021-12-01,288.811
2022-01-01,284.649
2022-02-01,300.637
2022-03-01,364.239
2022-04-01,356.036
