Series ID,Year,Period,Label,Value
CUURS12ASETB,1997,M01,1997 Jan,105.2
CUURS12ASETB,1997,M02,1997 Feb,104.0
CUURS12ASETB,1997,M03,1997 Mar,101.7
CUURS12ASETB,1997,M04,1997 Apr,100.0
CUURS12ASETB,1997,M05,1997 May,98.2
CUURS12ASETB,1997,M06,1997 Jun,99.0
CUURS12ASETB,1997,M07,1997 Jul,98.2
CUURS12ASETB,1997,M08,1997 Aug,102.2
CUURS12ASETB,1997,M09,1997 Sep,106.0
CUURS12ASETB,1997,M10,1997 Oct,102.9
CUURS12ASETB,1997,M11,1997 Nov,100.5
CUURS12ASETB,1997,M12,1997 Dec,98.6
CUURS12ASETB,1998,M01,1998 Jan,95.7
CUURS12ASETB,1998,M02,1998 Feb,92.7
CUURS12ASETB,1998,M03,1998 Mar,88.3
CUURS12ASETB,1998,M04,1998 Apr,88.3
CUURS12ASETB,1998,M05,1998 May,88.3
CUURS12ASETB,1998,M06,1998 Jun,88.9
CUURS12ASETB,1998,M07,1998 Jul,87.8
CUURS12ASETB,1998,M08,1998 Aug,87.1
CUURS12ASETB,1998,M09,1998 Sep,86.1
CUURS12ASETB,1998,M10,1998 Oct,86.0
CUURS12ASETB,1998,M11,1998 Nov,86.1
CUURS12ASETB,1998,M12,1998 Dec,84.4
CUURS12ASETB,1999,M01,1999 Jan,82.3
CUURS12ASETB,1999,M02,1999 Feb,80.5
CUURS12ASETB,1999,M03,1999 Mar,80.5
CUURS12ASETB,1999,M04,1999 Apr,90.0
CUURS12ASETB,1999,M05,1999 May,93.6
CUURS12ASETB,1999,M06,1999 Jun,93.2
CUURS12ASETB,1999,M07,1999 Jul,94.5
CUURS12ASETB,1999,M08,1999 Aug,99.9
CUURS12ASETB,1999,M09,1999 Sep,103.6
CUURS12ASETB,1999,M10,1999 Oct,106.6
CUURS12ASETB,1999,M11,1999 Nov,105.4
CUURS12ASETB,1999,M12,1999 Dec,107.6
CUURS12ASETB,2000,M01,2000 Jan,108.0
CUURS12ASETB,2000,M02,2000 Feb,110.7
CUURS12ASETB,2000,M03,2000 Mar,119.9
CUURS12ASETB,2000,M04,2000 Apr,122.0
CUURS12ASETB,2000,M05,2000 May,119.3
CUURS12ASETB,2000,M06,2000 Jun,127.3
CUURS12ASETB,2000,M07,2000 Jul,131.9
CUURS12ASETB,2000,M08,2000 Aug,128.3
CUURS12ASETB,2000,M09,2000 Sep,126.4
CUURS12ASETB,2000,M10,2000 Oct,125.2
