Series ID,Year,Period,Label,Value
CUUSS24ASETB,1990,S01,1990 Half1,94.1
CUUSS24ASETB,1990,S02,1990 Half2,110.6
CUUSS24ASETB,1991,S01,1991 Half1,99.4
CUUSS24ASETB,1991,S02,1991 Half2,97.2
CUUSS24ASETB,1992,S01,1992 Half1,93.3
CUUSS24ASETB,1992,S02,1992 Half2,98.5
CUUSS24ASETB,1993,S01,1993 Half1,97.5
CUUSS24ASETB,1993,S02,1993 Half2,94.2
CUUSS24ASETB,1994,S01,1994 Half1,91.3
CUUSS24ASETB,1994,S02,1994 Half2,95.2
CUUSS24ASETB,1995,S01,1995 Half1,94.4
CUUSS24ASETB,1995,S02,1995 Half2,91.7
CUUSS24ASETB,1996,S01,1996 Half1,98.9
CUUSS24ASETB,1996,S02,1996 Half2,105.4
