Series ID,Year,Period,Label,Value
CUUSS48ASETB,2002,S01,2002 Half1,116.1
CUUSS48ASETB,2002,S02,2002 Half2,129.2
CUUSS48ASETB,2003,S01,2003 Half1,152.3
CUUSS48ASETB,2003,S02,2003 Half2,148.5
CUUSS48ASETB,2004,S01,2004 Half1,170.4
CUUSS48ASETB,2004,S02,2004 Half2,173.0
CUUSS48ASETB,2005,S01,2005 Half1,186.5
CUUSS48ASETB,2005,S02,2005 Half2,225.6
CUUSS48ASETB,2006,S01,2006 Half1,234.3
CUUSS48ASETB,2006,S02,2006 Half2,220.2
CUUSS48ASETB,2007,S01,2007 Half1,240.108
CUUSS48ASETB,2007,S02,2007 Half2,244.904
CUUSS48ASETB,2008,S01,2008 Half1,297.547
CUUSS48ASETB,2008,S02,2008 Half2,272.399
CUUSS48ASETB,2009,S01,2009 Half1,175.619
CUUSS48ASETB,2009,S02,2009 Half2,214.670
CUUSS48ASETB,2010,S01,2010 Half1,227.955
CUUSS48ASETB,2010,S02,2010 Half2,229.710
CUUSS48ASETB,2011,S01,2011 Half1,288.157
CUUSS48ASETB,2011,S02,2011 Half2,278.241
CUUSS48ASETB,2012,S01,2012 Half1,310.047
CUUSS48ASETB,2012,S02,2012 Half2,292.768
CUUSS48ASETB,2013,S01,2013 Half1,294.840
CUUSS48ASETB,2013,S02,2013 Half2,275.867
CUUSS48ASETB,2014,S01,2014 Half1,284.357
CUUSS48ASETB,2014,S02,2014 Half2,259.792
CUUSS48ASETB,2015,S01,2015 Half1,201.311
CUUSS48ASETB,2015,S02,2015 Half2,196.534
CUUSS48ASETB,2016,S01,2016 Half1,165.364
CUUSS48ASETB,2016,S02,2016 Half2,177.097
CUUSS48ASETB,2017,S01,2017 Half1,186.543
CUUSS48ASETB,2017,S02,2017 Half2,194.344
CUUSS48ASETB,2018,S01,2018 Half1,222.419
CUUSS48ASETB,2018,S02,2018 Half2,243.789
CUUSS48ASETB,2019,S01,2019 Half1,237.055
CUUSS48ASETB,2019,S02,2019 Half2,245.959
CUUSS48ASETB,2020,S01,2020 Half1,214.436
CUUSS48ASETB,2020,S02,2020 Half2,196.054
CUUSS48ASETB,2021,S01,2021 Half1,245.047
CUUSS48ASETB,2021,S02,2021 Half2,284.436
