Series ID,Year,Period,Label,Value
CUUSA425SETB,1990,S01,1990 Half1,93.2
CUUSA425SETB,1990,S02,1990 Half2,116.0
CUUSA425SETB,1991,S01,1991 Half1,104.0
CUUSA425SETB,1991,S02,1991 Half2,102.8
CUUSA425SETB,1992,S01,1992 Half1,105.5
CUUSA425SETB,1992,S02,1992 Half2,112.4
CUUSA425SETB,1993,S01,1993 Half1,106.7
CUUSA425SETB,1993,S02,1993 Half2,108.3
CUUSA425SETB,1994,S01,1994 Half1,105.3
CUUSA425SETB,1994,S02,1994 Half2,111.0
CUUSA425SETB,1995,S01,1995 Half1,106.8
CUUSA425SETB,1995,S02,1995 Half2,111.9
CUUSA425SETB,1996,S01,1996 Half1,118.4
CUUSA425SETB,1996,S02,1996 Half2,121.2
CUUSA425SETB,1997,S01,1997 Half1,118.9
CUUSA425SETB,1997,S02,1997 Half2,122.1
CUUSA425SETB,1998,S01,1998 Half1,104.7
CUUSA425SETB,1998,S02,1998 Half2,102.9
CUUSA425SETB,1999,S01,1999 Half1,111.6
CUUSA425SETB,1999,S02,1999 Half2,128.3
CUUSA425SETB,2000,S01,2000 Half1,137.8
CUUSA425SETB,2000,S02,2000 Half2,150.4
CUUSA425SETB,2001,S01,2001 Half1,139.6
CUUSA425SETB,2001,S02,2001 Half2,135.3
CUUSA425SETB,2002,S01,2002 Half1,117.1
CUUSA425SETB,2002,S02,2002 Half2,124.7
CUUSA425SETB,2003,S01,2003 Half1,146.2
CUUSA425SETB,2003,S02,2003 Half2,145.4
CUUSA425SETB,2004,S01,2004 Half1,166.6
CUUSA425SETB,2004,S02,2004 Half2,170.6
CUUSA425SETB,2005,S01,2005 Half1,186.5
CUUSA425SETB,2005,S02,2005 Half2,213.3
CUUSA425SETB,2006,S01,2006 Half1,219.4
CUUSA425SETB,2006,S02,2006 Half2,236.4
CUUSA425SETB,2007,S01,2007 Half1,252.275
CUUSA425SETB,2007,S02,2007 Half2,253.706
CUUSA425SETB,2008,S01,2008 Half1,303.932
CUUSA425SETB,2008,S02,2008 Half2,278.163
CUUSA425SETB,2009,S01,2009 Half1,190.616
CUUSA425SETB,2009,S02,2009 Half2,237.031
CUUSA425SETB,2010,S01,2010 Half1,247.455
CUUSA425SETB,2010,S02,2010 Half2,256.887
CUUSA425SETB,2011,S01,2011 Half1,312.920
CUUSA425SETB,2011,S02,2011 Half2,320.958
CUUSA425SETB,2012,S01,2012 Half1,336.318
CUUSA425SETB,2012,S02,2012 Half2,322.530
CUUSA425SETB,2013,S01,2013 Half1,321.102
CUUSA425SETB,2013,S02,2013 Half2,311.396
CUUSA425SETB,2014,S01,2014 Half1,315.835
CUUSA425SETB,2014,S02,2014 Half2,305.276
CUUSA425SETB,2015,S01,2015 Half1,236.809
CUUSA425SETB,2015,S02,2015 Half2,231.202
CUUSA425SETB,2016,S01,2016 Half1,195.237
CUUSA425SETB,2016,S02,2016 Half2,215.924
CUUSA425SETB,2017,S01,2017 Half1,232.403
CUUSA425SETB,2017,S02,2017 Half2,243.201
