Series ID,Year,Period,Label,Value
CUURS49DSETB,1997,M12,1997 Dec,124.5
CUURS49DSETB,1998,M01,1998 Jan,119.6
CUURS49DSETB,1998,M02,1998 Feb,111.0
CUURS49DSETB,1998,M03,1998 Mar,103.4
CUURS49DSETB,1998,M04,1998 Apr,102.8
CUURS49DSETB,1998,M05,1998 May,106.7
CUURS49DSETB,1998,M06,1998 Jun,109.2
CUURS49DSETB,1998,M07,1998 Jul,108.4
CUURS49DSETB,1998,M08,1998 Aug,107.7
CUURS49DSETB,1998,M09,1998 Sep,107.3
CUURS49DSETB,1998,M10,1998 Oct,107.2
CUURS49DSETB,1998,M11,1998 Nov,105.7
CUURS49DSETB,1998,M12,1998 Dec,104.3
CUURS49DSETB,1999,M01,1999 Jan,102.8
CUURS49DSETB,1999,M02,1999 Feb,99.3
CUURS49DSETB,1999,M03,1999 Mar,102.4
CUURS49DSETB,1999,M04,1999 Apr,132.1
CUURS49DSETB,1999,M05,1999 May,133.3
CUURS49DSETB,1999,M06,1999 Jun,127.7
CUURS49DSETB,1999,M07,1999 Jul,132.2
CUURS49DSETB,1999,M08,1999 Aug,137.0
CUURS49DSETB,1999,M09,1999 Sep,136.5
CUURS49DSETB,1999,M10,1999 Oct,132.4
CUURS49DSETB,1999,M11,1999 Nov,129.9
CUURS49DSETB,1999,M12,1999 Dec,132.7
CUURS49DSETB,2000,M01,2000 Jan,132.6
CUURS49DSETB,2000,M02,2000 Feb,135.9
CUURS49DSETB,2000,M03,2000 Mar,152.0
CUURS49DSETB,2000,M04,2000 Apr,159.8
CUURS49DSETB,2000,M05,2000 May,155.0
CUURS49DSETB,2000,M06,2000 Jun,166.8
CUURS49DSETB,2000,M07,2000 Jul,170.9
CUURS49DSETB,2000,M08,2000 Aug,172.6
CUURS49DSETB,2000,M09,2000 Sep,179.3
CUURS49DSETB,2000,M10,2000 Oct,180.6
CUURS49DSETB,2000,M11,2000 Nov,178.6
CUURS49DSETB,2000,M12,2000 Dec,175.0
CUURS49DSETB,2001,M01,2001 Jan,168.0
CUURS49DSETB,2001,M02,2001 Feb,163.1
CUURS49DSETB,2001,M03,2001 Mar,163.4
CUURS49DSETB,2001,M04,2001 Apr,162.9
CUURS49DSETB,2001,M05,2001 May,166.3
CUURS49DSETB,2001,M06,2001 Jun,170.2
CUURS49DSETB,2001,M07,2001 Jul,168.0
CUURS49DSETB,2001,M08,2001 Aug,160.2
CUURS49DSETB,2001,M09,2001 Sep,174.8
CUURS49DSETB,2001,M10,2001 Oct,172.0
CUURS49DSETB,2001,M11,2001 Nov,160.3
CUURS49DSETB,2001,M12,2001 Dec,139.6
CUURS49DSETB,2002,M01,2002 Jan,131.9
CUURS49DSETB,2002,M02,2002 Feb,130.0
CUURS49DSETB,2002,M03,2002 Mar,135.0
CUURS49DSETB,2002,M04,2002 Apr,154.5
CUURS49DSETB,2002,M05,2002 May,157.2
CUURS49DSETB,2002,M06,2002 Jun,157.7
CUURS49DSETB,2002,M07,2002 Jul,158.7
CUURS49DSETB,2002,M08,2002 Aug,160.4
CUURS49DSETB,2002,M09,2002 Sep,159.0
CUURS49DSETB,2002,M10,2002 Oct,153.2
